Artikelnummer,FAQ
S0F82A,"Wie viele Ports hat der S0F82A?||Der S0F82A bietet insgesamt 42 Ports: 32× 10/25/100G-QSFP28 (Access) + 2× 1/10G (Telemetrie) + 8× 400G-QSFP-DD (Uplink).##Unterstützt der S0F82A PoE?||Nein. Der S0F82A ist ein Modell ohne Power over Ethernet und für reine Datenanbindung ausgelegt.##Lässt sich der S0F82A redundant koppeln (VSX)?||Ja. Über Aruba VSX (Virtual Switching Extension) bilden zwei S0F82A ein aktiv-aktives Hochverfügbarkeitspaar mit synchronisiertem Forwarding-Zustand und Multi-Chassis-LAG.##Wodurch unterscheidet sich der S0F82A?||Der S0F82A: Kühlung: 6 feldaustauschbare Hot-Swap-Lüfter (N+1, Airflow front-to-back); Stromversorgung: 2 feldaustauschbare Hot-Swap-Netzteile (1600 W AC, N+1, im Bundle); Betriebstemperatur: 0 bis 45 °C."
S0F84A,"Wie viele Ports hat der S0F84A?||Der S0F84A bietet insgesamt 42 Ports: 32× 10/25/100G-QSFP28 (Access) + 2× 1/10G (Telemetrie) + 8× 400G-QSFP-DD (Uplink).##Unterstützt der S0F84A PoE?||Nein. Der S0F84A ist ein Modell ohne Power over Ethernet und für reine Datenanbindung ausgelegt.##Lässt sich der S0F84A redundant koppeln (VSX)?||Ja. Über Aruba VSX (Virtual Switching Extension) bilden zwei S0F84A ein aktiv-aktives Hochverfügbarkeitspaar mit synchronisiertem Forwarding-Zustand und Multi-Chassis-LAG.##Wodurch unterscheidet sich der S0F84A?||Der S0F84A: Kühlung: 6 feldaustauschbare Hot-Swap-Lüfter (N+1, Airflow back-to-front); Stromversorgung: 2 feldaustauschbare Hot-Swap-Netzteile (1600 W AC, N+1, im Bundle); Betriebstemperatur: 0 bis 40 °C."
S0F88A,"Wie viele Ports hat der S0F88A?||Der S0F88A bietet insgesamt 42 Ports: 32× 10/25/100G-QSFP28 (Access) + 2× 1/10G (Telemetrie) + 8× 400G-QSFP-DD (Uplink).##Unterstützt der S0F88A PoE?||Nein. Der S0F88A ist ein Modell ohne Power over Ethernet und für reine Datenanbindung ausgelegt.##Lässt sich der S0F88A redundant koppeln (VSX)?||Ja. Über Aruba VSX (Virtual Switching Extension) bilden zwei S0F88A ein aktiv-aktives Hochverfügbarkeitspaar mit synchronisiertem Forwarding-Zustand und Multi-Chassis-LAG.##Wodurch unterscheidet sich der S0F88A?||Der S0F88A: Kühlung: 6 feldaustauschbare Hot-Swap-Lüfter (N+1, Airflow back-to-front); Stromversorgung: 2 feldaustauschbare Hot-Swap-Netzteile (1600 W DC, -40/-75 V, N+1, im Bundle); Betriebstemperatur: 0 bis 40 °C."
S0F81A,"Wie viele Ports hat der S0F81A?||Der S0F81A bietet insgesamt 42 Ports: 32× 10/25/100G-QSFP28 (Access) + 2× 1/10G (Telemetrie) + 8× 400G-QSFP-DD (Uplink).##Unterstützt der S0F81A PoE?||Nein. Der S0F81A ist ein Modell ohne Power over Ethernet und für reine Datenanbindung ausgelegt.##Lässt sich der S0F81A redundant koppeln (VSX)?||Ja. Über Aruba VSX (Virtual Switching Extension) bilden zwei S0F81A ein aktiv-aktives Hochverfügbarkeitspaar mit synchronisiertem Forwarding-Zustand und Multi-Chassis-LAG.##Wodurch unterscheidet sich der S0F81A?||Der S0F81A: Kühlung: 6 feldaustauschbare Hot-Swap-Lüfter (N+1, Airflow front-to-back); Stromversorgung: 2 feldaustauschbare Hot-Swap-Netzteile (1600 W AC, N+1, im Bundle); Betriebstemperatur: 0 bis 45 °C."
S0F83A,"Wie viele Ports hat der S0F83A?||Der S0F83A bietet insgesamt 42 Ports: 32× 10/25/100G-QSFP28 (Access) + 2× 1/10G (Telemetrie) + 8× 400G-QSFP-DD (Uplink).##Unterstützt der S0F83A PoE?||Nein. Der S0F83A ist ein Modell ohne Power over Ethernet und für reine Datenanbindung ausgelegt.##Lässt sich der S0F83A redundant koppeln (VSX)?||Ja. Über Aruba VSX (Virtual Switching Extension) bilden zwei S0F83A ein aktiv-aktives Hochverfügbarkeitspaar mit synchronisiertem Forwarding-Zustand und Multi-Chassis-LAG.##Wodurch unterscheidet sich der S0F83A?||Der S0F83A: Kühlung: 6 feldaustauschbare Hot-Swap-Lüfter (N+1, Airflow back-to-front); Stromversorgung: 2 feldaustauschbare Hot-Swap-Netzteile (1600 W AC, N+1, im Bundle); Betriebstemperatur: 0 bis 40 °C."
S0F87A,"Wie viele Ports hat der S0F87A?||Der S0F87A bietet insgesamt 42 Ports: 32× 10/25/100G-QSFP28 (Access) + 2× 1/10G (Telemetrie) + 8× 400G-QSFP-DD (Uplink).##Unterstützt der S0F87A PoE?||Nein. Der S0F87A ist ein Modell ohne Power over Ethernet und für reine Datenanbindung ausgelegt.##Lässt sich der S0F87A redundant koppeln (VSX)?||Ja. Über Aruba VSX (Virtual Switching Extension) bilden zwei S0F87A ein aktiv-aktives Hochverfügbarkeitspaar mit synchronisiertem Forwarding-Zustand und Multi-Chassis-LAG.##Wodurch unterscheidet sich der S0F87A?||Der S0F87A: Kühlung: 6 feldaustauschbare Hot-Swap-Lüfter (N+1, Airflow back-to-front); Stromversorgung: 2 feldaustauschbare Hot-Swap-Netzteile (1600 W DC, -40/-75 V, N+1, im Bundle); Betriebstemperatur: 0 bis 40 °C."
S0F96A,"Wie viele Ports hat der S0F96A?||Der S0F96A bietet insgesamt 42 Ports: 32× 10/25/100G-QSFP28 (Access) + 2× 1/10G (Telemetrie) + 8× 400G-QSFP-DD (Uplink).##Unterstützt der S0F96A PoE?||Nein. Der S0F96A ist ein Modell ohne Power over Ethernet und für reine Datenanbindung ausgelegt.##Lässt sich der S0F96A redundant koppeln (VSX)?||Ja. Über Aruba VSX (Virtual Switching Extension) bilden zwei S0F96A ein aktiv-aktives Hochverfügbarkeitspaar mit synchronisiertem Forwarding-Zustand und Multi-Chassis-LAG.##Wodurch unterscheidet sich der S0F96A?||Der S0F96A: Kühlung: Feldaustauschbare Hot-Swap-Lüfter, separat bestellt (Airflow konfigurierbar (front-to-back oder back-to-front)); Stromversorgung: Feldaustauschbare Hot-Swap-Netzteile (AC oder DC), separat bestellt (bis 2, N+1); Betriebstemperatur: 0 bis 45 °C (Front-to-Back) bzw. 0 bis 40 °C (Back-to-Front)."
S0F95A,"Wie viele Ports hat der S0F95A?||Der S0F95A bietet insgesamt 42 Ports: 32× 10/25/100G-QSFP28 (Access) + 2× 1/10G (Telemetrie) + 8× 400G-QSFP-DD (Uplink).##Unterstützt der S0F95A PoE?||Nein. Der S0F95A ist ein Modell ohne Power over Ethernet und für reine Datenanbindung ausgelegt.##Lässt sich der S0F95A redundant koppeln (VSX)?||Ja. Über Aruba VSX (Virtual Switching Extension) bilden zwei S0F95A ein aktiv-aktives Hochverfügbarkeitspaar mit synchronisiertem Forwarding-Zustand und Multi-Chassis-LAG.##Wodurch unterscheidet sich der S0F95A?||Der S0F95A: Kühlung: Feldaustauschbare Hot-Swap-Lüfter, separat bestellt (Airflow konfigurierbar (front-to-back oder back-to-front)); Stromversorgung: Feldaustauschbare Hot-Swap-Netzteile (AC oder DC), separat bestellt (bis 2, N+1); Betriebstemperatur: 0 bis 45 °C (Front-to-Back) bzw. 0 bis 40 °C (Back-to-Front)."
S0F86A,"Wie viele Ports hat der S0F86A?||Der S0F86A bietet insgesamt 42 Ports: 32× 10/25/100G-QSFP28 (Access) + 2× 1/10G (Telemetrie) + 8× 400G-QSFP-DD (Uplink).##Unterstützt der S0F86A PoE?||Nein. Der S0F86A ist ein Modell ohne Power over Ethernet und für reine Datenanbindung ausgelegt.##Lässt sich der S0F86A redundant koppeln (VSX)?||Ja. Über Aruba VSX (Virtual Switching Extension) bilden zwei S0F86A ein aktiv-aktives Hochverfügbarkeitspaar mit synchronisiertem Forwarding-Zustand und Multi-Chassis-LAG.##Wodurch unterscheidet sich der S0F86A?||Der S0F86A: Kühlung: 6 feldaustauschbare Hot-Swap-Lüfter (N+1, Airflow front-to-back); Stromversorgung: 2 feldaustauschbare Hot-Swap-Netzteile (1600 W DC, -40/-75 V, N+1, im Bundle); Betriebstemperatur: 0 bis 45 °C."
S0F85A,"Wie viele Ports hat der S0F85A?||Der S0F85A bietet insgesamt 42 Ports: 32× 10/25/100G-QSFP28 (Access) + 2× 1/10G (Telemetrie) + 8× 400G-QSFP-DD (Uplink).##Unterstützt der S0F85A PoE?||Nein. Der S0F85A ist ein Modell ohne Power over Ethernet und für reine Datenanbindung ausgelegt.##Lässt sich der S0F85A redundant koppeln (VSX)?||Ja. Über Aruba VSX (Virtual Switching Extension) bilden zwei S0F85A ein aktiv-aktives Hochverfügbarkeitspaar mit synchronisiertem Forwarding-Zustand und Multi-Chassis-LAG.##Wodurch unterscheidet sich der S0F85A?||Der S0F85A: Kühlung: 6 feldaustauschbare Hot-Swap-Lüfter (N+1, Airflow front-to-back); Stromversorgung: 2 feldaustauschbare Hot-Swap-Netzteile (1600 W DC, -40/-75 V, N+1, im Bundle); Betriebstemperatur: 0 bis 45 °C."
