Artikelnummer,FAQ
WS-C3650-24TS-L,"Wie viele Ports hat der WS-C3650-24TS-L?||Der WS-C3650-24TS-L bietet 24× 10/100/1000 (RJ-45) + vier feste 1G-SFP-Uplinks.##Lässt sich der WS-C3650-24TS-L stapeln?||Ja, der WS-C3650-24TS-L stapelt per Cisco StackWise-160 (optionales Stack-Kit, bis 9 Einheiten, 160 Gbit/s).##Hat der WS-C3650-24TS-L PoE?||Nein, der WS-C3650-24TS-L hat keine PoE-Einspeisung; die 24 Ports sind reine Datenports.##Routet der WS-C3650-24TS-L (LAN Base)?||Der WS-C3650-24TS-L beherrscht mit LAN Base umfassendes Layer-2-Switching (bis 255 VLANs, statisches Routing); für dynamisches Routing dienen IP Base/IP Services."
WS-C3650-24TS-S,"Wie viele Ports hat der WS-C3650-24TS-S?||Der WS-C3650-24TS-S bietet 24× 10/100/1000 (RJ-45) + vier feste 1G-SFP-Uplinks.##Lässt sich der WS-C3650-24TS-S stapeln?||Ja, der WS-C3650-24TS-S stapelt per Cisco StackWise-160 (optionales Stack-Kit, bis 9 Einheiten, 160 Gbit/s).##Hat der WS-C3650-24TS-S PoE?||Nein, der WS-C3650-24TS-S hat keine PoE-Einspeisung; die 24 Ports sind reine Datenports.##Was leistet die IP Base-Lizenz des WS-C3650-24TS-S?||Mit der IP Base-Lizenz beherrscht der WS-C3650-24TS-S Routed Access (statisches Routing, RIPv2, EIGRP-Stub, OSPF for Routed Access, PBR)."
WS-C3650-24TS-E,"Wie viele Ports hat der WS-C3650-24TS-E?||Der WS-C3650-24TS-E bietet 24× 10/100/1000 (RJ-45) + vier feste 1G-SFP-Uplinks.##Lässt sich der WS-C3650-24TS-E stapeln?||Ja, der WS-C3650-24TS-E stapelt per Cisco StackWise-160 (optionales Stack-Kit, bis 9 Einheiten, 160 Gbit/s).##Hat der WS-C3650-24TS-E PoE?||Nein, der WS-C3650-24TS-E hat keine PoE-Einspeisung; die 24 Ports sind reine Datenports.##Was leistet die IP Services-Lizenz des WS-C3650-24TS-E?||Mit der IP Services-Lizenz beherrscht der WS-C3650-24TS-E volles dynamisches Routing (OSPF, EIGRP, BGPv4, IS-IS, PIM, VRF-Lite, IPv6/OSPFv3)."
WS-C3650-48TS-L,"Wie viele Ports hat der WS-C3650-48TS-L?||Der WS-C3650-48TS-L bietet 48× 10/100/1000 (RJ-45) + vier feste 1G-SFP-Uplinks.##Lässt sich der WS-C3650-48TS-L stapeln?||Ja, der WS-C3650-48TS-L stapelt per Cisco StackWise-160 (optionales Stack-Kit, bis 9 Einheiten, 160 Gbit/s).##Hat der WS-C3650-48TS-L PoE?||Nein, der WS-C3650-48TS-L hat keine PoE-Einspeisung; die 48 Ports sind reine Datenports.##Routet der WS-C3650-48TS-L (LAN Base)?||Der WS-C3650-48TS-L beherrscht mit LAN Base umfassendes Layer-2-Switching (bis 255 VLANs, statisches Routing); für dynamisches Routing dienen IP Base/IP Services."
WS-C3650-48TS-S,"Wie viele Ports hat der WS-C3650-48TS-S?||Der WS-C3650-48TS-S bietet 48× 10/100/1000 (RJ-45) + vier feste 1G-SFP-Uplinks.##Lässt sich der WS-C3650-48TS-S stapeln?||Ja, der WS-C3650-48TS-S stapelt per Cisco StackWise-160 (optionales Stack-Kit, bis 9 Einheiten, 160 Gbit/s).##Hat der WS-C3650-48TS-S PoE?||Nein, der WS-C3650-48TS-S hat keine PoE-Einspeisung; die 48 Ports sind reine Datenports.##Was leistet die IP Base-Lizenz des WS-C3650-48TS-S?||Mit der IP Base-Lizenz beherrscht der WS-C3650-48TS-S Routed Access (statisches Routing, RIPv2, EIGRP-Stub, OSPF for Routed Access, PBR)."
WS-C3650-48TS-E,"Wie viele Ports hat der WS-C3650-48TS-E?||Der WS-C3650-48TS-E bietet 48× 10/100/1000 (RJ-45) + vier feste 1G-SFP-Uplinks.##Lässt sich der WS-C3650-48TS-E stapeln?||Ja, der WS-C3650-48TS-E stapelt per Cisco StackWise-160 (optionales Stack-Kit, bis 9 Einheiten, 160 Gbit/s).##Hat der WS-C3650-48TS-E PoE?||Nein, der WS-C3650-48TS-E hat keine PoE-Einspeisung; die 48 Ports sind reine Datenports.##Was leistet die IP Services-Lizenz des WS-C3650-48TS-E?||Mit der IP Services-Lizenz beherrscht der WS-C3650-48TS-E volles dynamisches Routing (OSPF, EIGRP, BGPv4, IS-IS, PIM, VRF-Lite, IPv6/OSPFv3)."
WS-C3650-24TD-L,"Wie viele Ports hat der WS-C3650-24TD-L?||Der WS-C3650-24TD-L bietet 24× 10/100/1000 (RJ-45) + zwei feste 10G-SFP+- und zwei feste 1G-SFP-Uplinks.##Lässt sich der WS-C3650-24TD-L stapeln?||Ja, der WS-C3650-24TD-L stapelt per Cisco StackWise-160 (optionales Stack-Kit, bis 9 Einheiten, 160 Gbit/s).##Hat der WS-C3650-24TD-L PoE?||Nein, der WS-C3650-24TD-L hat keine PoE-Einspeisung; die 24 Ports sind reine Datenports.##Routet der WS-C3650-24TD-L (LAN Base)?||Der WS-C3650-24TD-L beherrscht mit LAN Base umfassendes Layer-2-Switching (bis 255 VLANs, statisches Routing); für dynamisches Routing dienen IP Base/IP Services."
WS-C3650-24TD-S,"Wie viele Ports hat der WS-C3650-24TD-S?||Der WS-C3650-24TD-S bietet 24× 10/100/1000 (RJ-45) + zwei feste 10G-SFP+- und zwei feste 1G-SFP-Uplinks.##Lässt sich der WS-C3650-24TD-S stapeln?||Ja, der WS-C3650-24TD-S stapelt per Cisco StackWise-160 (optionales Stack-Kit, bis 9 Einheiten, 160 Gbit/s).##Hat der WS-C3650-24TD-S PoE?||Nein, der WS-C3650-24TD-S hat keine PoE-Einspeisung; die 24 Ports sind reine Datenports.##Was leistet die IP Base-Lizenz des WS-C3650-24TD-S?||Mit der IP Base-Lizenz beherrscht der WS-C3650-24TD-S Routed Access (statisches Routing, RIPv2, EIGRP-Stub, OSPF for Routed Access, PBR)."
WS-C3650-24TD-E,"Wie viele Ports hat der WS-C3650-24TD-E?||Der WS-C3650-24TD-E bietet 24× 10/100/1000 (RJ-45) + zwei feste 10G-SFP+- und zwei feste 1G-SFP-Uplinks.##Lässt sich der WS-C3650-24TD-E stapeln?||Ja, der WS-C3650-24TD-E stapelt per Cisco StackWise-160 (optionales Stack-Kit, bis 9 Einheiten, 160 Gbit/s).##Hat der WS-C3650-24TD-E PoE?||Nein, der WS-C3650-24TD-E hat keine PoE-Einspeisung; die 24 Ports sind reine Datenports.##Was leistet die IP Services-Lizenz des WS-C3650-24TD-E?||Mit der IP Services-Lizenz beherrscht der WS-C3650-24TD-E volles dynamisches Routing (OSPF, EIGRP, BGPv4, IS-IS, PIM, VRF-Lite, IPv6/OSPFv3)."
WS-C3650-48TD-L,"Wie viele Ports hat der WS-C3650-48TD-L?||Der WS-C3650-48TD-L bietet 48× 10/100/1000 (RJ-45) + zwei feste 10G-SFP+- und zwei feste 1G-SFP-Uplinks.##Lässt sich der WS-C3650-48TD-L stapeln?||Ja, der WS-C3650-48TD-L stapelt per Cisco StackWise-160 (optionales Stack-Kit, bis 9 Einheiten, 160 Gbit/s).##Hat der WS-C3650-48TD-L PoE?||Nein, der WS-C3650-48TD-L hat keine PoE-Einspeisung; die 48 Ports sind reine Datenports.##Routet der WS-C3650-48TD-L (LAN Base)?||Der WS-C3650-48TD-L beherrscht mit LAN Base umfassendes Layer-2-Switching (bis 255 VLANs, statisches Routing); für dynamisches Routing dienen IP Base/IP Services."
