Artikelnummer;Netto-VK
WS-C3650-24TS-L;220,00
WS-C3650-24TS-S;290,00
WS-C3650-24TS-E;350,00
WS-C3650-48TS-L;420,00
WS-C3650-48TS-S;550,00
WS-C3650-48TS-E;670,00
WS-C3650-24TD-L;300,00
WS-C3650-24TD-S;390,00
WS-C3650-24TD-E;480,00
WS-C3650-48TD-L;560,00
WS-C3650-48TD-S;730,00
WS-C3650-48TD-E;900,00
WS-C3650-48TQ-L;650,00
WS-C3650-48TQ-S;840,00
WS-C3650-48TQ-E;1040,00
WS-C3650-48PQ-L;1150,00
WS-C3650-48PQ-S;1500,00
WS-C3650-48PQ-E;1840,00
WS-C3650-48FQ-L;1500,00
WS-C3650-48FQ-S;1950,00
WS-C3650-48FQ-E;2400,00
WS-C3650-24PDM-L;650,00
WS-C3650-24PDM-S;840,00
WS-C3650-24PDM-E;1040,00
WS-C3650-48FQM-L;1450,00
WS-C3650-48FQM-S;1880,00
WS-C3650-48FQM-E;2320,00
WS-C3650-8X24PD-L;1700,00
WS-C3650-8X24PD-S;2210,00
WS-C3650-8X24PD-E;2720,00
WS-C3650-8X24UQ-L;2100,00
WS-C3650-8X24UQ-S;2730,00
WS-C3650-8X24UQ-E;3360,00
WS-C3650-12X48FD-L;2600,00
WS-C3650-12X48FD-S;3380,00
WS-C3650-12X48FD-E;4160,00
WS-C3650-12X48UQ-L;2900,00
WS-C3650-12X48UQ-S;3770,00
WS-C3650-12X48UQ-E;4640,00
WS-C3650-12X48UR-L;3200,00
WS-C3650-12X48UR-S;4160,00
WS-C3650-12X48UR-E;5120,00
WS-C3650-12X48UZ-L;3300,00
WS-C3650-12X48UZ-S;4290,00
WS-C3650-12X48UZ-E;5280,00
