Artikelnummer;Überverkauf Plattform Hexwaren
CTP-SFP-1GE-LX;TRUE
CTP-SFP-1GE-SX;TRUE
CTP-SFP-1GE-T;TRUE
RX-10KM-SFP;TRUE
RX-550M-SFP;TRUE
RX-70KM-SFP;TRUE
RX-FXSM-SFP;TRUE
RX-GET-SFP;TRUE
SFP-1FE-FX;TRUE
SFP-1GE-FE-E-T;TRUE
SFP-1GE-LH;TRUE
SFP-1GE-LX;TRUE
SFP-1GE-SX;TRUE
SFP-1GE-T;TRUE
SFP-FE20KT13R15;TRUE
SFP-FE20KT15R13;TRUE
SFP-GE10KT13R14;TRUE
SFP-GE10KT13R15;TRUE
SFP-GE10KT14R13;TRUE
SFP-GE10KT15R13;TRUE
SFP-GE40KM;TRUE
SFPP-10GE-ER;TRUE
SFPP-10GE-LR;TRUE
SFPP-10GE-LRM;TRUE
SFPP-10GE-SR;TRUE
XENPAK-1XGE-ER;TRUE
XENPAK-1XGE-LR;TRUE
XENPAK-1XGE-SR;TRUE
XENPAK-1XGE-ZR;TRUE
XFP-10GE-ER;TRUE
XFP-10GE-LR;TRUE
XFP-10GE-SR;TRUE
XFP-10G-S;TRUE
QDD-2X400G-DR4-P;TRUE
QDD-2X400G-FR4-JUNIPER;TRUE
QDD-2X400G-FR4-P;TRUE
QDD-2X400G-LR4-10;TRUE
QDD-2X400G-LR4-P;TRUE
QDD-400G-DR4-JUNIPER;TRUE
QDD-400G-FR4-JUNIPER;TRUE
QDD-400G-LR4-10;TRUE
QDD-400G-ER4-30;TRUE
QDD-400G-LR8-JUNIPER;TRUE
QDD-400G-PLR4-JUNIPER;TRUE
QDD-400G-ZR-JUNIPER;TRUE
QDD-400G-ZR-M;TRUE
QDD-400G-ZR-M-HP;TRUE
JCO400-QDD-ZR;TRUE
JCO400-QDD-ZR-M;TRUE
JCO400-QDD-ZR-M-HP;TRUE
CFP-100GBASE-ER4;TRUE
CFP-100GBASE-LR4;TRUE
CFP-100GBASE-SR10;TRUE
CFP-GEN2-100GBASE-LR4;TRUE
CFP2-100GBASE-ER4;TRUE
CFP2-100GBASE-LR4;TRUE
JNP-QSFP-100G-BXSR;TRUE
JNP-QSFP-100G-CWDM;TRUE
JNP-QSFP-100G-LR4;TRUE
JNP-QSFP-100G-LR4-4WDM-20-I;TRUE
JNP-QSFP-100G-LR4-4WDM-40-I;TRUE
JNP-QSFP-100G-PSM4;TRUE
JNP-QSFP-100G-SR4;TRUE
QDD-4X100G-FR;TRUE
QDD-4X100G-LR;TRUE
QSFP-100G-4WDM40;TRUE
QSFP-100G-CWDM;TRUE
QSFP-100G-CWDM4-JUNIPER;TRUE
QSFP-100G-DR-JUNIPER;TRUE
QSFP-100G-ER4L;TRUE
QSFP-100G-FR-JUNIPER;TRUE
QSFP-100G-LR-JUNIPER;TRUE
QSFP-100G-LR4-JUNIPER;TRUE
QSFP-100G-LR4-D;TRUE
QSFP-100G-PSM4-JUNIPER;TRUE
QSFP-100G-SR1P2;TRUE
QSFP-100G-SR4-C;TRUE
EX-SFP-10G-BX-D;TRUE
EX-SFP-10G-BX-D-40;TRUE
EX-SFP-10G-BX-D-80;TRUE
EX-SFP-10G-BX-U;TRUE
EX-SFP-10G-BX-U-40;TRUE
EX-SFP-10G-BX-U-80;TRUE
EX-SFP-10GE-BX23;TRUE
EX-SFP-10GE-BX23-60;TRUE
EX-SFP-10GE-BX32;TRUE
EX-SFP-10GE-BX32-60;TRUE
EX-SFP-10GE-ER;TRUE
EX-SFP-10GE-LR;TRUE
EX-SFP-10GE-LRM;TRUE
