Artikelnummer,Attributname,Attributwert
QSFP-4SFP25-CU1M,FAQ,"Welche Datenrate überträgt QSFP-4SFP25-CU1M?||QSFP-4SFP25-CU1M überträgt 100 Gbit/s (4× 25 Gbit/s) gemäß 100GBASE-CR4 zu 4× 25GBASE-CR Breakout (Twinax, passiv).##Welchen Formfaktor und Anschluss hat QSFP-4SFP25-CU1M?||QSFP-4SFP25-CU1M ist im Formfaktor QSFP28 ausgeführt mit Anschluss 1× QSFP28 + 4× SFP28 (fest konfektioniert).##Welche Länge und welchen Kabeltyp hat QSFP-4SFP25-CU1M?||QSFP-4SFP25-CU1M hat eine Länge von 1 m und ist als Twinax-Kupfer, passiv, Breakout ausgeführt.##Unterstützt QSFP-4SFP25-CU1M digitales Diagnose-Monitoring (DOM/DDM)?||DOM/DDM-Unterstützung bei QSFP-4SFP25-CU1M: Nein.##In welchem Temperaturbereich arbeitet QSFP-4SFP25-CU1M?||QSFP-4SFP25-CU1M arbeitet laut Datenblatt im Bereich 0 bis 70 °C.##Wofür wird QSFP-4SFP25-CU1M eingesetzt?||QSFP-4SFP25-CU1M ist ausgelegt für Rechenzentrum (Top-of-Rack-/Row-Verkabelung).##Benötigt QSFP-4SFP25-CU1M eine eigene Stromversorgung?||Nein. QSFP-4SFP25-CU1M ist ein passives Kabel ohne aktive Elektronik und ohne externe Stromversorgung."
QSFP-4SFP25-CU2M,FAQ,"Welche Datenrate überträgt QSFP-4SFP25-CU2M?||QSFP-4SFP25-CU2M überträgt 100 Gbit/s (4× 25 Gbit/s) gemäß 100GBASE-CR4 zu 4× 25GBASE-CR Breakout (Twinax, passiv).##Welchen Formfaktor und Anschluss hat QSFP-4SFP25-CU2M?||QSFP-4SFP25-CU2M ist im Formfaktor QSFP28 ausgeführt mit Anschluss 1× QSFP28 + 4× SFP28 (fest konfektioniert).##Welche Länge und welchen Kabeltyp hat QSFP-4SFP25-CU2M?||QSFP-4SFP25-CU2M hat eine Länge von 2 m und ist als Twinax-Kupfer, passiv, Breakout ausgeführt.##Unterstützt QSFP-4SFP25-CU2M digitales Diagnose-Monitoring (DOM/DDM)?||DOM/DDM-Unterstützung bei QSFP-4SFP25-CU2M: Nein.##In welchem Temperaturbereich arbeitet QSFP-4SFP25-CU2M?||QSFP-4SFP25-CU2M arbeitet laut Datenblatt im Bereich 0 bis 70 °C.##Wofür wird QSFP-4SFP25-CU2M eingesetzt?||QSFP-4SFP25-CU2M ist ausgelegt für Rechenzentrum (Top-of-Rack-/Row-Verkabelung).##Benötigt QSFP-4SFP25-CU2M eine eigene Stromversorgung?||Nein. QSFP-4SFP25-CU2M ist ein passives Kabel ohne aktive Elektronik und ohne externe Stromversorgung."
QSFP-4SFP25-CU3M,FAQ,"Welche Datenrate überträgt QSFP-4SFP25-CU3M?||QSFP-4SFP25-CU3M überträgt 100 Gbit/s (4× 25 Gbit/s) gemäß 100GBASE-CR4 zu 4× 25GBASE-CR Breakout (Twinax, passiv).##Welchen Formfaktor und Anschluss hat QSFP-4SFP25-CU3M?||QSFP-4SFP25-CU3M ist im Formfaktor QSFP28 ausgeführt mit Anschluss 1× QSFP28 + 4× SFP28 (fest konfektioniert).##Welche Länge und welchen Kabeltyp hat QSFP-4SFP25-CU3M?||QSFP-4SFP25-CU3M hat eine Länge von 3 m und ist als Twinax-Kupfer, passiv, Breakout ausgeführt.##Unterstützt QSFP-4SFP25-CU3M digitales Diagnose-Monitoring (DOM/DDM)?||DOM/DDM-Unterstützung bei QSFP-4SFP25-CU3M: Nein.##In welchem Temperaturbereich arbeitet QSFP-4SFP25-CU3M?||QSFP-4SFP25-CU3M arbeitet laut Datenblatt im Bereich 0 bis 70 °C.##Wofür wird QSFP-4SFP25-CU3M eingesetzt?||QSFP-4SFP25-CU3M ist ausgelegt für Rechenzentrum (Top-of-Rack-/Row-Verkabelung).##Benötigt QSFP-4SFP25-CU3M eine eigene Stromversorgung?||Nein. QSFP-4SFP25-CU3M ist ein passives Kabel ohne aktive Elektronik und ohne externe Stromversorgung."
QSFP-4SFP25-CU4M,FAQ,"Welche Datenrate überträgt QSFP-4SFP25-CU4M?||QSFP-4SFP25-CU4M überträgt 100 Gbit/s (4× 25 Gbit/s) gemäß 100GBASE-CR4 zu 4× 25GBASE-CR Breakout (Twinax, passiv).##Welchen Formfaktor und Anschluss hat QSFP-4SFP25-CU4M?||QSFP-4SFP25-CU4M ist im Formfaktor QSFP28 ausgeführt mit Anschluss 1× QSFP28 + 4× SFP28 (fest konfektioniert).##Welche Länge und welchen Kabeltyp hat QSFP-4SFP25-CU4M?||QSFP-4SFP25-CU4M hat eine Länge von 4 m und ist als Twinax-Kupfer, passiv, Breakout ausgeführt.##Unterstützt QSFP-4SFP25-CU4M digitales Diagnose-Monitoring (DOM/DDM)?||DOM/DDM-Unterstützung bei QSFP-4SFP25-CU4M: Nein.##In welchem Temperaturbereich arbeitet QSFP-4SFP25-CU4M?||QSFP-4SFP25-CU4M arbeitet laut Datenblatt im Bereich 0 bis 70 °C.##Wofür wird QSFP-4SFP25-CU4M eingesetzt?||QSFP-4SFP25-CU4M ist ausgelegt für Rechenzentrum (Top-of-Rack-/Row-Verkabelung).##Benötigt QSFP-4SFP25-CU4M eine eigene Stromversorgung?||Nein. QSFP-4SFP25-CU4M ist ein passives Kabel ohne aktive Elektronik und ohne externe Stromversorgung."
QSFP-4SFP25-CU5M,FAQ,"Welche Datenrate überträgt QSFP-4SFP25-CU5M?||QSFP-4SFP25-CU5M überträgt 100 Gbit/s (4× 25 Gbit/s) gemäß 100GBASE-CR4 zu 4× 25GBASE-CR Breakout (Twinax, passiv).##Welchen Formfaktor und Anschluss hat QSFP-4SFP25-CU5M?||QSFP-4SFP25-CU5M ist im Formfaktor QSFP28 ausgeführt mit Anschluss 1× QSFP28 + 4× SFP28 (fest konfektioniert).##Welche Länge und welchen Kabeltyp hat QSFP-4SFP25-CU5M?||QSFP-4SFP25-CU5M hat eine Länge von 5 m und ist als Twinax-Kupfer, passiv, Breakout ausgeführt.##Unterstützt QSFP-4SFP25-CU5M digitales Diagnose-Monitoring (DOM/DDM)?||DOM/DDM-Unterstützung bei QSFP-4SFP25-CU5M: Nein.##In welchem Temperaturbereich arbeitet QSFP-4SFP25-CU5M?||QSFP-4SFP25-CU5M arbeitet laut Datenblatt im Bereich 0 bis 70 °C.##Wofür wird QSFP-4SFP25-CU5M eingesetzt?||QSFP-4SFP25-CU5M ist ausgelegt für Rechenzentrum (Top-of-Rack-/Row-Verkabelung).##Benötigt QSFP-4SFP25-CU5M eine eigene Stromversorgung?||Nein. QSFP-4SFP25-CU5M ist ein passives Kabel ohne aktive Elektronik und ohne externe Stromversorgung."
QSFP-100G-SR4-S,FAQ,"Welche Datenrate überträgt QSFP-100G-SR4-S?||QSFP-100G-SR4-S überträgt 100 Gbit/s gemäß IEEE 802.3bm 100GBASE-SR4.##Welchen Formfaktor und Anschluss hat QSFP-100G-SR4-S?||QSFP-100G-SR4-S ist im Formfaktor QSFP28 ausgeführt mit Anschluss MPO-12 (PC/UPC).##Welche Reichweite erzielt QSFP-100G-SR4-S?||QSFP-100G-SR4-S überbrückt 70 m (OM3) / 100 m (OM4/OM5) bei 850 nm.##Unterstützt QSFP-100G-SR4-S digitales Diagnose-Monitoring (DOM/DDM)?||DOM/DDM-Unterstützung bei QSFP-100G-SR4-S: Ja (DOM/DDM).##In welchem Temperaturbereich arbeitet QSFP-100G-SR4-S?||QSFP-100G-SR4-S arbeitet laut Datenblatt im Bereich 0 bis 70 °C.##Wofür wird QSFP-100G-SR4-S eingesetzt?||QSFP-100G-SR4-S ist ausgelegt für Rechenzentrum (Kurzstrecke).##Wie wird QSFP-100G-SR4-S mit Strom versorgt?||QSFP-100G-SR4-S bezieht die Versorgung über den Host-Port; ein externes Netzteil ist nicht erforderlich."
QSFP-100G-SL4,FAQ,"Welche Datenrate überträgt QSFP-100G-SL4?||QSFP-100G-SL4 überträgt 100 Gbit/s gemäß 100GBASE-SL4 (Short Link, SR4-basiert).##Welchen Formfaktor und Anschluss hat QSFP-100G-SL4?||QSFP-100G-SL4 ist im Formfaktor QSFP28 ausgeführt mit Anschluss MPO-12 (PC/UPC).##Welche Reichweite erzielt QSFP-100G-SL4?||QSFP-100G-SL4 überbrückt 20 m (OM3) / 30 m (OM4/OM5) bei 850 nm.##Unterstützt QSFP-100G-SL4 digitales Diagnose-Monitoring (DOM/DDM)?||DOM/DDM-Unterstützung bei QSFP-100G-SL4: Ja (DOM/DDM).##In welchem Temperaturbereich arbeitet QSFP-100G-SL4?||QSFP-100G-SL4 arbeitet laut Datenblatt im Bereich 0 bis 70 °C.##Wofür wird QSFP-100G-SL4 eingesetzt?||QSFP-100G-SL4 ist ausgelegt für Rechenzentrum (Kurzstrecke).##Wie wird QSFP-100G-SL4 mit Strom versorgt?||QSFP-100G-SL4 bezieht die Versorgung über den Host-Port; ein externes Netzteil ist nicht erforderlich."
QSFP-100G-B20U4-I,FAQ,"Welche Datenrate überträgt QSFP-100G-B20U4-I?||QSFP-100G-B20U4-I überträgt 100 Gbit/s gemäß 100G BiDi 20 km (4 Lanes, NRZ, Host-RS-FEC, IND).##Welchen Formfaktor und Anschluss hat QSFP-100G-B20U4-I?||QSFP-100G-B20U4-I ist im Formfaktor QSFP28 ausgeführt mit Anschluss Single LC/PC (Single-Fiber BiDi).##Welche Reichweite erzielt QSFP-100G-B20U4-I?||QSFP-100G-B20U4-I überbrückt 20 km bei 1296/1300/1304/1309 nm & 1274/1278/1282/1287 nm (O-Band, BiDi).##Unterstützt QSFP-100G-B20U4-I digitales Diagnose-Monitoring (DOM/DDM)?||DOM/DDM-Unterstützung bei QSFP-100G-B20U4-I: Ja (DOM/DDM).##In welchem Temperaturbereich arbeitet QSFP-100G-B20U4-I?||QSFP-100G-B20U4-I arbeitet laut Datenblatt im Bereich -40 °C Kaltstart, -20 bis 85 °C Betrieb (industriell).##Wofür wird QSFP-100G-B20U4-I eingesetzt?||QSFP-100G-B20U4-I ist ausgelegt für Campus-/Metro-Netz (Langstrecke).##Wie wird QSFP-100G-B20U4-I mit Strom versorgt?||QSFP-100G-B20U4-I bezieht die Versorgung über den Host-Port; ein externes Netzteil ist nicht erforderlich."
QSFP-100G-B20D4-I,FAQ,"Welche Datenrate überträgt QSFP-100G-B20D4-I?||QSFP-100G-B20D4-I überträgt 100 Gbit/s gemäß 100G BiDi 20 km (4 Lanes, NRZ, Host-RS-FEC, IND).##Welchen Formfaktor und Anschluss hat QSFP-100G-B20D4-I?||QSFP-100G-B20D4-I ist im Formfaktor QSFP28 ausgeführt mit Anschluss Single LC/PC (Single-Fiber BiDi).##Welche Reichweite erzielt QSFP-100G-B20D4-I?||QSFP-100G-B20D4-I überbrückt 20 km bei 1274/1278/1282/1287 nm & 1296/1300/1304/1309 nm (O-Band, BiDi).##Unterstützt QSFP-100G-B20D4-I digitales Diagnose-Monitoring (DOM/DDM)?||DOM/DDM-Unterstützung bei QSFP-100G-B20D4-I: Ja (DOM/DDM).##In welchem Temperaturbereich arbeitet QSFP-100G-B20D4-I?||QSFP-100G-B20D4-I arbeitet laut Datenblatt im Bereich -40 °C Kaltstart, -20 bis 85 °C Betrieb (industriell).##Wofür wird QSFP-100G-B20D4-I eingesetzt?||QSFP-100G-B20D4-I ist ausgelegt für Campus-/Metro-Netz (Langstrecke).##Wie wird QSFP-100G-B20D4-I mit Strom versorgt?||QSFP-100G-B20D4-I bezieht die Versorgung über den Host-Port; ein externes Netzteil ist nicht erforderlich."
QSFP-100G-CU1.5M,FAQ,"Welche Datenrate überträgt QSFP-100G-CU1.5M?||QSFP-100G-CU1.5M überträgt 100 Gbit/s gemäß 100GBASE-CR4 (Twinax, passiv).##Welchen Formfaktor und Anschluss hat QSFP-100G-CU1.5M?||QSFP-100G-CU1.5M ist im Formfaktor QSFP28 ausgeführt mit Anschluss 2× QSFP28 (fest konfektioniert).##Welche Länge und welchen Kabeltyp hat QSFP-100G-CU1.5M?||QSFP-100G-CU1.5M hat eine Länge von 1,5 m und ist als Twinax-Kupfer, passiv ausgeführt.##Unterstützt QSFP-100G-CU1.5M digitales Diagnose-Monitoring (DOM/DDM)?||DOM/DDM-Unterstützung bei QSFP-100G-CU1.5M: Nein.##In welchem Temperaturbereich arbeitet QSFP-100G-CU1.5M?||QSFP-100G-CU1.5M arbeitet laut Datenblatt im Bereich 0 bis 70 °C.##Wofür wird QSFP-100G-CU1.5M eingesetzt?||QSFP-100G-CU1.5M ist ausgelegt für Rechenzentrum (Top-of-Rack-/Row-Verkabelung).##Benötigt QSFP-100G-CU1.5M eine eigene Stromversorgung?||Nein. QSFP-100G-CU1.5M ist ein passives Kabel ohne aktive Elektronik und ohne externe Stromversorgung."
