Artikelnummer,FAQ
J9534A,"Wofür wird die J9534A verwendet?||Die J9534A ist eine zl-Linecard (24× Gig-T PoE+) für die modularen HP-ProCurve-5400zl- und 8200zl-Chassis.##In welche Chassis passt die J9534A?||Die J9534A ist mit den Serien HP ProCurve 5400zl und 8200zl kompatibel und belegt einen zl-Modul-Steckplatz.##Unterstützt die J9534A PoE?||Ja. Die J9534A speist angeschlossene Geräte per Power over Ethernet ein; das Gesamt-PoE-Budget hängt von der Netzteilbestückung des Chassis ab.##Ist die J9534A ungebraucht?||Ja."
J9535A,"Wofür wird die J9535A verwendet?||Die J9535A ist eine zl-Linecard (20× Gig-T PoE+ + 4× SFP) für die modularen HP-ProCurve-5400zl- und 8200zl-Chassis.##In welche Chassis passt die J9535A?||Die J9535A ist mit den Serien HP ProCurve 5400zl und 8200zl kompatibel und belegt einen zl-Modul-Steckplatz.##Unterstützt die J9535A PoE?||Ja. Die J9535A speist angeschlossene Geräte per Power over Ethernet ein; das Gesamt-PoE-Budget hängt von der Netzteilbestückung des Chassis ab.##Ist die J9535A ungebraucht?||Ja."
J9536A,"Wofür wird die J9536A verwendet?||Die J9536A ist eine zl-Linecard (20× Gig-T PoE+ + 2× SFP+) für die modularen HP-ProCurve-5400zl- und 8200zl-Chassis.##In welche Chassis passt die J9536A?||Die J9536A ist mit den Serien HP ProCurve 5400zl und 8200zl kompatibel und belegt einen zl-Modul-Steckplatz.##Unterstützt die J9536A PoE?||Ja. Die J9536A speist angeschlossene Geräte per Power over Ethernet ein; das Gesamt-PoE-Budget hängt von der Netzteilbestückung des Chassis ab.##Ist die J9536A ungebraucht?||Ja."
J9537A,"Wofür wird die J9537A verwendet?||Die J9537A ist eine zl-Linecard (24× SFP (1G)) für die modularen HP-ProCurve-5400zl- und 8200zl-Chassis.##In welche Chassis passt die J9537A?||Die J9537A ist mit den Serien HP ProCurve 5400zl und 8200zl kompatibel und belegt einen zl-Modul-Steckplatz.##Unterstützt die J9537A PoE?||Nein. Die J9537A ist eine zl-Linecard ohne Power over Ethernet.##Ist die J9537A ungebraucht?||Ja."
J9538A,"Wofür wird die J9538A verwendet?||Die J9538A ist eine zl-Linecard (8× 10-GbE SFP+) für die modularen HP-ProCurve-5400zl- und 8200zl-Chassis.##In welche Chassis passt die J9538A?||Die J9538A ist mit den Serien HP ProCurve 5400zl und 8200zl kompatibel und belegt einen zl-Modul-Steckplatz.##Unterstützt die J9538A PoE?||Nein. Die J9538A ist eine zl-Linecard ohne Power over Ethernet.##Ist die J9538A ungebraucht?||Ja."
J9546A,"Wofür wird die J9546A verwendet?||Die J9546A ist eine zl-Linecard (8× 10GBASE-T) für die modularen HP-ProCurve-5400zl- und 8200zl-Chassis.##In welche Chassis passt die J9546A?||Die J9546A ist mit den Serien HP ProCurve 5400zl und 8200zl kompatibel und belegt einen zl-Modul-Steckplatz.##Unterstützt die J9546A PoE?||Nein. Die J9546A ist eine zl-Linecard ohne Power over Ethernet.##Ist die J9546A ungebraucht?||Ja."
J9547A,"Wofür wird die J9547A verwendet?||Die J9547A ist eine zl-Linecard (24× 10/100 PoE+) für die modularen HP-ProCurve-5400zl- und 8200zl-Chassis.##In welche Chassis passt die J9547A?||Die J9547A ist mit den Serien HP ProCurve 5400zl und 8200zl kompatibel und belegt einen zl-Modul-Steckplatz.##Unterstützt die J9547A PoE?||Ja. Die J9547A speist angeschlossene Geräte per Power over Ethernet ein; das Gesamt-PoE-Budget hängt von der Netzteilbestückung des Chassis ab.##Ist die J9547A ungebraucht?||Ja."
J9550A,"Wofür wird die J9550A verwendet?||Die J9550A ist eine zl-Linecard (24× Gig-T) für die modularen HP-ProCurve-5400zl- und 8200zl-Chassis.##In welche Chassis passt die J9550A?||Die J9550A ist mit den Serien HP ProCurve 5400zl und 8200zl kompatibel und belegt einen zl-Modul-Steckplatz.##Unterstützt die J9550A PoE?||Nein. Die J9550A ist eine zl-Linecard ohne Power over Ethernet.##Ist die J9550A ungebraucht?||Ja."
J8702A,"Wofür wird die J8702A verwendet?||Die J8702A ist eine zl-Linecard (24× Gig-T PoE) für die modularen HP-ProCurve-5400zl- und 8200zl-Chassis.##In welche Chassis passt die J8702A?||Die J8702A ist mit den Serien HP ProCurve 5400zl und 8200zl kompatibel und belegt einen zl-Modul-Steckplatz.##Unterstützt die J8702A PoE?||Ja. Die J8702A speist angeschlossene Geräte per Power over Ethernet ein; das Gesamt-PoE-Budget hängt von der Netzteilbestückung des Chassis ab.##Ist die J8702A ungebraucht?||Ja."
J8705A,"Wofür wird die J8705A verwendet?||Die J8705A ist eine zl-Linecard (20× Gig-T PoE + 4× SFP) für die modularen HP-ProCurve-5400zl- und 8200zl-Chassis.##In welche Chassis passt die J8705A?||Die J8705A ist mit den Serien HP ProCurve 5400zl und 8200zl kompatibel und belegt einen zl-Modul-Steckplatz.##Unterstützt die J8705A PoE?||Ja. Die J8705A speist angeschlossene Geräte per Power over Ethernet ein; das Gesamt-PoE-Budget hängt von der Netzteilbestückung des Chassis ab.##Ist die J8705A ungebraucht?||Ja."
J8706A,"Wofür wird die J8706A verwendet?||Die J8706A ist eine zl-Linecard (24× SFP (1G)) für die modularen HP-ProCurve-5400zl- und 8200zl-Chassis.##In welche Chassis passt die J8706A?||Die J8706A ist mit den Serien HP ProCurve 5400zl und 8200zl kompatibel und belegt einen zl-Modul-Steckplatz.##Unterstützt die J8706A PoE?||Nein. Die J8706A ist eine zl-Linecard ohne Power over Ethernet.##Ist die J8706A ungebraucht?||Ja."
J8707A,"Wofür wird die J8707A verwendet?||Die J8707A ist eine zl-Linecard (4× 10-GbE X2) für die modularen HP-ProCurve-5400zl- und 8200zl-Chassis.##In welche Chassis passt die J8707A?||Die J8707A ist mit den Serien HP ProCurve 5400zl und 8200zl kompatibel und belegt einen zl-Modul-Steckplatz.##Unterstützt die J8707A PoE?||Nein. Die J8707A ist eine zl-Linecard ohne Power over Ethernet.##Ist die J8707A ungebraucht?||Ja."
J8708A,"Wofür wird die J8708A verwendet?||Die J8708A ist eine zl-Linecard (4× 10-GbE CX4) für die modularen HP-ProCurve-5400zl- und 8200zl-Chassis.##In welche Chassis passt die J8708A?||Die J8708A ist mit den Serien HP ProCurve 5400zl und 8200zl kompatibel und belegt einen zl-Modul-Steckplatz.##Unterstützt die J8708A PoE?||Nein. Die J8708A ist eine zl-Linecard ohne Power over Ethernet.##Ist die J8708A ungebraucht?||Ja."
J9307A,"Wofür wird die J9307A verwendet?||Die J9307A ist eine zl-Linecard (24× Gig-T PoE+) für die modularen HP-ProCurve-5400zl- und 8200zl-Chassis.##In welche Chassis passt die J9307A?||Die J9307A ist mit den Serien HP ProCurve 5400zl und 8200zl kompatibel und belegt einen zl-Modul-Steckplatz.##Unterstützt die J9307A PoE?||Ja. Die J9307A speist angeschlossene Geräte per Power over Ethernet ein; das Gesamt-PoE-Budget hängt von der Netzteilbestückung des Chassis ab.##Ist die J9307A ungebraucht?||Ja."
J9308A,"Wofür wird die J9308A verwendet?||Die J9308A ist eine zl-Linecard (20× Gig-T PoE+ + 4× SFP) für die modularen HP-ProCurve-5400zl- und 8200zl-Chassis.##In welche Chassis passt die J9308A?||Die J9308A ist mit den Serien HP ProCurve 5400zl und 8200zl kompatibel und belegt einen zl-Modul-Steckplatz.##Unterstützt die J9308A PoE?||Ja. Die J9308A speist angeschlossene Geräte per Power over Ethernet ein; das Gesamt-PoE-Budget hängt von der Netzteilbestückung des Chassis ab.##Ist die J9308A ungebraucht?||Ja."
