Artikelnummer,Attributname,Attributwert,Source_URL,Confidence,Verified_At
JL368A,Modultyp,Management-Modul,https://www.hpe.com/psnow/doc/a00073541enw,datasheet,2026-06-30T23:44:18Z
JL368A,Kompatible Serie,Aruba CX 8400,https://www.hpe.com/psnow/doc/a00073541enw,datasheet,2026-06-30T23:44:18Z
JL367A,Switching-Kapazität,"7,2 Tbit/s (Fabric-Modul-Bandbreite)",https://www.hpe.com/psnow/doc/a00073541enw,datasheet,2026-06-30T23:44:18Z
JL367A,Modultyp,Fabric-Modul,https://www.hpe.com/psnow/doc/a00073541enw,datasheet,2026-06-30T23:44:18Z
JL367A,Kompatible Serie,Aruba CX 8400,https://www.hpe.com/psnow/doc/a00073541enw,datasheet,2026-06-30T23:44:18Z
JL363A,Portanzahl,32,https://www.hpe.com/psnow/doc/a00073541enw,datasheet,2026-06-30T23:44:18Z
JL363A,Port-Konfiguration,"32× SFP/SFP+ (10G, MACsec)",https://www.hpe.com/psnow/doc/a00073541enw,datasheet,2026-06-30T23:44:18Z
JL363A,Switching-Kapazität,Fabric-vermittelt (modellspezifischer Wert nicht ausgewiesen),https://www.hpe.com/psnow/doc/a00073541enw,datasheet,2026-06-30T23:44:18Z
JL363A,Modultyp,Linecard,https://www.hpe.com/psnow/doc/a00073541enw,datasheet,2026-06-30T23:44:18Z
JL363A,Kompatible Serie,Aruba CX 8400,https://www.hpe.com/psnow/doc/a00073541enw,datasheet,2026-06-30T23:44:18Z
JL365A,Portanzahl,8,https://www.hpe.com/psnow/doc/a00073541enw,datasheet,2026-06-30T23:44:18Z
JL365A,Port-Konfiguration,8× QSFP+ (40G),https://www.hpe.com/psnow/doc/a00073541enw,datasheet,2026-06-30T23:44:18Z
JL365A,Switching-Kapazität,Fabric-vermittelt (modellspezifischer Wert nicht ausgewiesen),https://www.hpe.com/psnow/doc/a00073541enw,datasheet,2026-06-30T23:44:18Z
JL365A,Modultyp,Linecard,https://www.hpe.com/psnow/doc/a00073541enw,datasheet,2026-06-30T23:44:18Z
JL365A,Kompatible Serie,Aruba CX 8400,https://www.hpe.com/psnow/doc/a00073541enw,datasheet,2026-06-30T23:44:18Z
JL366A,Portanzahl,6,https://www.hpe.com/psnow/doc/a00073541enw,datasheet,2026-06-30T23:44:18Z
JL366A,Port-Konfiguration,6× QSFP28 (40/100G),https://www.hpe.com/psnow/doc/a00073541enw,datasheet,2026-06-30T23:44:18Z
JL366A,Switching-Kapazität,Fabric-vermittelt (modellspezifischer Wert nicht ausgewiesen),https://www.hpe.com/psnow/doc/a00073541enw,datasheet,2026-06-30T23:44:18Z
JL366A,Modultyp,Linecard,https://www.hpe.com/psnow/doc/a00073541enw,datasheet,2026-06-30T23:44:18Z
JL366A,Kompatible Serie,Aruba CX 8400,https://www.hpe.com/psnow/doc/a00073541enw,datasheet,2026-06-30T23:44:18Z
JL687A,Portanzahl,32,https://www.hpe.com/psnow/doc/a00073541enw,datasheet,2026-06-30T23:44:18Z
JL687A,Port-Konfiguration,32× SFP/SFP+/SFP28 (1/10/25G),https://www.hpe.com/psnow/doc/a00073541enw,datasheet,2026-06-30T23:44:18Z
JL687A,Switching-Kapazität,Fabric-vermittelt (modellspezifischer Wert nicht ausgewiesen),https://www.hpe.com/psnow/doc/a00073541enw,datasheet,2026-06-30T23:44:18Z
JL687A,Modultyp,Linecard,https://www.hpe.com/psnow/doc/a00073541enw,datasheet,2026-06-30T23:44:18Z
JL687A,Kompatible Serie,Aruba CX 8400,https://www.hpe.com/psnow/doc/a00073541enw,datasheet,2026-06-30T23:44:18Z
