Artikelnummer,FAQ
C1300-8T-E-2G,"Wie viele Ports hat der C1300-8T-E-2G?||Der C1300-8T-E-2G bietet insgesamt 10 Ports: 8× 1G-RJ45 + 2× 1G-Combo.##Wie wird der C1300-8T-E-2G verwaltet?||Über eine Web-Oberfläche, das Cisco Business Dashboard und die Cisco-Business-App – ohne CLI und ohne Abo-Lizenz; der C1300-8T-E-2G läuft unter einem angepassten Linux-OS (nicht IOS XE).##Unterstützt der C1300-8T-E-2G PoE?||Nein, der C1300-8T-E-2G hat reine Datenports ohne PoE-Einspeisung."
C1300-8P-E-2G,"Wie viele Ports hat der C1300-8P-E-2G?||Der C1300-8P-E-2G bietet insgesamt 10 Ports: 8× 1G-RJ45 (PoE+) + 2× 1G-Combo.##Wie wird der C1300-8P-E-2G verwaltet?||Über eine Web-Oberfläche, das Cisco Business Dashboard und die Cisco-Business-App – ohne CLI und ohne Abo-Lizenz; der C1300-8P-E-2G läuft unter einem angepassten Linux-OS (nicht IOS XE).##Welches PoE-Budget hat der C1300-8P-E-2G?||Der C1300-8P-E-2G liefert PoE+ (802.3at) mit einem Budget von 67 W für IP-Telefone, WLAN-APs und Kameras."
C1300-8FP-2G,"Wie viele Ports hat der C1300-8FP-2G?||Der C1300-8FP-2G bietet insgesamt 10 Ports: 8× 1G-RJ45 (PoE+) + 2× 1G-Combo.##Wie wird der C1300-8FP-2G verwaltet?||Über eine Web-Oberfläche, das Cisco Business Dashboard und die Cisco-Business-App – ohne CLI und ohne Abo-Lizenz; der C1300-8FP-2G läuft unter einem angepassten Linux-OS (nicht IOS XE).##Welches PoE-Budget hat der C1300-8FP-2G?||Der C1300-8FP-2G liefert PoE+ (802.3at) mit einem Budget von 120 W für IP-Telefone, WLAN-APs und Kameras."
C1300-16T-2G,"Wie viele Ports hat der C1300-16T-2G?||Der C1300-16T-2G bietet insgesamt 18 Ports: 16× 1G-RJ45 + 2× 1G-SFP.##Wie wird der C1300-16T-2G verwaltet?||Über eine Web-Oberfläche, das Cisco Business Dashboard und die Cisco-Business-App – ohne CLI und ohne Abo-Lizenz; der C1300-16T-2G läuft unter einem angepassten Linux-OS (nicht IOS XE).##Unterstützt der C1300-16T-2G PoE?||Nein, der C1300-16T-2G hat reine Datenports ohne PoE-Einspeisung."
C1300-16P-2G,"Wie viele Ports hat der C1300-16P-2G?||Der C1300-16P-2G bietet insgesamt 18 Ports: 16× 1G-RJ45 (PoE+) + 2× 1G-SFP.##Wie wird der C1300-16P-2G verwaltet?||Über eine Web-Oberfläche, das Cisco Business Dashboard und die Cisco-Business-App – ohne CLI und ohne Abo-Lizenz; der C1300-16P-2G läuft unter einem angepassten Linux-OS (nicht IOS XE).##Welches PoE-Budget hat der C1300-16P-2G?||Der C1300-16P-2G liefert PoE+ (802.3at) mit einem Budget von 120 W für IP-Telefone, WLAN-APs und Kameras."
C1300-16FP-2G,"Wie viele Ports hat der C1300-16FP-2G?||Der C1300-16FP-2G bietet insgesamt 18 Ports: 16× 1G-RJ45 (PoE+) + 2× 1G-SFP.##Wie wird der C1300-16FP-2G verwaltet?||Über eine Web-Oberfläche, das Cisco Business Dashboard und die Cisco-Business-App – ohne CLI und ohne Abo-Lizenz; der C1300-16FP-2G läuft unter einem angepassten Linux-OS (nicht IOS XE).##Welches PoE-Budget hat der C1300-16FP-2G?||Der C1300-16FP-2G liefert PoE+ (802.3at) mit einem Budget von 240 W für IP-Telefone, WLAN-APs und Kameras."
C1300-24T-4G,"Wie viele Ports hat der C1300-24T-4G?||Der C1300-24T-4G bietet insgesamt 28 Ports: 24× 1G-RJ45 + 4× 1G-SFP.##Wie wird der C1300-24T-4G verwaltet?||Über eine Web-Oberfläche, das Cisco Business Dashboard und die Cisco-Business-App – ohne CLI und ohne Abo-Lizenz; der C1300-24T-4G läuft unter einem angepassten Linux-OS (nicht IOS XE).##Unterstützt der C1300-24T-4G PoE?||Nein, der C1300-24T-4G hat reine Datenports ohne PoE-Einspeisung."
C1300-24P-4G,"Wie viele Ports hat der C1300-24P-4G?||Der C1300-24P-4G bietet insgesamt 28 Ports: 24× 1G-RJ45 (PoE+) + 4× 1G-SFP.##Wie wird der C1300-24P-4G verwaltet?||Über eine Web-Oberfläche, das Cisco Business Dashboard und die Cisco-Business-App – ohne CLI und ohne Abo-Lizenz; der C1300-24P-4G läuft unter einem angepassten Linux-OS (nicht IOS XE).##Welches PoE-Budget hat der C1300-24P-4G?||Der C1300-24P-4G liefert PoE+ (802.3at) mit einem Budget von 195 W für IP-Telefone, WLAN-APs und Kameras."
C1300-24FP-4G,"Wie viele Ports hat der C1300-24FP-4G?||Der C1300-24FP-4G bietet insgesamt 28 Ports: 24× 1G-RJ45 (PoE+) + 4× 1G-SFP.##Wie wird der C1300-24FP-4G verwaltet?||Über eine Web-Oberfläche, das Cisco Business Dashboard und die Cisco-Business-App – ohne CLI und ohne Abo-Lizenz; der C1300-24FP-4G läuft unter einem angepassten Linux-OS (nicht IOS XE).##Welches PoE-Budget hat der C1300-24FP-4G?||Der C1300-24FP-4G liefert PoE+ (802.3at) mit einem Budget von 375 W für IP-Telefone, WLAN-APs und Kameras."
C1300-48T-4G,"Wie viele Ports hat der C1300-48T-4G?||Der C1300-48T-4G bietet insgesamt 52 Ports: 48× 1G-RJ45 + 4× 1G-SFP.##Wie wird der C1300-48T-4G verwaltet?||Über eine Web-Oberfläche, das Cisco Business Dashboard und die Cisco-Business-App – ohne CLI und ohne Abo-Lizenz; der C1300-48T-4G läuft unter einem angepassten Linux-OS (nicht IOS XE).##Unterstützt der C1300-48T-4G PoE?||Nein, der C1300-48T-4G hat reine Datenports ohne PoE-Einspeisung."
