Artikelnummer;Überverkauf Plattform Hexwaren
N7K-SUP1;TRUE
N7K-SUP2;TRUE
N7K-SUP2E;TRUE
N77-SUP2E;TRUE
N77-SUP3E;TRUE
N7K-C7010-FAB-1;TRUE
N7K-C7018-FAB-1;TRUE
N7K-C7009-FAB-2;TRUE
N7K-C7010-FAB-2;TRUE
N7K-C7018-FAB-2;TRUE
N77-C7706-FAB-2;TRUE
N77-C7710-FAB-2;TRUE
N77-C7718-FAB-2;TRUE
N77-C7706-FAB-3;TRUE
N77-C7710-FAB-3;TRUE
N7K-M132XP-12;TRUE
N7K-M132XP-12L;TRUE
N7K-M148GT-11;TRUE
N7K-M148GT-11L;TRUE
N7K-M148GS-11;TRUE
N7K-M148GS-11L;TRUE
N7K-M108X2-12;TRUE
N7K-M108X2-12L;TRUE
N7K-M224XP-23L;TRUE
N7K-M206FQ-23L;TRUE
N7K-M202CF-22L;TRUE
N7K-M348XP-25L;TRUE
N7K-M324FQ-25L;TRUE
N7K-F132XP-15;TRUE
N7K-F248XP-25;TRUE
N7K-F248XP-25E;TRUE
N7K-F248XT-25E;TRUE
N7K-F348XP-25;TRUE
N7K-F312FQ-25;TRUE
N7K-F306CK-25;TRUE
N77-F248XP-23E;TRUE
N77-F348XP-23;TRUE
N77-F324FQ-25;TRUE
N77-F312CK-26;TRUE
N77-F430CQ-36;TRUE
N77-M348XP-23L;TRUE
N77-M324FQ-25L;TRUE
N77-M312CQ-26L;TRUE
