Artikelnummer,FAQ
N7K-SUP1,"Wofür wird die N7K-SUP1 verwendet?||Die N7K-SUP1 ist die zentrale Steuer- und Management-Engine (Supervisor-Engine) für die Cisco-Nexus 7000-Chassis und steuert Control-Plane, Management und Routing des Chassis.##In welche Chassis passt die N7K-SUP1?||Die N7K-SUP1 ist mit den Nexus 7000-Chassis kompatibel und benötigt einen freien Steckplatz; das Chassis ist separat erhältlich.##Ist die N7K-SUP1 ein eigenständiger Switch?||Nein – die N7K-SUP1 ist ein Supervisor-Engine und benötigt ein kompatibles Nexus 7000-Chassis mit Cisco NX-OS; sie wird nicht eigenständig betrieben.##Ist die N7K-SUP1 ungebraucht?||Ja – Hexwaren führt die N7K-SUP1 ausschließlich als ungebrauchte Original-Hardware für Ersatz, Redundanz und Bestandserweiterung in bestehenden Nexus 7000-Installationen."
N7K-SUP2,"Wofür wird die N7K-SUP2 verwendet?||Die N7K-SUP2 ist die zentrale Steuer- und Management-Engine (Supervisor-Engine) für die Cisco-Nexus 7000-Chassis und steuert Control-Plane, Management und Routing des Chassis.##In welche Chassis passt die N7K-SUP2?||Die N7K-SUP2 ist mit den Nexus 7000-Chassis kompatibel und benötigt einen freien Steckplatz; das Chassis ist separat erhältlich.##Ist die N7K-SUP2 ein eigenständiger Switch?||Nein – die N7K-SUP2 ist ein Supervisor-Engine und benötigt ein kompatibles Nexus 7000-Chassis mit Cisco NX-OS; sie wird nicht eigenständig betrieben.##Ist die N7K-SUP2 ungebraucht?||Ja – Hexwaren führt die N7K-SUP2 ausschließlich als ungebrauchte Original-Hardware für Ersatz, Redundanz und Bestandserweiterung in bestehenden Nexus 7000-Installationen."
N7K-SUP2E,"Wofür wird die N7K-SUP2E verwendet?||Die N7K-SUP2E ist die zentrale Steuer- und Management-Engine (Supervisor-Engine) für die Cisco-Nexus 7000-Chassis und steuert Control-Plane, Management und Routing des Chassis.##In welche Chassis passt die N7K-SUP2E?||Die N7K-SUP2E ist mit den Nexus 7000-Chassis kompatibel und benötigt einen freien Steckplatz; das Chassis ist separat erhältlich.##Ist die N7K-SUP2E ein eigenständiger Switch?||Nein – die N7K-SUP2E ist ein Supervisor-Engine und benötigt ein kompatibles Nexus 7000-Chassis mit Cisco NX-OS; sie wird nicht eigenständig betrieben.##Ist die N7K-SUP2E ungebraucht?||Ja – Hexwaren führt die N7K-SUP2E ausschließlich als ungebrauchte Original-Hardware für Ersatz, Redundanz und Bestandserweiterung in bestehenden Nexus 7000-Installationen."
N77-SUP2E,"Wofür wird die N77-SUP2E verwendet?||Die N77-SUP2E ist die zentrale Steuer- und Management-Engine (Supervisor-Engine) für die Cisco-Nexus 7700-Chassis und steuert Control-Plane, Management und Routing des Chassis.##In welche Chassis passt die N77-SUP2E?||Die N77-SUP2E ist mit den Nexus 7700-Chassis kompatibel und benötigt einen freien Steckplatz; das Chassis ist separat erhältlich.##Ist die N77-SUP2E ein eigenständiger Switch?||Nein – die N77-SUP2E ist ein Supervisor-Engine und benötigt ein kompatibles Nexus 7700-Chassis mit Cisco NX-OS; sie wird nicht eigenständig betrieben.##Ist die N77-SUP2E ungebraucht?||Ja – Hexwaren führt die N77-SUP2E ausschließlich als ungebrauchte Original-Hardware für Ersatz, Redundanz und Bestandserweiterung in bestehenden Nexus 7700-Installationen."
N77-SUP3E,"Wofür wird die N77-SUP3E verwendet?||Die N77-SUP3E ist die zentrale Steuer- und Management-Engine (Supervisor-Engine) für die Cisco-Nexus 7700-Chassis und steuert Control-Plane, Management und Routing des Chassis.##In welche Chassis passt die N77-SUP3E?||Die N77-SUP3E ist mit den Nexus 7700-Chassis kompatibel und benötigt einen freien Steckplatz; das Chassis ist separat erhältlich.##Ist die N77-SUP3E ein eigenständiger Switch?||Nein – die N77-SUP3E ist ein Supervisor-Engine und benötigt ein kompatibles Nexus 7700-Chassis mit Cisco NX-OS; sie wird nicht eigenständig betrieben.##Ist die N77-SUP3E ungebraucht?||Ja – Hexwaren führt die N77-SUP3E ausschließlich als ungebrauchte Original-Hardware für Ersatz, Redundanz und Bestandserweiterung in bestehenden Nexus 7700-Installationen."
N7K-C7010-FAB-1,"Wofür wird die N7K-C7010-FAB-1 verwendet?||Die N7K-C7010-FAB-1 ist ein Switch-Fabric-Modul (Fabric-Modul) für die Cisco-Nexus 7000-Chassis und stellt die Switch-Fabric-Kapazität des Chassis bereit.##In welche Chassis passt die N7K-C7010-FAB-1?||Die N7K-C7010-FAB-1 ist mit den Nexus 7000-Chassis kompatibel und benötigt einen freien Steckplatz; das Chassis ist separat erhältlich.##Ist die N7K-C7010-FAB-1 ein eigenständiger Switch?||Nein – die N7K-C7010-FAB-1 ist ein Fabric-Modul und benötigt ein kompatibles Nexus 7000-Chassis mit Cisco NX-OS; sie wird nicht eigenständig betrieben.##Ist die N7K-C7010-FAB-1 ungebraucht?||Ja – Hexwaren führt die N7K-C7010-FAB-1 ausschließlich als ungebrauchte Original-Hardware für Ersatz, Redundanz und Bestandserweiterung in bestehenden Nexus 7000-Installationen."
N7K-C7018-FAB-1,"Wofür wird die N7K-C7018-FAB-1 verwendet?||Die N7K-C7018-FAB-1 ist ein Switch-Fabric-Modul (Fabric-Modul) für die Cisco-Nexus 7000-Chassis und stellt die Switch-Fabric-Kapazität des Chassis bereit.##In welche Chassis passt die N7K-C7018-FAB-1?||Die N7K-C7018-FAB-1 ist mit den Nexus 7000-Chassis kompatibel und benötigt einen freien Steckplatz; das Chassis ist separat erhältlich.##Ist die N7K-C7018-FAB-1 ein eigenständiger Switch?||Nein – die N7K-C7018-FAB-1 ist ein Fabric-Modul und benötigt ein kompatibles Nexus 7000-Chassis mit Cisco NX-OS; sie wird nicht eigenständig betrieben.##Ist die N7K-C7018-FAB-1 ungebraucht?||Ja – Hexwaren führt die N7K-C7018-FAB-1 ausschließlich als ungebrauchte Original-Hardware für Ersatz, Redundanz und Bestandserweiterung in bestehenden Nexus 7000-Installationen."
N7K-C7009-FAB-2,"Wofür wird die N7K-C7009-FAB-2 verwendet?||Die N7K-C7009-FAB-2 ist ein Switch-Fabric-Modul (Fabric-Modul) für die Cisco-Nexus 7000-Chassis und stellt die Switch-Fabric-Kapazität des Chassis bereit.##In welche Chassis passt die N7K-C7009-FAB-2?||Die N7K-C7009-FAB-2 ist mit den Nexus 7000-Chassis kompatibel und benötigt einen freien Steckplatz; das Chassis ist separat erhältlich.##Ist die N7K-C7009-FAB-2 ein eigenständiger Switch?||Nein – die N7K-C7009-FAB-2 ist ein Fabric-Modul und benötigt ein kompatibles Nexus 7000-Chassis mit Cisco NX-OS; sie wird nicht eigenständig betrieben.##Ist die N7K-C7009-FAB-2 ungebraucht?||Ja – Hexwaren führt die N7K-C7009-FAB-2 ausschließlich als ungebrauchte Original-Hardware für Ersatz, Redundanz und Bestandserweiterung in bestehenden Nexus 7000-Installationen."
N7K-C7010-FAB-2,"Wofür wird die N7K-C7010-FAB-2 verwendet?||Die N7K-C7010-FAB-2 ist ein Switch-Fabric-Modul (Fabric-Modul) für die Cisco-Nexus 7000-Chassis und stellt die Switch-Fabric-Kapazität des Chassis bereit.##In welche Chassis passt die N7K-C7010-FAB-2?||Die N7K-C7010-FAB-2 ist mit den Nexus 7000-Chassis kompatibel und benötigt einen freien Steckplatz; das Chassis ist separat erhältlich.##Ist die N7K-C7010-FAB-2 ein eigenständiger Switch?||Nein – die N7K-C7010-FAB-2 ist ein Fabric-Modul und benötigt ein kompatibles Nexus 7000-Chassis mit Cisco NX-OS; sie wird nicht eigenständig betrieben.##Ist die N7K-C7010-FAB-2 ungebraucht?||Ja – Hexwaren führt die N7K-C7010-FAB-2 ausschließlich als ungebrauchte Original-Hardware für Ersatz, Redundanz und Bestandserweiterung in bestehenden Nexus 7000-Installationen."
N7K-C7018-FAB-2,"Wofür wird die N7K-C7018-FAB-2 verwendet?||Die N7K-C7018-FAB-2 ist ein Switch-Fabric-Modul (Fabric-Modul) für die Cisco-Nexus 7000-Chassis und stellt die Switch-Fabric-Kapazität des Chassis bereit.##In welche Chassis passt die N7K-C7018-FAB-2?||Die N7K-C7018-FAB-2 ist mit den Nexus 7000-Chassis kompatibel und benötigt einen freien Steckplatz; das Chassis ist separat erhältlich.##Ist die N7K-C7018-FAB-2 ein eigenständiger Switch?||Nein – die N7K-C7018-FAB-2 ist ein Fabric-Modul und benötigt ein kompatibles Nexus 7000-Chassis mit Cisco NX-OS; sie wird nicht eigenständig betrieben.##Ist die N7K-C7018-FAB-2 ungebraucht?||Ja – Hexwaren führt die N7K-C7018-FAB-2 ausschließlich als ungebrauchte Original-Hardware für Ersatz, Redundanz und Bestandserweiterung in bestehenden Nexus 7000-Installationen."
