Artikelnummer,FAQ
SF350-08,"Wie viele Ports hat der SF350-08?||Der SF350-08 bietet insgesamt 8 Ports: 8× FE-RJ45.##Wie wird der SF350-08 verwaltet?||Der SF350-08 läuft unter dem Cisco-Small-Business-Switch-Betriebssystem (nicht dem Catalyst-Betriebssystem) und wird über Web-UI, die Smart Network Application (SNA), FindIT und CLI verwaltet, ohne Cloud-Abo und ohne Lizenzgebühr.##Welcher Medientyp und welche Geschwindigkeit hat der SF350-08?||Der SF350-08 bietet Fast-Ethernet (10/100 Mbit/s)-Ports (8× FE-RJ45) ohne PoE-Einspeisung.##Ist der SF350-08 noch aktuell?||Die Cisco-350-Serie ist abgekündigt (End-of-Sale 2021, abgelöst durch Cisco Business CBS350 sowie die Catalyst 1200/1300). Der SF350-08 ist weiterhin als Lagerware im Handel erhältlich und trägt Cisco Limited Lifetime Warranty."
SF352-08,"Wie viele Ports hat der SF352-08?||Der SF352-08 bietet insgesamt 10 Ports: 8× FE-RJ45 + 2× 1G-Combo.##Wie wird der SF352-08 verwaltet?||Der SF352-08 läuft unter dem Cisco-Small-Business-Switch-Betriebssystem (nicht dem Catalyst-Betriebssystem) und wird über Web-UI, die Smart Network Application (SNA), FindIT und CLI verwaltet, ohne Cloud-Abo und ohne Lizenzgebühr.##Welcher Medientyp und welche Geschwindigkeit hat der SF352-08?||Der SF352-08 bietet Fast-Ethernet (10/100 Mbit/s)-Ports (8× FE-RJ45 + 2× 1G-Combo) ohne PoE-Einspeisung.##Ist der SF352-08 noch aktuell?||Die Cisco-350-Serie ist abgekündigt (End-of-Sale 2021, abgelöst durch Cisco Business CBS350 sowie die Catalyst 1200/1300). Der SF352-08 ist weiterhin als Lagerware im Handel erhältlich und trägt Cisco Limited Lifetime Warranty."
SF352-08P,"Wie viele Ports hat der SF352-08P?||Der SF352-08P bietet insgesamt 10 Ports: 8× FE-RJ45 (PoE+) + 2× 1G-Combo.##Wie wird der SF352-08P verwaltet?||Der SF352-08P läuft unter dem Cisco-Small-Business-Switch-Betriebssystem (nicht dem Catalyst-Betriebssystem) und wird über Web-UI, die Smart Network Application (SNA), FindIT und CLI verwaltet, ohne Cloud-Abo und ohne Lizenzgebühr.##Welches PoE-Budget hat der SF352-08P?||Der SF352-08P liefert PoE+ (802.3af/at) mit insgesamt 62 W für IP-Telefone, WLAN-APs und Kameras.##Ist der SF352-08P noch aktuell?||Die Cisco-350-Serie ist abgekündigt (End-of-Sale 2021, abgelöst durch Cisco Business CBS350 sowie die Catalyst 1200/1300). Der SF352-08P ist weiterhin als Lagerware im Handel erhältlich und trägt Cisco Limited Lifetime Warranty."
SF352-08MP,"Wie viele Ports hat der SF352-08MP?||Der SF352-08MP bietet insgesamt 10 Ports: 8× FE-RJ45 (PoE+) + 2× 1G-Combo.##Wie wird der SF352-08MP verwaltet?||Der SF352-08MP läuft unter dem Cisco-Small-Business-Switch-Betriebssystem (nicht dem Catalyst-Betriebssystem) und wird über Web-UI, die Smart Network Application (SNA), FindIT und CLI verwaltet, ohne Cloud-Abo und ohne Lizenzgebühr.##Welches PoE-Budget hat der SF352-08MP?||Der SF352-08MP liefert PoE+ (802.3af/at) mit insgesamt 128 W für IP-Telefone, WLAN-APs und Kameras.##Ist der SF352-08MP noch aktuell?||Die Cisco-350-Serie ist abgekündigt (End-of-Sale 2021, abgelöst durch Cisco Business CBS350 sowie die Catalyst 1200/1300). Der SF352-08MP ist weiterhin als Lagerware im Handel erhältlich und trägt Cisco Limited Lifetime Warranty."
SF350-24,"Wie viele Ports hat der SF350-24?||Der SF350-24 bietet insgesamt 28 Ports: 24× FE-RJ45 + 2× 1G-Combo + 2× 1G-SFP.##Wie wird der SF350-24 verwaltet?||Der SF350-24 läuft unter dem Cisco-Small-Business-Switch-Betriebssystem (nicht dem Catalyst-Betriebssystem) und wird über Web-UI, die Smart Network Application (SNA), FindIT und CLI verwaltet, ohne Cloud-Abo und ohne Lizenzgebühr.##Welcher Medientyp und welche Geschwindigkeit hat der SF350-24?||Der SF350-24 bietet Fast-Ethernet (10/100 Mbit/s)-Ports (24× FE-RJ45 + 2× 1G-Combo + 2× 1G-SFP) ohne PoE-Einspeisung.##Ist der SF350-24 noch aktuell?||Die Cisco-350-Serie ist abgekündigt (End-of-Sale 2021, abgelöst durch Cisco Business CBS350 sowie die Catalyst 1200/1300). Der SF350-24 ist weiterhin als Lagerware im Handel erhältlich und trägt Cisco Limited Lifetime Warranty."
SF350-24P,"Wie viele Ports hat der SF350-24P?||Der SF350-24P bietet insgesamt 28 Ports: 24× FE-RJ45 (PoE+) + 2× 1G-Combo + 2× 1G-SFP.##Wie wird der SF350-24P verwaltet?||Der SF350-24P läuft unter dem Cisco-Small-Business-Switch-Betriebssystem (nicht dem Catalyst-Betriebssystem) und wird über Web-UI, die Smart Network Application (SNA), FindIT und CLI verwaltet, ohne Cloud-Abo und ohne Lizenzgebühr.##Welches PoE-Budget hat der SF350-24P?||Der SF350-24P liefert PoE+ (802.3af/at) inkl. 4× 60-W-PoE-Ports mit insgesamt 185 W für IP-Telefone, WLAN-APs und Kameras.##Ist der SF350-24P noch aktuell?||Die Cisco-350-Serie ist abgekündigt (End-of-Sale 2021, abgelöst durch Cisco Business CBS350 sowie die Catalyst 1200/1300). Der SF350-24P ist weiterhin als Lagerware im Handel erhältlich und trägt Cisco Limited Lifetime Warranty."
SF350-24MP,"Wie viele Ports hat der SF350-24MP?||Der SF350-24MP bietet insgesamt 28 Ports: 24× FE-RJ45 (PoE+) + 2× 1G-Combo + 2× 1G-SFP.##Wie wird der SF350-24MP verwaltet?||Der SF350-24MP läuft unter dem Cisco-Small-Business-Switch-Betriebssystem (nicht dem Catalyst-Betriebssystem) und wird über Web-UI, die Smart Network Application (SNA), FindIT und CLI verwaltet, ohne Cloud-Abo und ohne Lizenzgebühr.##Welches PoE-Budget hat der SF350-24MP?||Der SF350-24MP liefert PoE+ (802.3af/at) inkl. 4× 60-W-PoE-Ports mit insgesamt 375 W für IP-Telefone, WLAN-APs und Kameras.##Ist der SF350-24MP noch aktuell?||Die Cisco-350-Serie ist abgekündigt (End-of-Sale 2021, abgelöst durch Cisco Business CBS350 sowie die Catalyst 1200/1300). Der SF350-24MP ist weiterhin als Lagerware im Handel erhältlich und trägt Cisco Limited Lifetime Warranty."
SF350-48,"Wie viele Ports hat der SF350-48?||Der SF350-48 bietet insgesamt 52 Ports: 48× FE-RJ45 + 2× 1G-Combo + 2× 1G-SFP.##Wie wird der SF350-48 verwaltet?||Der SF350-48 läuft unter dem Cisco-Small-Business-Switch-Betriebssystem (nicht dem Catalyst-Betriebssystem) und wird über Web-UI, die Smart Network Application (SNA), FindIT und CLI verwaltet, ohne Cloud-Abo und ohne Lizenzgebühr.##Welcher Medientyp und welche Geschwindigkeit hat der SF350-48?||Der SF350-48 bietet Fast-Ethernet (10/100 Mbit/s)-Ports (48× FE-RJ45 + 2× 1G-Combo + 2× 1G-SFP) ohne PoE-Einspeisung.##Ist der SF350-48 noch aktuell?||Die Cisco-350-Serie ist abgekündigt (End-of-Sale 2021, abgelöst durch Cisco Business CBS350 sowie die Catalyst 1200/1300). Der SF350-48 ist weiterhin als Lagerware im Handel erhältlich und trägt Cisco Limited Lifetime Warranty."
SF350-48P,"Wie viele Ports hat der SF350-48P?||Der SF350-48P bietet insgesamt 52 Ports: 48× FE-RJ45 (PoE+) + 2× 1G-Combo + 2× 1G-SFP.##Wie wird der SF350-48P verwaltet?||Der SF350-48P läuft unter dem Cisco-Small-Business-Switch-Betriebssystem (nicht dem Catalyst-Betriebssystem) und wird über Web-UI, die Smart Network Application (SNA), FindIT und CLI verwaltet, ohne Cloud-Abo und ohne Lizenzgebühr.##Welches PoE-Budget hat der SF350-48P?||Der SF350-48P liefert PoE+ (802.3af/at) inkl. 8× 60-W-PoE-Ports mit insgesamt 382 W für IP-Telefone, WLAN-APs und Kameras.##Ist der SF350-48P noch aktuell?||Die Cisco-350-Serie ist abgekündigt (End-of-Sale 2021, abgelöst durch Cisco Business CBS350 sowie die Catalyst 1200/1300). Der SF350-48P ist weiterhin als Lagerware im Handel erhältlich und trägt Cisco Limited Lifetime Warranty."
SF350-48MP,"Wie viele Ports hat der SF350-48MP?||Der SF350-48MP bietet insgesamt 52 Ports: 48× FE-RJ45 (PoE+) + 2× 1G-Combo + 2× 1G-SFP.##Wie wird der SF350-48MP verwaltet?||Der SF350-48MP läuft unter dem Cisco-Small-Business-Switch-Betriebssystem (nicht dem Catalyst-Betriebssystem) und wird über Web-UI, die Smart Network Application (SNA), FindIT und CLI verwaltet, ohne Cloud-Abo und ohne Lizenzgebühr.##Welches PoE-Budget hat der SF350-48MP?||Der SF350-48MP liefert PoE+ (802.3af/at) inkl. 8× 60-W-PoE-Ports mit insgesamt 740 W für IP-Telefone, WLAN-APs und Kameras.##Ist der SF350-48MP noch aktuell?||Die Cisco-350-Serie ist abgekündigt (End-of-Sale 2021, abgelöst durch Cisco Business CBS350 sowie die Catalyst 1200/1300). Der SF350-48MP ist weiterhin als Lagerware im Handel erhältlich und trägt Cisco Limited Lifetime Warranty."
SG350-8PD,"Wie viele Ports hat der SG350-8PD?||Der SG350-8PD bietet insgesamt 10 Ports: 6× 1G-RJ45 (PoE+) + 2× 2,5G-RJ45 (PoE+) + 2× MultiGig/SFP+-Combo.##Wie wird der SG350-8PD verwaltet?||Der SG350-8PD läuft unter dem Cisco-Small-Business-Switch-Betriebssystem (nicht dem Catalyst-Betriebssystem) und wird über Web-UI, die Smart Network Application (SNA), FindIT und CLI verwaltet, ohne Cloud-Abo und ohne Lizenzgebühr.##Welches PoE-Budget hat der SG350-8PD?||Der SG350-8PD liefert PoE+ (802.3af/at) mit insgesamt 124 W für IP-Telefone, WLAN-APs und Kameras.##Ist der SG350-8PD noch aktuell?||Die Cisco-350-Serie ist abgekündigt (End-of-Sale 2021, abgelöst durch Cisco Business CBS350 sowie die Catalyst 1200/1300). Der SG350-8PD ist weiterhin als Lagerware im Handel erhältlich und trägt Cisco Limited Lifetime Warranty."
SG350-10,"Wie viele Ports hat der SG350-10?||Der SG350-10 bietet insgesamt 10 Ports: 8× 1G-RJ45 + 2× 1G-Combo.##Wie wird der SG350-10 verwaltet?||Der SG350-10 läuft unter dem Cisco-Small-Business-Switch-Betriebssystem (nicht dem Catalyst-Betriebssystem) und wird über Web-UI, die Smart Network Application (SNA), FindIT und CLI verwaltet, ohne Cloud-Abo und ohne Lizenzgebühr.##Welcher Medientyp und welche Geschwindigkeit hat der SG350-10?||Der SG350-10 bietet Gigabit-Ethernet-Ports (8× 1G-RJ45 + 2× 1G-Combo) ohne PoE-Einspeisung.##Ist der SG350-10 noch aktuell?||Die Cisco-350-Serie ist abgekündigt (End-of-Sale 2021, abgelöst durch Cisco Business CBS350 sowie die Catalyst 1200/1300). Der SG350-10 ist weiterhin als Lagerware im Handel erhältlich und trägt Cisco Limited Lifetime Warranty."
SG350-10P,"Wie viele Ports hat der SG350-10P?||Der SG350-10P bietet insgesamt 10 Ports: 8× 1G-RJ45 (PoE+) + 2× 1G-Combo.##Wie wird der SG350-10P verwaltet?||Der SG350-10P läuft unter dem Cisco-Small-Business-Switch-Betriebssystem (nicht dem Catalyst-Betriebssystem) und wird über Web-UI, die Smart Network Application (SNA), FindIT und CLI verwaltet, ohne Cloud-Abo und ohne Lizenzgebühr.##Welches PoE-Budget hat der SG350-10P?||Der SG350-10P liefert PoE+ (802.3af/at) mit insgesamt 62 W für IP-Telefone, WLAN-APs und Kameras.##Ist der SG350-10P noch aktuell?||Die Cisco-350-Serie ist abgekündigt (End-of-Sale 2021, abgelöst durch Cisco Business CBS350 sowie die Catalyst 1200/1300). Der SG350-10P ist weiterhin als Lagerware im Handel erhältlich und trägt Cisco Limited Lifetime Warranty."
SG350-10MP,"Wie viele Ports hat der SG350-10MP?||Der SG350-10MP bietet insgesamt 10 Ports: 8× 1G-RJ45 (PoE+) + 2× 1G-Combo.##Wie wird der SG350-10MP verwaltet?||Der SG350-10MP läuft unter dem Cisco-Small-Business-Switch-Betriebssystem (nicht dem Catalyst-Betriebssystem) und wird über Web-UI, die Smart Network Application (SNA), FindIT und CLI verwaltet, ohne Cloud-Abo und ohne Lizenzgebühr.##Welches PoE-Budget hat der SG350-10MP?||Der SG350-10MP liefert PoE+ (802.3af/at) mit insgesamt 124 W für IP-Telefone, WLAN-APs und Kameras.##Ist der SG350-10MP noch aktuell?||Die Cisco-350-Serie ist abgekündigt (End-of-Sale 2021, abgelöst durch Cisco Business CBS350 sowie die Catalyst 1200/1300). Der SG350-10MP ist weiterhin als Lagerware im Handel erhältlich und trägt Cisco Limited Lifetime Warranty."
SG355-10P,"Wie viele Ports hat der SG355-10P?||Der SG355-10P bietet insgesamt 10 Ports: 8× 1G-RJ45 (PoE+) + 2× 1G-Combo.##Wie wird der SG355-10P verwaltet?||Der SG355-10P läuft unter dem Cisco-Small-Business-Switch-Betriebssystem (nicht dem Catalyst-Betriebssystem) und wird über Web-UI, die Smart Network Application (SNA), FindIT und CLI verwaltet, ohne Cloud-Abo und ohne Lizenzgebühr.##Welches PoE-Budget hat der SG355-10P?||Der SG355-10P liefert PoE+ (802.3af/at) mit insgesamt 62 W für IP-Telefone, WLAN-APs und Kameras.##Ist der SG355-10P noch aktuell?||Die Cisco-350-Serie ist abgekündigt (End-of-Sale 2021, abgelöst durch Cisco Business CBS350 sowie die Catalyst 1200/1300). Der SG355-10P ist weiterhin als Lagerware im Handel erhältlich und trägt Cisco Limited Lifetime Warranty."
SG350-10SFP,"Wie viele Ports hat der SG350-10SFP?||Der SG350-10SFP bietet insgesamt 10 Ports: 8× 1G-SFP + 2× 1G-Combo.##Wie wird der SG350-10SFP verwaltet?||Der SG350-10SFP läuft unter dem Cisco-Small-Business-Switch-Betriebssystem (nicht dem Catalyst-Betriebssystem) und wird über Web-UI, die Smart Network Application (SNA), FindIT und CLI verwaltet, ohne Cloud-Abo und ohne Lizenzgebühr.##Welcher Medientyp und welche Geschwindigkeit hat der SG350-10SFP?||Der SG350-10SFP bietet Gigabit-Ethernet-Ports (8× 1G-SFP + 2× 1G-Combo) ohne PoE-Einspeisung.##Ist der SG350-10SFP noch aktuell?||Die Cisco-350-Serie ist abgekündigt (End-of-Sale 2021, abgelöst durch Cisco Business CBS350 sowie die Catalyst 1200/1300). Der SG350-10SFP ist weiterhin als Lagerware im Handel erhältlich und trägt Cisco Limited Lifetime Warranty."
SG350-20,"Wie viele Ports hat der SG350-20?||Der SG350-20 bietet insgesamt 20 Ports: 16× 1G-RJ45 + 2× 1G-Combo + 2× 1G-SFP.##Wie wird der SG350-20 verwaltet?||Der SG350-20 läuft unter dem Cisco-Small-Business-Switch-Betriebssystem (nicht dem Catalyst-Betriebssystem) und wird über Web-UI, die Smart Network Application (SNA), FindIT und CLI verwaltet, ohne Cloud-Abo und ohne Lizenzgebühr.##Welcher Medientyp und welche Geschwindigkeit hat der SG350-20?||Der SG350-20 bietet Gigabit-Ethernet-Ports (16× 1G-RJ45 + 2× 1G-Combo + 2× 1G-SFP) ohne PoE-Einspeisung.##Ist der SG350-20 noch aktuell?||Die Cisco-350-Serie ist abgekündigt (End-of-Sale 2021, abgelöst durch Cisco Business CBS350 sowie die Catalyst 1200/1300). Der SG350-20 ist weiterhin als Lagerware im Handel erhältlich und trägt Cisco Limited Lifetime Warranty."
SG350-28,"Wie viele Ports hat der SG350-28?||Der SG350-28 bietet insgesamt 28 Ports: 24× 1G-RJ45 + 2× 1G-Combo + 2× 1G-SFP.##Wie wird der SG350-28 verwaltet?||Der SG350-28 läuft unter dem Cisco-Small-Business-Switch-Betriebssystem (nicht dem Catalyst-Betriebssystem) und wird über Web-UI, die Smart Network Application (SNA), FindIT und CLI verwaltet, ohne Cloud-Abo und ohne Lizenzgebühr.##Welcher Medientyp und welche Geschwindigkeit hat der SG350-28?||Der SG350-28 bietet Gigabit-Ethernet-Ports (24× 1G-RJ45 + 2× 1G-Combo + 2× 1G-SFP) ohne PoE-Einspeisung.##Ist der SG350-28 noch aktuell?||Die Cisco-350-Serie ist abgekündigt (End-of-Sale 2021, abgelöst durch Cisco Business CBS350 sowie die Catalyst 1200/1300). Der SG350-28 ist weiterhin als Lagerware im Handel erhältlich und trägt Cisco Limited Lifetime Warranty."
SG350-28P,"Wie viele Ports hat der SG350-28P?||Der SG350-28P bietet insgesamt 28 Ports: 24× 1G-RJ45 (PoE+) + 2× 1G-Combo + 2× 1G-SFP.##Wie wird der SG350-28P verwaltet?||Der SG350-28P läuft unter dem Cisco-Small-Business-Switch-Betriebssystem (nicht dem Catalyst-Betriebssystem) und wird über Web-UI, die Smart Network Application (SNA), FindIT und CLI verwaltet, ohne Cloud-Abo und ohne Lizenzgebühr.##Welches PoE-Budget hat der SG350-28P?||Der SG350-28P liefert PoE+ (802.3af/at) inkl. 4× 60-W-PoE-Ports mit insgesamt 195 W für IP-Telefone, WLAN-APs und Kameras.##Ist der SG350-28P noch aktuell?||Die Cisco-350-Serie ist abgekündigt (End-of-Sale 2021, abgelöst durch Cisco Business CBS350 sowie die Catalyst 1200/1300). Der SG350-28P ist weiterhin als Lagerware im Handel erhältlich und trägt Cisco Limited Lifetime Warranty."
SG350-28MP,"Wie viele Ports hat der SG350-28MP?||Der SG350-28MP bietet insgesamt 28 Ports: 24× 1G-RJ45 (PoE+) + 2× 1G-Combo + 2× 1G-SFP.##Wie wird der SG350-28MP verwaltet?||Der SG350-28MP läuft unter dem Cisco-Small-Business-Switch-Betriebssystem (nicht dem Catalyst-Betriebssystem) und wird über Web-UI, die Smart Network Application (SNA), FindIT und CLI verwaltet, ohne Cloud-Abo und ohne Lizenzgebühr.##Welches PoE-Budget hat der SG350-28MP?||Der SG350-28MP liefert PoE+ (802.3af/at) inkl. 4× 60-W-PoE-Ports mit insgesamt 382 W für IP-Telefone, WLAN-APs und Kameras.##Ist der SG350-28MP noch aktuell?||Die Cisco-350-Serie ist abgekündigt (End-of-Sale 2021, abgelöst durch Cisco Business CBS350 sowie die Catalyst 1200/1300). Der SG350-28MP ist weiterhin als Lagerware im Handel erhältlich und trägt Cisco Limited Lifetime Warranty."
