Artikelnummer,FAQ
R8Q67A,"Wie viele Ports hat der R8Q67A?||Der R8Q67A bietet insgesamt 28 Ports: 24× 10/100/1000BASE-T (ohne PoE) + 4× SFP+ (1/10G) (Uplink).##Unterstützt der R8Q67A PoE?||Nein. Der R8Q67A ist ein Modell ohne Power over Ethernet und für reine Datenanbindung ausgelegt.##Lässt sich der R8Q67A stapeln (Stacking)?||Ja. Der R8Q67A unterstützt Aruba VSF (bis 8 Einheiten, über die 10G-SFP+-Uplinks) und lässt sich so zu einem logischen Switch zusammenfassen."
R8V08A,"Wie viele Ports hat der R8V08A?||Der R8V08A bietet insgesamt 28 Ports: 24× 10/100/1000BASE-T (ohne PoE) + 4× SFP+ (1/10G) (Uplink).##Unterstützt der R8V08A PoE?||Nein. Der R8V08A ist ein Modell ohne Power over Ethernet und für reine Datenanbindung ausgelegt.##Lässt sich der R8V08A stapeln (Stacking)?||Ja. Der R8V08A unterstützt Aruba VSF (bis 8 Einheiten, über die 10G-SFP+-Uplinks) und lässt sich so zu einem logischen Switch zusammenfassen."
R8Q68A,"Wie viele Ports hat der R8Q68A?||Der R8Q68A bietet insgesamt 28 Ports: 24× 10/100/1000BASE-T (Class 4 PoE, 30 W) + 4× SFP+ (1/10G) (Uplink).##Wie hoch ist das PoE-Budget des R8Q68A?||Der R8Q68A stellt IEEE 802.3af/at Class 4 (30 W/Port, Budget bis 1.440 W netzteilabhängig) bereit und versorgt angeschlossene Geräte direkt über das Netzwerkkabel.##Lässt sich der R8Q68A stapeln (Stacking)?||Ja. Der R8Q68A unterstützt Aruba VSF (bis 8 Einheiten, über die 10G-SFP+-Uplinks) und lässt sich so zu einem logischen Switch zusammenfassen."
R8V09A,"Wie viele Ports hat der R8V09A?||Der R8V09A bietet insgesamt 28 Ports: 24× 10/100/1000BASE-T (Class 4 PoE, 30 W) + 4× SFP+ (1/10G) (Uplink).##Wie hoch ist das PoE-Budget des R8V09A?||Der R8V09A stellt IEEE 802.3af/at Class 4 (30 W/Port, Budget bis 1.440 W netzteilabhängig) bereit und versorgt angeschlossene Geräte direkt über das Netzwerkkabel.##Lässt sich der R8V09A stapeln (Stacking)?||Ja. Der R8V09A unterstützt Aruba VSF (bis 8 Einheiten, über die 10G-SFP+-Uplinks) und lässt sich so zu einem logischen Switch zusammenfassen."
R8Q69A,"Wie viele Ports hat der R8Q69A?||Der R8Q69A bietet insgesamt 52 Ports: 48× 10/100/1000BASE-T (ohne PoE) + 4× SFP+ (1/10G) (Uplink).##Unterstützt der R8Q69A PoE?||Nein. Der R8Q69A ist ein Modell ohne Power over Ethernet und für reine Datenanbindung ausgelegt.##Lässt sich der R8Q69A stapeln (Stacking)?||Ja. Der R8Q69A unterstützt Aruba VSF (bis 8 Einheiten, über die 10G-SFP+-Uplinks) und lässt sich so zu einem logischen Switch zusammenfassen."
R8V10A,"Wie viele Ports hat der R8V10A?||Der R8V10A bietet insgesamt 52 Ports: 48× 10/100/1000BASE-T (ohne PoE) + 4× SFP+ (1/10G) (Uplink).##Unterstützt der R8V10A PoE?||Nein. Der R8V10A ist ein Modell ohne Power over Ethernet und für reine Datenanbindung ausgelegt.##Lässt sich der R8V10A stapeln (Stacking)?||Ja. Der R8V10A unterstützt Aruba VSF (bis 8 Einheiten, über die 10G-SFP+-Uplinks) und lässt sich so zu einem logischen Switch zusammenfassen."
R8Q70A,"Wie viele Ports hat der R8Q70A?||Der R8Q70A bietet insgesamt 52 Ports: 48× 10/100/1000BASE-T (Class 4 PoE, 30 W) + 4× SFP+ (1/10G) (Uplink).##Wie hoch ist das PoE-Budget des R8Q70A?||Der R8Q70A stellt IEEE 802.3af/at Class 4 (30 W/Port, Budget bis 1.440 W netzteilabhängig) bereit und versorgt angeschlossene Geräte direkt über das Netzwerkkabel.##Lässt sich der R8Q70A stapeln (Stacking)?||Ja. Der R8Q70A unterstützt Aruba VSF (bis 8 Einheiten, über die 10G-SFP+-Uplinks) und lässt sich so zu einem logischen Switch zusammenfassen."
R8V11A,"Wie viele Ports hat der R8V11A?||Der R8V11A bietet insgesamt 52 Ports: 48× 10/100/1000BASE-T (Class 4 PoE, 30 W) + 4× SFP+ (1/10G) (Uplink).##Wie hoch ist das PoE-Budget des R8V11A?||Der R8V11A stellt IEEE 802.3af/at Class 4 (30 W/Port, Budget bis 1.440 W netzteilabhängig) bereit und versorgt angeschlossene Geräte direkt über das Netzwerkkabel.##Lässt sich der R8V11A stapeln (Stacking)?||Ja. Der R8V11A unterstützt Aruba VSF (bis 8 Einheiten, über die 10G-SFP+-Uplinks) und lässt sich so zu einem logischen Switch zusammenfassen."
R8Q71A,"Wie viele Ports hat der R8Q71A?||Der R8Q71A bietet insgesamt 52 Ports: 36× 10/100/1000BASE-T (Class 6 PoE, 60 W) + 12× HPE Smart Rate 1/2.5/5G-BASE-T (Class 6 PoE, 60 W) + 4× SFP+ (1/10G) (Uplink).##Wie hoch ist das PoE-Budget des R8Q71A?||Der R8Q71A stellt IEEE 802.3af/at/bt Class 6 (60 W/Port, Budget bis 1.440 W netzteilabhängig) bereit und versorgt angeschlossene Geräte direkt über das Netzwerkkabel.##Lässt sich der R8Q71A stapeln (Stacking)?||Ja. Der R8Q71A unterstützt Aruba VSF (bis 8 Einheiten, über die 10G-SFP+-Uplinks) und lässt sich so zu einem logischen Switch zusammenfassen."
R8V12A,"Wie viele Ports hat der R8V12A?||Der R8V12A bietet insgesamt 52 Ports: 36× 10/100/1000BASE-T (Class 6 PoE, 60 W) + 12× HPE Smart Rate 1/2.5/5G-BASE-T (Class 6 PoE, 60 W) + 4× SFP+ (1/10G) (Uplink).##Wie hoch ist das PoE-Budget des R8V12A?||Der R8V12A stellt IEEE 802.3af/at/bt Class 6 (60 W/Port, Budget bis 1.440 W netzteilabhängig) bereit und versorgt angeschlossene Geräte direkt über das Netzwerkkabel.##Lässt sich der R8V12A stapeln (Stacking)?||Ja. Der R8V12A unterstützt Aruba VSF (bis 8 Einheiten, über die 10G-SFP+-Uplinks) und lässt sich so zu einem logischen Switch zusammenfassen."
