Artikelnummer;Netto-VK
100G-SR4-QSFP100M;0,00
100G-SR4BD-QSFP100M;0,00
100G-SWDM4-QSFP100M;0,00
100G-ESR4-QSFP300M;0,00
100G-DR-QSFP500M;0,00
100G-CWDM2-QSFP2KM;0,00
100G-LR4-QSFP2KM;0,00
100G-FR-QSFP2KM;0,00
10405;0,00
100G-LR-QSFP10KM;0,00
100G-LR4-QSFP10KM;0,00
100G-ER4LT-QSFP40KM;0,00
100G-DACP-QSFPZ5M;0,00
100G-DACP-QSFP1M;0,00
100G-DACP-QSFP3M;0,00
100G-DACP-QSFP5M;0,00
100G-DACP-QSFP4SFP1M;0,00
100G-DACP-QSFP4SFP3M;0,00
100G-DACP-QSFP4SFP5M;0,00
100G-AOC-QSFP10M-TA;0,00
100G-CFP2-LR4-10KM;0,00
100G-CFP2-ER4-40KM;0,00
40G-SR4-QSFP150;0,00
40G-BDSR-QSFP150M;0,00
40G-ESR4-QSFP400M-NT;0,00
40G-LR4-QSFP10KM;0,00
40G-QSFP-LR4-INT;0,00
40G-QSFP-ER4-1;0,00
40G-DACP-QSFPZ5M;0,00
40G-DACP-QSFP1M;0,00
40G-DACP-QSFP3M;0,00
40G-DACP-QSFP5M;0,00
40G-DACP-QSFP4SFP1M;0,00
40G-DACP-QSFP4SFP2M;0,00
40G-DACP-QSFP4SFP3M;0,00
40G-DACP-QSFP4SFP5M;0,00
40G-DACA-QSFP4SFP1M;0,00
40G-DACA-QSFP4SFP3M;0,00
40G-DACA-QSFP4SFP5M;0,00
40G-AOC-QSFP3M;0,00
40G-AOC-QSFP5M;0,00
40G-AOC-QSFP10M;0,00
40G-AOC-QSFP20M;0,00
40G-AOC-QSFP100;0,00
40G-AOC-QSFP4SFP10M;0,00
25G-SR-SFP100M;0,00
10502;0,00
10503;0,00
25G-LR-SFP10KM;0,00
25G-ER-SFP40KM;0,00
25G-DACP-SFPZ5M;0,00
25G-DACP-SFP1M;0,00
25G-DACP-SFP3M;0,00
25G-DACP-SFP5M;0,00
20G-DACP-SFP-DDZ5M;0,00
20G-DACP-SFP-DD1M;0,00
20G-DACP-SFP-DD3M;0,00
20G-DACP-SFP-DD5M;0,00
20G-DACP-SFP-DD2SFP1M;0,00
20G-DACP-SFP-DD2SFP3M;0,00
20G-DACP-SFP-DD2SFP5M;0,00
20G-DACP-QSFP1SFP-DD1M;0,00
20G-DACP-QSFP1SFP-DD3M;0,00
20G-DACP-QSFP1SFP-DD5M;0,00
10338;0,00
10G-USR-SFP100M;0,00
10G-SR-SFP300M-ET;0,00
10303;0,00
10G-LR-SFP10KM-ET;0,00
10GB-BX10-D;0,00
10G-ER-SFP40KM-ET;0,00
10GB-BX40-D;0,00
10GB-ZR-SFPP;0,00
10G-DACP-QSFPZ5M;0,00
10G-DACA-SFP1M;0,00
10G-DACA-SFP3M;0,00
10G-DACA-SFP5M;0,00
10G-AOC-SFP7M;0,00
10G-AOC-SFP10M;0,00
1G-SFP-000190;0,00
1G-SFP-SX-OM;0,00
MGBIC-LC03;0,00
10056H;0,00
10060;0,00
MGBIC-BX40-D;0,00
10053H;0,00
400G-DR4-QSFPDD500M;0,00
400G-FR4-QSFPDD2KM;0,00
400G-LR4-QSFPDD10KM;0,00
400G-SR8-QSFPDD100M;0,00
400G-DR4X-QSFPDD2KM;0,00
100G-DR-SFPDD500M;0,00
100G-FR-SFPDD;0,00
100G-LR-SFPDD;0,00
100G-PSM4-QSFP10KM;0,00
400G-AOC-QSFPDD5M;0,00
400G-AOC-QSFPDD10M;0,00
400G-AOC-QSFPDD20M;0,00
400G-DACP-QSFPDD1M;0,00
400G-DACP-QSFPDD2M;0,00
400G-DACP-QSFPDD2.5M;0,00
400G-DACP-QSFPDD3M;0,00
