Artikelnummer,FAQ
JH207A,"Wofür wird der JH207A verwendet?||Der HPE FlexNetwork 7500 1.2Tbps Fabric with 2-port 40GbE QSFP+ for IRF-Only Main Processing Unit ist das kombinierte Fabric- und Main-Processing-Unit-Modul für die modularen HPE-FlexNetwork-7500-Chassis und übernimmt Switch-Fabric und Route-/Management-Steuerung in einem Modul.##In welche Chassis passt der JH207A?||Der JH207A ist mit der Serie HPE FlexNetwork 7500 (Comware v7) kompatibel und wird in einem passenden Steckplatz betrieben.##Ist der JH207A ein eigenständiger Switch?||Nein. Der JH207A ist ein Modul und benötigt ein kompatibles Chassis der Serie HPE FlexNetwork 7500 (Comware v7)."
JH208A,"Wofür wird der JH208A verwendet?||Der HPE FlexNetwork 7502 Main Processing Unit ist das kombinierte Fabric- und Main-Processing-Unit-Modul für die modularen HPE-FlexNetwork-7500-Chassis und übernimmt Switch-Fabric und Route-/Management-Steuerung in einem Modul.##In welche Chassis passt der JH208A?||Der JH208A ist mit der Serie HPE FlexNetwork 7502 (Comware v7) kompatibel und wird in einem passenden Steckplatz betrieben.##Ist der JH208A ein eigenständiger Switch?||Nein. Der JH208A ist ein Modul und benötigt ein kompatibles Chassis der Serie HPE FlexNetwork 7502 (Comware v7)."
JH209A,"Wofür wird der JH209A verwendet?||Der HPE FlexNetwork 7500 2.4Tbps Fabric with 8-port 1/10GbE SFP+ and 2-port 40GbE QSFP+ Main Processing Unit ist das kombinierte Fabric- und Main-Processing-Unit-Modul für die modularen HPE-FlexNetwork-7500-Chassis und übernimmt Switch-Fabric und Route-/Management-Steuerung in einem Modul.##In welche Chassis passt der JH209A?||Der JH209A ist mit der Serie HPE FlexNetwork 7500 (Comware v7) kompatibel und wird in einem passenden Steckplatz betrieben.##Ist der JH209A ein eigenständiger Switch?||Nein. Der JH209A ist ein Modul und benötigt ein kompatibles Chassis der Serie HPE FlexNetwork 7500 (Comware v7)."
JC699A,"Wofür wird der JC699A verwendet?||Der HPE FlexNetwork 7500 384Gbps TAA-compliant Fabric/MPU with 2 10GbE XFP Ports ist das kombinierte Fabric- und Main-Processing-Unit-Modul für die modularen HPE-FlexNetwork-7500-Chassis und übernimmt Switch-Fabric und Route-/Management-Steuerung in einem Modul.##In welche Chassis passt der JC699A?||Der JC699A ist mit der Serie HPE FlexNetwork 7500 (Comware v5, TAA) kompatibel und wird in einem passenden Steckplatz betrieben.##Ist der JC699A ein eigenständiger Switch?||Nein. Der JC699A ist ein Modul und benötigt ein kompatibles Chassis der Serie HPE FlexNetwork 7500 (Comware v5, TAA)."
JC700A,"Wofür wird der JC700A verwendet?||Der HPE FlexNetwork 7500 384Gbps TAA-compliant Fabric/Main Processing Unit ist das kombinierte Fabric- und Main-Processing-Unit-Modul für die modularen HPE-FlexNetwork-7500-Chassis und übernimmt Switch-Fabric und Route-/Management-Steuerung in einem Modul.##In welche Chassis passt der JC700A?||Der JC700A ist mit der Serie HPE FlexNetwork 7500 (Comware v5, TAA) kompatibel und wird in einem passenden Steckplatz betrieben.##Ist der JC700A ein eigenständiger Switch?||Nein. Der JC700A ist ein Modul und benötigt ein kompatibles Chassis der Serie HPE FlexNetwork 7500 (Comware v5, TAA)."
JC701A,"Wofür wird der JC701A verwendet?||Der HPE FlexNetwork 7500 768Gbps TAA-compliant Fabric/Main Processing Unit ist das kombinierte Fabric- und Main-Processing-Unit-Modul für die modularen HPE-FlexNetwork-7500-Chassis und übernimmt Switch-Fabric und Route-/Management-Steuerung in einem Modul.##In welche Chassis passt der JC701A?||Der JC701A ist mit der Serie HPE FlexNetwork 7500 (Comware v5, TAA) kompatibel und wird in einem passenden Steckplatz betrieben.##Ist der JC701A ein eigenständiger Switch?||Nein. Der JC701A ist ein Modul und benötigt ein kompatibles Chassis der Serie HPE FlexNetwork 7500 (Comware v5, TAA)."
JC666A,"Wofür wird der JC666A verwendet?||Der HPE 7503-S 144Gbps Fabric/MPU with PoE Upgradable 20-port Gig-T/4-port GbE Combo ist das kombinierte Fabric- und Main-Processing-Unit-Modul für die modularen HPE-FlexNetwork-7500-Chassis und übernimmt Switch-Fabric und Route-/Management-Steuerung in einem Modul.##In welche Chassis passt der JC666A?||Der JC666A ist mit der Serie HPE FlexNetwork 7503-S (Comware v5) kompatibel und wird in einem passenden Steckplatz betrieben.##Ist der JC666A ein eigenständiger Switch?||Nein. Der JC666A ist ein Modul und benötigt ein kompatibles Chassis der Serie HPE FlexNetwork 7503-S (Comware v5)."
JD193B,"Wofür wird der JD193B verwendet?||Der HPE FlexNetwork 7500 384Gbps Fabric Module with 2 XFP Ports ist das Switch-Fabric-Modul für die modularen HPE-FlexNetwork-7500-Chassis und übernimmt die verteilte Weiterleitung zwischen den Linecards.##In welche Chassis passt der JD193B?||Der JD193B ist mit der Serie HPE FlexNetwork 7500 (Comware v5) kompatibel und wird in einem passenden Steckplatz betrieben.##Ist der JD193B ein eigenständiger Switch?||Nein. Der JD193B ist ein Modul und benötigt ein kompatibles Chassis der Serie HPE FlexNetwork 7500 (Comware v5)."
JD194B,"Wofür wird der JD194B verwendet?||Der HPE FlexNetwork 7500 384Gbps Fabric Module ist das Switch-Fabric-Modul für die modularen HPE-FlexNetwork-7500-Chassis und übernimmt die verteilte Weiterleitung zwischen den Linecards.##In welche Chassis passt der JD194B?||Der JD194B ist mit der Serie HPE FlexNetwork 7500 (Comware v5) kompatibel und wird in einem passenden Steckplatz betrieben.##Ist der JD194B ein eigenständiger Switch?||Nein. Der JD194B ist ein Modul und benötigt ein kompatibles Chassis der Serie HPE FlexNetwork 7500 (Comware v5)."
JD195A,"Wofür wird der JD195A verwendet?||Der HPE FlexNetwork 7500 384Gbps Advanced Fabric Module ist das Switch-Fabric-Modul für die modularen HPE-FlexNetwork-7500-Chassis und übernimmt die verteilte Weiterleitung zwischen den Linecards.##In welche Chassis passt der JD195A?||Der JD195A ist mit der Serie HPE FlexNetwork 7500 (Comware v5) kompatibel und wird in einem passenden Steckplatz betrieben.##Ist der JD195A ein eigenständiger Switch?||Nein. Der JD195A ist ein Modul und benötigt ein kompatibles Chassis der Serie HPE FlexNetwork 7500 (Comware v5)."
JD224A,"Wofür wird der JD224A verwendet?||Der HPE FlexNetwork 7500 384Gbps Fabric Module with 12 SFP Ports ist das Switch-Fabric-Modul für die modularen HPE-FlexNetwork-7500-Chassis und übernimmt die verteilte Weiterleitung zwischen den Linecards.##In welche Chassis passt der JD224A?||Der JD224A ist mit der Serie HPE FlexNetwork 7500 (Comware v5) kompatibel und wird in einem passenden Steckplatz betrieben.##Ist der JD224A ein eigenständiger Switch?||Nein. Der JD224A ist ein Modul und benötigt ein kompatibles Chassis der Serie HPE FlexNetwork 7500 (Comware v5)."
