Artikelnummer,FAQ
WS-X45-SUP6-E,"Wofür wird die WS-X45-SUP6-E verwendet?||Die WS-X45-SUP6-E ist die zentrale Supervisor-Engine (Supervisor-Engine) für die Cisco-Catalyst 4500-E-Chassis und steuert Routing, Switching und Management des Chassis.##In welche Chassis passt die WS-X45-SUP6-E?||Die WS-X45-SUP6-E ist mit den Catalyst 4500-E-Chassis kompatibel und benötigt einen freien Steckplatz; das Chassis ist separat erhältlich.##Ist die WS-X45-SUP6-E ein eigenständiger Switch?||Nein – die WS-X45-SUP6-E ist ein Supervisor-Engine und benötigt ein kompatibles Catalyst 4500-E-Chassis; sie wird nicht eigenständig betrieben.##Ist die WS-X45-SUP6-E ungebraucht?||Ja – Hexwaren führt die WS-X45-SUP6-E ausschließlich als ungebrauchte Original-Hardware für Ersatz, Redundanz und Bestandserweiterung in bestehenden Catalyst 4500-E-Installationen."
WS-X45-SUP6L-E,"Wofür wird die WS-X45-SUP6L-E verwendet?||Die WS-X45-SUP6L-E ist die zentrale Supervisor-Engine (Supervisor-Engine) für die Cisco-Catalyst 4500-E-Chassis und steuert Routing, Switching und Management des Chassis.##In welche Chassis passt die WS-X45-SUP6L-E?||Die WS-X45-SUP6L-E ist mit den Catalyst 4500-E-Chassis kompatibel und benötigt einen freien Steckplatz; das Chassis ist separat erhältlich.##Ist die WS-X45-SUP6L-E ein eigenständiger Switch?||Nein – die WS-X45-SUP6L-E ist ein Supervisor-Engine und benötigt ein kompatibles Catalyst 4500-E-Chassis; sie wird nicht eigenständig betrieben.##Ist die WS-X45-SUP6L-E ungebraucht?||Ja – Hexwaren führt die WS-X45-SUP6L-E ausschließlich als ungebrauchte Original-Hardware für Ersatz, Redundanz und Bestandserweiterung in bestehenden Catalyst 4500-E-Installationen."
WS-X45-SUP7-E,"Wofür wird die WS-X45-SUP7-E verwendet?||Die WS-X45-SUP7-E ist die zentrale Supervisor-Engine (Supervisor-Engine) für die Cisco-Catalyst 4500-E-Chassis und steuert Routing, Switching und Management des Chassis.##In welche Chassis passt die WS-X45-SUP7-E?||Die WS-X45-SUP7-E ist mit den Catalyst 4500-E-Chassis kompatibel und benötigt einen freien Steckplatz; das Chassis ist separat erhältlich.##Ist die WS-X45-SUP7-E ein eigenständiger Switch?||Nein – die WS-X45-SUP7-E ist ein Supervisor-Engine und benötigt ein kompatibles Catalyst 4500-E-Chassis; sie wird nicht eigenständig betrieben.##Ist die WS-X45-SUP7-E ungebraucht?||Ja – Hexwaren führt die WS-X45-SUP7-E ausschließlich als ungebrauchte Original-Hardware für Ersatz, Redundanz und Bestandserweiterung in bestehenden Catalyst 4500-E-Installationen."
WS-X45-SUP7L-E,"Wofür wird die WS-X45-SUP7L-E verwendet?||Die WS-X45-SUP7L-E ist die zentrale Supervisor-Engine (Supervisor-Engine) für die Cisco-Catalyst 4500-E-Chassis und steuert Routing, Switching und Management des Chassis.##In welche Chassis passt die WS-X45-SUP7L-E?||Die WS-X45-SUP7L-E ist mit den Catalyst 4500-E-Chassis kompatibel und benötigt einen freien Steckplatz; das Chassis ist separat erhältlich.##Ist die WS-X45-SUP7L-E ein eigenständiger Switch?||Nein – die WS-X45-SUP7L-E ist ein Supervisor-Engine und benötigt ein kompatibles Catalyst 4500-E-Chassis; sie wird nicht eigenständig betrieben.##Ist die WS-X45-SUP7L-E ungebraucht?||Ja – Hexwaren führt die WS-X45-SUP7L-E ausschließlich als ungebrauchte Original-Hardware für Ersatz, Redundanz und Bestandserweiterung in bestehenden Catalyst 4500-E-Installationen."
WS-X45-SUP8-E,"Wofür wird die WS-X45-SUP8-E verwendet?||Die WS-X45-SUP8-E ist die zentrale Supervisor-Engine (Supervisor-Engine) für die Cisco-Catalyst 4500-E-Chassis und steuert Routing, Switching und Management des Chassis.##In welche Chassis passt die WS-X45-SUP8-E?||Die WS-X45-SUP8-E ist mit den Catalyst 4500-E-Chassis kompatibel und benötigt einen freien Steckplatz; das Chassis ist separat erhältlich.##Ist die WS-X45-SUP8-E ein eigenständiger Switch?||Nein – die WS-X45-SUP8-E ist ein Supervisor-Engine und benötigt ein kompatibles Catalyst 4500-E-Chassis; sie wird nicht eigenständig betrieben.##Ist die WS-X45-SUP8-E ungebraucht?||Ja – Hexwaren führt die WS-X45-SUP8-E ausschließlich als ungebrauchte Original-Hardware für Ersatz, Redundanz und Bestandserweiterung in bestehenden Catalyst 4500-E-Installationen."
WS-X45-SUP8L-E,"Wofür wird die WS-X45-SUP8L-E verwendet?||Die WS-X45-SUP8L-E ist die zentrale Supervisor-Engine (Supervisor-Engine) für die Cisco-Catalyst 4500-E-Chassis und steuert Routing, Switching und Management des Chassis.##In welche Chassis passt die WS-X45-SUP8L-E?||Die WS-X45-SUP8L-E ist mit den Catalyst 4500-E-Chassis kompatibel und benötigt einen freien Steckplatz; das Chassis ist separat erhältlich.##Ist die WS-X45-SUP8L-E ein eigenständiger Switch?||Nein – die WS-X45-SUP8L-E ist ein Supervisor-Engine und benötigt ein kompatibles Catalyst 4500-E-Chassis; sie wird nicht eigenständig betrieben.##Ist die WS-X45-SUP8L-E ungebraucht?||Ja – Hexwaren führt die WS-X45-SUP8L-E ausschließlich als ungebrauchte Original-Hardware für Ersatz, Redundanz und Bestandserweiterung in bestehenden Catalyst 4500-E-Installationen."
WS-X45-SUP9-E,"Wofür wird die WS-X45-SUP9-E verwendet?||Die WS-X45-SUP9-E ist die zentrale Supervisor-Engine (Supervisor-Engine) für die Cisco-Catalyst 4500-E-Chassis und steuert Routing, Switching und Management des Chassis.##In welche Chassis passt die WS-X45-SUP9-E?||Die WS-X45-SUP9-E ist mit den Catalyst 4500-E-Chassis kompatibel und benötigt einen freien Steckplatz; das Chassis ist separat erhältlich.##Ist die WS-X45-SUP9-E ein eigenständiger Switch?||Nein – die WS-X45-SUP9-E ist ein Supervisor-Engine und benötigt ein kompatibles Catalyst 4500-E-Chassis; sie wird nicht eigenständig betrieben.##Ist die WS-X45-SUP9-E ungebraucht?||Ja – Hexwaren führt die WS-X45-SUP9-E ausschließlich als ungebrauchte Original-Hardware für Ersatz, Redundanz und Bestandserweiterung in bestehenden Catalyst 4500-E-Installationen."
WS-X4748-12X48U+E,"Wofür wird die WS-X4748-12X48U+E verwendet?||Die WS-X4748-12X48U+E ist eine I/O-Linecard (Linecard) für die Cisco-Catalyst 4500-E-Chassis und stellt 48 Ports bereit (12× Multigigabit-RJ45 (100M-10G, UPOE) + 36× 10/100/1000-RJ45 (UPOE)).##In welche Chassis passt die WS-X4748-12X48U+E?||Die WS-X4748-12X48U+E ist mit den Catalyst 4500-E-Chassis kompatibel und benötigt einen freien Steckplatz; das Chassis ist separat erhältlich.##Ist die WS-X4748-12X48U+E ein eigenständiger Switch?||Nein – die WS-X4748-12X48U+E ist ein Linecard und benötigt ein kompatibles Catalyst 4500-E-Chassis; sie wird nicht eigenständig betrieben.##Ist die WS-X4748-12X48U+E ungebraucht?||Ja – Hexwaren führt die WS-X4748-12X48U+E ausschließlich als ungebrauchte Original-Hardware für Ersatz, Redundanz und Bestandserweiterung in bestehenden Catalyst 4500-E-Installationen."
WS-X4748-UPOE+E,"Wofür wird die WS-X4748-UPOE+E verwendet?||Die WS-X4748-UPOE+E ist eine I/O-Linecard (Linecard) für die Cisco-Catalyst 4500-E-Chassis und stellt 48 Ports bereit (48× 10/100/1000-RJ45 (UPOE)).##In welche Chassis passt die WS-X4748-UPOE+E?||Die WS-X4748-UPOE+E ist mit den Catalyst 4500-E-Chassis kompatibel und benötigt einen freien Steckplatz; das Chassis ist separat erhältlich.##Ist die WS-X4748-UPOE+E ein eigenständiger Switch?||Nein – die WS-X4748-UPOE+E ist ein Linecard und benötigt ein kompatibles Catalyst 4500-E-Chassis; sie wird nicht eigenständig betrieben.##Ist die WS-X4748-UPOE+E ungebraucht?||Ja – Hexwaren führt die WS-X4748-UPOE+E ausschließlich als ungebrauchte Original-Hardware für Ersatz, Redundanz und Bestandserweiterung in bestehenden Catalyst 4500-E-Installationen."
WS-X4748-RJ45V+E,"Wofür wird die WS-X4748-RJ45V+E verwendet?||Die WS-X4748-RJ45V+E ist eine I/O-Linecard (Linecard) für die Cisco-Catalyst 4500-E-Chassis und stellt 48 Ports bereit (48× 10/100/1000-RJ45 (PoE+)).##In welche Chassis passt die WS-X4748-RJ45V+E?||Die WS-X4748-RJ45V+E ist mit den Catalyst 4500-E-Chassis kompatibel und benötigt einen freien Steckplatz; das Chassis ist separat erhältlich.##Ist die WS-X4748-RJ45V+E ein eigenständiger Switch?||Nein – die WS-X4748-RJ45V+E ist ein Linecard und benötigt ein kompatibles Catalyst 4500-E-Chassis; sie wird nicht eigenständig betrieben.##Ist die WS-X4748-RJ45V+E ungebraucht?||Ja – Hexwaren führt die WS-X4748-RJ45V+E ausschließlich als ungebrauchte Original-Hardware für Ersatz, Redundanz und Bestandserweiterung in bestehenden Catalyst 4500-E-Installationen."
