Artikelnummer,FAQ
J9772A,"Wie viele Ports hat der J9772A?||Der J9772A bietet insgesamt 52 Ports: 48× 10/100/1000BASE-T (Class 4 PoE+, 30 W) + 4× SFP (1G) (Uplink).##Wie hoch ist das PoE-Budget des J9772A?||Der J9772A stellt IEEE 802.3at Class 4 PoE+ (30 W/Port, Budget 382 W) bereit und versorgt angeschlossene Geräte direkt über das Netzwerkkabel.##Lässt sich der J9772A stapeln (Stacking)?||Der J9772A unterstützt Kein (Standalone; Single-IP-Virtual-Stacking bis 16 Einheiten für zentrales Management) und wird ansonsten als eigenständiger Access-Switch betrieben."
J9773A,"Wie viele Ports hat der J9773A?||Der J9773A bietet insgesamt 28 Ports: 24× 10/100/1000BASE-T (Class 4 PoE+, 30 W) + 4× SFP (1G) (Uplink).##Wie hoch ist das PoE-Budget des J9773A?||Der J9773A stellt IEEE 802.3at Class 4 PoE+ (30 W/Port, Budget 195 W) bereit und versorgt angeschlossene Geräte direkt über das Netzwerkkabel.##Lässt sich der J9773A stapeln (Stacking)?||Der J9773A unterstützt Kein (Standalone; Single-IP-Virtual-Stacking bis 16 Einheiten für zentrales Management) und wird ansonsten als eigenständiger Access-Switch betrieben."
J9774A,"Wie viele Ports hat der J9774A?||Der J9774A bietet insgesamt 10 Ports: 8× 10/100/1000BASE-T (Class 4 PoE+, 30 W) + 2× Dual-Personality-Ports (RJ45 10/100/1000 oder SFP 1G) (Uplink).##Wie hoch ist das PoE-Budget des J9774A?||Der J9774A stellt IEEE 802.3at Class 4 PoE+ (30 W/Port, Budget 67 W) bereit und versorgt angeschlossene Geräte direkt über das Netzwerkkabel.##Lässt sich der J9774A stapeln (Stacking)?||Der J9774A unterstützt Kein (Standalone; Single-IP-Virtual-Stacking bis 16 Einheiten für zentrales Management) und wird ansonsten als eigenständiger Access-Switch betrieben."
J9775A,"Wie viele Ports hat der J9775A?||Der J9775A bietet insgesamt 52 Ports: 48× 10/100/1000BASE-T (ohne PoE) + 4× SFP (1G) (Uplink).##Unterstützt der J9775A PoE?||Nein. Der J9775A ist ein Modell ohne Power over Ethernet und für reine Datenanbindung ausgelegt.##Lässt sich der J9775A stapeln (Stacking)?||Der J9775A unterstützt Kein (Standalone; Single-IP-Virtual-Stacking bis 16 Einheiten für zentrales Management) und wird ansonsten als eigenständiger Access-Switch betrieben."
J9776A,"Wie viele Ports hat der J9776A?||Der J9776A bietet insgesamt 28 Ports: 24× 10/100/1000BASE-T (ohne PoE) + 4× SFP (1G) (Uplink).##Unterstützt der J9776A PoE?||Nein. Der J9776A ist ein Modell ohne Power over Ethernet und für reine Datenanbindung ausgelegt.##Lässt sich der J9776A stapeln (Stacking)?||Der J9776A unterstützt Kein (Standalone; Single-IP-Virtual-Stacking bis 16 Einheiten für zentrales Management) und wird ansonsten als eigenständiger Access-Switch betrieben."
J9777A,"Wie viele Ports hat der J9777A?||Der J9777A bietet insgesamt 10 Ports: 8× 10/100/1000BASE-T (ohne PoE) + 2× Dual-Personality-Ports (RJ45 10/100/1000 oder SFP 1G) (Uplink).##Unterstützt der J9777A PoE?||Nein. Der J9777A ist ein Modell ohne Power over Ethernet und für reine Datenanbindung ausgelegt.##Lässt sich der J9777A stapeln (Stacking)?||Der J9777A unterstützt Kein (Standalone; Single-IP-Virtual-Stacking bis 16 Einheiten für zentrales Management) und wird ansonsten als eigenständiger Access-Switch betrieben."
J9778A,"Wie viele Ports hat der J9778A?||Der J9778A bietet insgesamt 52 Ports: 48× 10/100BASE-T (Class 4 PoE+, 30 W) + 2× 10/100/1000BASE-T (RJ45) + 2× SFP (1G) (Uplink).##Wie hoch ist das PoE-Budget des J9778A?||Der J9778A stellt IEEE 802.3at Class 4 PoE+ (30 W/Port, Budget 382 W) bereit und versorgt angeschlossene Geräte direkt über das Netzwerkkabel.##Lässt sich der J9778A stapeln (Stacking)?||Der J9778A unterstützt Kein (Standalone; Single-IP-Virtual-Stacking bis 16 Einheiten für zentrales Management) und wird ansonsten als eigenständiger Access-Switch betrieben."
J9779A,"Wie viele Ports hat der J9779A?||Der J9779A bietet insgesamt 28 Ports: 24× 10/100BASE-T (Class 4 PoE+, 30 W) + 2× 10/100/1000BASE-T (RJ45) + 2× SFP (1G) (Uplink).##Wie hoch ist das PoE-Budget des J9779A?||Der J9779A stellt IEEE 802.3at Class 4 PoE+ (30 W/Port, Budget 195 W) bereit und versorgt angeschlossene Geräte direkt über das Netzwerkkabel.##Lässt sich der J9779A stapeln (Stacking)?||Der J9779A unterstützt Kein (Standalone; Single-IP-Virtual-Stacking bis 16 Einheiten für zentrales Management) und wird ansonsten als eigenständiger Access-Switch betrieben."
J9780A,"Wie viele Ports hat der J9780A?||Der J9780A bietet insgesamt 10 Ports: 8× 10/100BASE-T (Class 4 PoE+, 30 W) + 2× Dual-Personality-Ports (RJ45 10/100/1000 oder SFP 1G) (Uplink).##Wie hoch ist das PoE-Budget des J9780A?||Der J9780A stellt IEEE 802.3at Class 4 PoE+ (30 W/Port, Budget 67 W) bereit und versorgt angeschlossene Geräte direkt über das Netzwerkkabel.##Lässt sich der J9780A stapeln (Stacking)?||Der J9780A unterstützt Kein (Standalone; Single-IP-Virtual-Stacking bis 16 Einheiten für zentrales Management) und wird ansonsten als eigenständiger Access-Switch betrieben.##Wodurch unterscheidet sich der J9780A?||Der J9780A: Stromversorgung: Externes Netzteil (Steckernetzteil / EPS-Shelf, separat); Bauform: Kompakt (1 HE, halbe Breite, lüfterlos)."
J9781A,"Wie viele Ports hat der J9781A?||Der J9781A bietet insgesamt 52 Ports: 48× 10/100BASE-T (ohne PoE) + 2× 10/100/1000BASE-T (RJ45) + 2× SFP (1G) (Uplink).##Unterstützt der J9781A PoE?||Nein. Der J9781A ist ein Modell ohne Power over Ethernet und für reine Datenanbindung ausgelegt.##Lässt sich der J9781A stapeln (Stacking)?||Der J9781A unterstützt Kein (Standalone; Single-IP-Virtual-Stacking bis 16 Einheiten für zentrales Management) und wird ansonsten als eigenständiger Access-Switch betrieben."
J9782A,"Wie viele Ports hat der J9782A?||Der J9782A bietet insgesamt 28 Ports: 24× 10/100BASE-T (ohne PoE) + 2× 10/100/1000BASE-T (RJ45) + 2× SFP (1G) (Uplink).##Unterstützt der J9782A PoE?||Nein. Der J9782A ist ein Modell ohne Power over Ethernet und für reine Datenanbindung ausgelegt.##Lässt sich der J9782A stapeln (Stacking)?||Der J9782A unterstützt Kein (Standalone; Single-IP-Virtual-Stacking bis 16 Einheiten für zentrales Management) und wird ansonsten als eigenständiger Access-Switch betrieben."
J9783A,"Wie viele Ports hat der J9783A?||Der J9783A bietet insgesamt 10 Ports: 8× 10/100BASE-T (ohne PoE) + 2× Dual-Personality-Ports (RJ45 10/100/1000 oder SFP 1G) (Uplink).##Unterstützt der J9783A PoE?||Nein. Der J9783A ist ein Modell ohne Power over Ethernet und für reine Datenanbindung ausgelegt.##Lässt sich der J9783A stapeln (Stacking)?||Der J9783A unterstützt Kein (Standalone; Single-IP-Virtual-Stacking bis 16 Einheiten für zentrales Management) und wird ansonsten als eigenständiger Access-Switch betrieben."
JL070A,"Wie viele Ports hat der JL070A?||Der JL070A bietet insgesamt 10 Ports: 8× 10/100BASE-T (Class 4 PoE+, 30 W) + 2× Dual-Personality-Ports (RJ45 10/100/1000 oder SFP 1G) (Uplink).##Wie hoch ist das PoE-Budget des JL070A?||Der JL070A stellt IEEE 802.3at Class 4 PoE+ (30 W/Port, Budget 67 W) bereit und versorgt angeschlossene Geräte direkt über das Netzwerkkabel.##Lässt sich der JL070A stapeln (Stacking)?||Der JL070A unterstützt Kein (Standalone; Single-IP-Virtual-Stacking bis 16 Einheiten für zentrales Management) und wird ansonsten als eigenständiger Access-Switch betrieben.##Wodurch unterscheidet sich der JL070A?||Der JL070A: Stromversorgung: Internes Festnetzteil (nicht hot-swap); Bauform: Kompakt (1 HE, halbe Breite, lüfterlos, internes Netzteil)."
J9853A,"Wie viele Ports hat der J9853A?||Der J9853A bietet insgesamt 50 Ports: 48× 10/100/1000BASE-T (Class 4 PoE+, 30 W) + 2× SFP+ (1/10G) (Uplink).##Wie hoch ist das PoE-Budget des J9853A?||Der J9853A stellt IEEE 802.3at Class 4 PoE+ (30 W/Port, Budget 382 W) bereit und versorgt angeschlossene Geräte direkt über das Netzwerkkabel.##Lässt sich der J9853A stapeln (Stacking)?||Der J9853A unterstützt Kein (Standalone; Single-IP-Virtual-Stacking bis 16 Einheiten für zentrales Management) und wird ansonsten als eigenständiger Access-Switch betrieben."
J9854A,"Wie viele Ports hat der J9854A?||Der J9854A bietet insgesamt 26 Ports: 24× 10/100/1000BASE-T (Class 4 PoE+, 30 W) + 2× SFP+ (1/10G) (Uplink).##Wie hoch ist das PoE-Budget des J9854A?||Der J9854A stellt IEEE 802.3at Class 4 PoE+ (30 W/Port, Budget 195 W) bereit und versorgt angeschlossene Geräte direkt über das Netzwerkkabel.##Lässt sich der J9854A stapeln (Stacking)?||Der J9854A unterstützt Kein (Standalone; Single-IP-Virtual-Stacking bis 16 Einheiten für zentrales Management) und wird ansonsten als eigenständiger Access-Switch betrieben."
J9855A,"Wie viele Ports hat der J9855A?||Der J9855A bietet insgesamt 50 Ports: 48× 10/100/1000BASE-T (ohne PoE) + 2× SFP+ (1/10G) (Uplink).##Unterstützt der J9855A PoE?||Nein. Der J9855A ist ein Modell ohne Power over Ethernet und für reine Datenanbindung ausgelegt.##Lässt sich der J9855A stapeln (Stacking)?||Der J9855A unterstützt Kein (Standalone; Single-IP-Virtual-Stacking bis 16 Einheiten für zentrales Management) und wird ansonsten als eigenständiger Access-Switch betrieben."
J9856A,"Wie viele Ports hat der J9856A?||Der J9856A bietet insgesamt 26 Ports: 24× 10/100/1000BASE-T (ohne PoE) + 2× SFP+ (1/10G) (Uplink).##Unterstützt der J9856A PoE?||Nein. Der J9856A ist ein Modell ohne Power over Ethernet und für reine Datenanbindung ausgelegt.##Lässt sich der J9856A stapeln (Stacking)?||Der J9856A unterstützt Kein (Standalone; Single-IP-Virtual-Stacking bis 16 Einheiten für zentrales Management) und wird ansonsten als eigenständiger Access-Switch betrieben."
