Artikelnummer,FAQ
C1200-8T-D,"Wie viele Ports hat der C1200-8T-D?||Der C1200-8T-D bietet insgesamt 8 Ports: 8× 1G-RJ45.##Wie wird der C1200-8T-D verwaltet?||Der C1200-8T-D läuft unter einem angepassten Linux-OS und wird über Cisco Business Dashboard, die Cisco Business Mobile-App, eine Web-Oberfläche und CLI verwaltet – kein IOS XE, keine DNA-Lizenz.##Unterstützt der C1200-8T-D PoE?||Nein, der C1200-8T-D hat reine Datenports; er kann jedoch selbst als PoE-Powered-Device über einen vorgelagerten PoE-Switch versorgt werden."
C1200-8T-E-2G,"Wie viele Ports hat der C1200-8T-E-2G?||Der C1200-8T-E-2G bietet insgesamt 10 Ports: 8× 1G-RJ45 + 2× 1G-Combo.##Wie wird der C1200-8T-E-2G verwaltet?||Der C1200-8T-E-2G läuft unter einem angepassten Linux-OS und wird über Cisco Business Dashboard, die Cisco Business Mobile-App, eine Web-Oberfläche und CLI verwaltet – kein IOS XE, keine DNA-Lizenz.##Unterstützt der C1200-8T-E-2G PoE?||Nein, der C1200-8T-E-2G hat reine Datenports ohne PoE-Einspeisung."
C1200-8P-E-2G,"Wie viele Ports hat der C1200-8P-E-2G?||Der C1200-8P-E-2G bietet insgesamt 10 Ports: 8× 1G-RJ45 (PoE+) + 2× 1G-Combo.##Wie wird der C1200-8P-E-2G verwaltet?||Der C1200-8P-E-2G läuft unter einem angepassten Linux-OS und wird über Cisco Business Dashboard, die Cisco Business Mobile-App, eine Web-Oberfläche und CLI verwaltet – kein IOS XE, keine DNA-Lizenz.##Welches PoE-Budget hat der C1200-8P-E-2G?||Der C1200-8P-E-2G liefert PoE+ (802.3af/at, Perpetual PoE) mit 67 W für IP-Telefone, WLAN-APs und Kameras."
C1200-8FP-2G,"Wie viele Ports hat der C1200-8FP-2G?||Der C1200-8FP-2G bietet insgesamt 10 Ports: 8× 1G-RJ45 (PoE+) + 2× 1G-Combo.##Wie wird der C1200-8FP-2G verwaltet?||Der C1200-8FP-2G läuft unter einem angepassten Linux-OS und wird über Cisco Business Dashboard, die Cisco Business Mobile-App, eine Web-Oberfläche und CLI verwaltet – kein IOS XE, keine DNA-Lizenz.##Welches PoE-Budget hat der C1200-8FP-2G?||Der C1200-8FP-2G liefert PoE+ (802.3af/at, Perpetual PoE) mit 120 W für IP-Telefone, WLAN-APs und Kameras."
C1200-16T-2G,"Wie viele Ports hat der C1200-16T-2G?||Der C1200-16T-2G bietet insgesamt 18 Ports: 16× 1G-RJ45 + 2× 1G-SFP.##Wie wird der C1200-16T-2G verwaltet?||Der C1200-16T-2G läuft unter einem angepassten Linux-OS und wird über Cisco Business Dashboard, die Cisco Business Mobile-App, eine Web-Oberfläche und CLI verwaltet – kein IOS XE, keine DNA-Lizenz.##Unterstützt der C1200-16T-2G PoE?||Nein, der C1200-16T-2G hat reine Datenports ohne PoE-Einspeisung."
C1200-16P-2G,"Wie viele Ports hat der C1200-16P-2G?||Der C1200-16P-2G bietet insgesamt 18 Ports: 16× 1G-RJ45 (PoE+) + 2× 1G-SFP.##Wie wird der C1200-16P-2G verwaltet?||Der C1200-16P-2G läuft unter einem angepassten Linux-OS und wird über Cisco Business Dashboard, die Cisco Business Mobile-App, eine Web-Oberfläche und CLI verwaltet – kein IOS XE, keine DNA-Lizenz.##Welches PoE-Budget hat der C1200-16P-2G?||Der C1200-16P-2G liefert PoE+ (802.3af/at, Perpetual PoE) mit 120 W für IP-Telefone, WLAN-APs und Kameras."
C1200-24T-4G,"Wie viele Ports hat der C1200-24T-4G?||Der C1200-24T-4G bietet insgesamt 28 Ports: 24× 1G-RJ45 + 4× 1G-SFP.##Wie wird der C1200-24T-4G verwaltet?||Der C1200-24T-4G läuft unter einem angepassten Linux-OS und wird über Cisco Business Dashboard, die Cisco Business Mobile-App, eine Web-Oberfläche und CLI verwaltet – kein IOS XE, keine DNA-Lizenz.##Unterstützt der C1200-24T-4G PoE?||Nein, der C1200-24T-4G hat reine Datenports ohne PoE-Einspeisung."
C1200-24P-4G,"Wie viele Ports hat der C1200-24P-4G?||Der C1200-24P-4G bietet insgesamt 28 Ports: 24× 1G-RJ45 (PoE+) + 4× 1G-SFP.##Wie wird der C1200-24P-4G verwaltet?||Der C1200-24P-4G läuft unter einem angepassten Linux-OS und wird über Cisco Business Dashboard, die Cisco Business Mobile-App, eine Web-Oberfläche und CLI verwaltet – kein IOS XE, keine DNA-Lizenz.##Welches PoE-Budget hat der C1200-24P-4G?||Der C1200-24P-4G liefert PoE+ (802.3af/at, Perpetual PoE) mit 195 W für IP-Telefone, WLAN-APs und Kameras."
C1200-24FP-4G,"Wie viele Ports hat der C1200-24FP-4G?||Der C1200-24FP-4G bietet insgesamt 28 Ports: 24× 1G-RJ45 (PoE+) + 4× 1G-SFP.##Wie wird der C1200-24FP-4G verwaltet?||Der C1200-24FP-4G läuft unter einem angepassten Linux-OS und wird über Cisco Business Dashboard, die Cisco Business Mobile-App, eine Web-Oberfläche und CLI verwaltet – kein IOS XE, keine DNA-Lizenz.##Welches PoE-Budget hat der C1200-24FP-4G?||Der C1200-24FP-4G liefert PoE+ (802.3af/at, Perpetual PoE) mit 375 W für IP-Telefone, WLAN-APs und Kameras."
C1200-48T-4G,"Wie viele Ports hat der C1200-48T-4G?||Der C1200-48T-4G bietet insgesamt 52 Ports: 48× 1G-RJ45 + 4× 1G-SFP.##Wie wird der C1200-48T-4G verwaltet?||Der C1200-48T-4G läuft unter einem angepassten Linux-OS und wird über Cisco Business Dashboard, die Cisco Business Mobile-App, eine Web-Oberfläche und CLI verwaltet – kein IOS XE, keine DNA-Lizenz.##Unterstützt der C1200-48T-4G PoE?||Nein, der C1200-48T-4G hat reine Datenports ohne PoE-Einspeisung."
