Artikelnummer;Überverkauf Plattform Hexwaren
AOC-E10GSFPSR;TRUE
AOM-TSFP-709DMZ-AVG;TRUE
AOC-TSR-FS;TRUE
AOM-TSR-FS;TRUE
AOM-SFP28-25GBE-SR-1-MLN;TRUE
AOM-TQSFP-79EQPZ-AVG;TRUE
AOM-TQSFP-79EQDZ-AVG;TRUE
AOM-TQSFP-79EIPZ-AVG;TRUE
AOM-TQSFP-79EEPZ-AVG;TRUE
AOM-AQS-107-B0C2-CX;TRUE
CBL-0347L;TRUE
CBL-0348L;TRUE
CBL-0349L;TRUE
CBL-NTWK-0347;TRUE
CBL-NTWK-0456;TRUE
CBL-SFP+AOC-1M;TRUE
CBL-SFP+AOC-3M;TRUE
CBL-SFP+AOC-5M;TRUE
CBL-SFP+AOC-5M-1;TRUE
CBL-SFP+AOC-10M;TRUE
CBL-NTWK-0417-01;TRUE
CBL-NTWK-0325-02;TRUE
CBL-NTWK-0446-01;TRUE
CBL-NTWK-0422-01;TRUE
CBL-NTWK-0944-SS28C50M;TRUE
CBL-NTWK-0943-SQ28C10M;TRUE
CBL-NTWK-0942-MQ28C10M;TRUE
