Artikelnummer,FAQ
WS-C2960+48PST-L,"Wie viele Ports hat der WS-C2960+48PST-L?||Der WS-C2960+48PST-L bietet insgesamt 52 Ports: 48× FE-RJ45 (PoE) + 2× 1G-SFP + 2× 1000BASE-T.##Welches Betriebssystem nutzt der WS-C2960+48PST-L und ist er stapelbar?||Der WS-C2960+48PST-L läuft unter Cisco IOS mit LAN Base-Featureset (perpetual) und wird per CLI und Web-UI verwaltet. Stacking unterstützt der WS-C2960+48PST-L nicht; die 2960-Plus-Serie ist abgekündigt (End-of-Sale), der WS-C2960+48PST-L bleibt als Original-Hardware für Ersatz und Bestandserweiterung erhältlich und trägt Cisco Enhanced Limited Lifetime Warranty.##Welches PoE-Budget hat der WS-C2960+48PST-L?||Der WS-C2960+48PST-L liefert PoE nach IEEE 802.3af (bis 15,4 W/Port) mit insgesamt 370 W für IP-Telefone und Access-Points.##Lässt sich die Stromversorgung des WS-C2960+48PST-L redundant auslegen?||Ja, der WS-C2960+48PST-L unterstützt externe Stromredundanz über ein Cisco RPS 2300 (PWR-RPS2300); intern arbeitet er mit einem AC-Netzteil (100–240 V)."
WS-C2960+24PC-L,"Wie viele Ports hat der WS-C2960+24PC-L?||Der WS-C2960+24PC-L bietet insgesamt 26 Ports: 24× FE-RJ45 (PoE) + 2× 1G-Combo.##Welches Betriebssystem nutzt der WS-C2960+24PC-L und ist er stapelbar?||Der WS-C2960+24PC-L läuft unter Cisco IOS mit LAN Base-Featureset (perpetual) und wird per CLI und Web-UI verwaltet. Stacking unterstützt der WS-C2960+24PC-L nicht; die 2960-Plus-Serie ist abgekündigt (End-of-Sale), der WS-C2960+24PC-L bleibt als Original-Hardware für Ersatz und Bestandserweiterung erhältlich und trägt Cisco Enhanced Limited Lifetime Warranty.##Welches PoE-Budget hat der WS-C2960+24PC-L?||Der WS-C2960+24PC-L liefert PoE nach IEEE 802.3af (bis 15,4 W/Port) mit insgesamt 370 W für IP-Telefone und Access-Points.##Lässt sich die Stromversorgung des WS-C2960+24PC-L redundant auslegen?||Ja, der WS-C2960+24PC-L unterstützt externe Stromredundanz über ein Cisco RPS 2300 (PWR-RPS2300); intern arbeitet er mit einem AC-Netzteil (100–240 V)."
WS-C2960+24LC-L,"Wie viele Ports hat der WS-C2960+24LC-L?||Der WS-C2960+24LC-L bietet insgesamt 26 Ports: 24× FE-RJ45 (davon 8 mit PoE) + 2× 1G-Combo.##Welches Betriebssystem nutzt der WS-C2960+24LC-L und ist er stapelbar?||Der WS-C2960+24LC-L läuft unter Cisco IOS mit LAN Base-Featureset (perpetual) und wird per CLI und Web-UI verwaltet. Stacking unterstützt der WS-C2960+24LC-L nicht; die 2960-Plus-Serie ist abgekündigt (End-of-Sale), der WS-C2960+24LC-L bleibt als Original-Hardware für Ersatz und Bestandserweiterung erhältlich und trägt Cisco Enhanced Limited Lifetime Warranty.##Welches PoE-Budget hat der WS-C2960+24LC-L?||Der WS-C2960+24LC-L liefert PoE nach IEEE 802.3af (bis 15,4 W/Port) mit insgesamt 123 W, verteilt auf 8 der 24 Ports – für IP-Telefone und Access-Points.##Lässt sich die Stromversorgung des WS-C2960+24LC-L redundant auslegen?||Ja, der WS-C2960+24LC-L unterstützt externe Stromredundanz über ein Cisco RPS 2300 (PWR-RPS2300); intern arbeitet er mit einem AC-Netzteil (100–240 V)."
WS-C2960+48TC-L,"Wie viele Ports hat der WS-C2960+48TC-L?||Der WS-C2960+48TC-L bietet insgesamt 50 Ports: 48× FE-RJ45 + 2× 1G-Combo.##Welches Betriebssystem nutzt der WS-C2960+48TC-L und ist er stapelbar?||Der WS-C2960+48TC-L läuft unter Cisco IOS mit LAN Base-Featureset (perpetual) und wird per CLI und Web-UI verwaltet. Stacking unterstützt der WS-C2960+48TC-L nicht; die 2960-Plus-Serie ist abgekündigt (End-of-Sale), der WS-C2960+48TC-L bleibt als Original-Hardware für Ersatz und Bestandserweiterung erhältlich und trägt Cisco Enhanced Limited Lifetime Warranty.##Hat der WS-C2960+48TC-L PoE?||Nein, der WS-C2960+48TC-L ist ein Datenmodell ohne PoE-Einspeisung (48× FE-RJ45 + 2× 1G-Combo).##Lässt sich die Stromversorgung des WS-C2960+48TC-L redundant auslegen?||Ja, der WS-C2960+48TC-L unterstützt externe Stromredundanz über ein Cisco RPS 2300 (PWR-RPS2300); intern arbeitet er mit einem AC-Netzteil (100–240 V)."
WS-C2960+24TC-L,"Wie viele Ports hat der WS-C2960+24TC-L?||Der WS-C2960+24TC-L bietet insgesamt 26 Ports: 24× FE-RJ45 + 2× 1G-Combo.##Welches Betriebssystem nutzt der WS-C2960+24TC-L und ist er stapelbar?||Der WS-C2960+24TC-L läuft unter Cisco IOS mit LAN Base-Featureset (perpetual) und wird per CLI und Web-UI verwaltet. Stacking unterstützt der WS-C2960+24TC-L nicht; die 2960-Plus-Serie ist abgekündigt (End-of-Sale), der WS-C2960+24TC-L bleibt als Original-Hardware für Ersatz und Bestandserweiterung erhältlich und trägt Cisco Enhanced Limited Lifetime Warranty.##Hat der WS-C2960+24TC-L PoE?||Nein, der WS-C2960+24TC-L ist ein Datenmodell ohne PoE-Einspeisung (24× FE-RJ45 + 2× 1G-Combo).##Lässt sich die Stromversorgung des WS-C2960+24TC-L redundant auslegen?||Ja, der WS-C2960+24TC-L unterstützt externe Stromredundanz über ein Cisco RPS 2300 (PWR-RPS2300); intern arbeitet er mit einem AC-Netzteil (100–240 V)."
WS-C2960+48PST-S,"Wie viele Ports hat der WS-C2960+48PST-S?||Der WS-C2960+48PST-S bietet insgesamt 52 Ports: 48× FE-RJ45 (PoE) + 2× 1G-SFP + 2× 1000BASE-T.##Welches Betriebssystem nutzt der WS-C2960+48PST-S und ist er stapelbar?||Der WS-C2960+48PST-S läuft unter Cisco IOS mit LAN Lite-Featureset (perpetual) und wird per CLI und Web-UI verwaltet. Stacking unterstützt der WS-C2960+48PST-S nicht; die 2960-Plus-Serie ist abgekündigt (End-of-Sale), der WS-C2960+48PST-S bleibt als Original-Hardware für Ersatz und Bestandserweiterung erhältlich und trägt Cisco Enhanced Limited Lifetime Warranty.##Welches PoE-Budget hat der WS-C2960+48PST-S?||Der WS-C2960+48PST-S liefert PoE nach IEEE 802.3af (bis 15,4 W/Port) mit insgesamt 370 W für IP-Telefone und Access-Points.##Lässt sich die Stromversorgung des WS-C2960+48PST-S redundant auslegen?||Ja, der WS-C2960+48PST-S unterstützt externe Stromredundanz über ein Cisco RPS 2300 (PWR-RPS2300); intern arbeitet er mit einem AC-Netzteil (100–240 V)."
WS-C2960+24PC-S,"Wie viele Ports hat der WS-C2960+24PC-S?||Der WS-C2960+24PC-S bietet insgesamt 26 Ports: 24× FE-RJ45 (PoE) + 2× 1G-Combo.##Welches Betriebssystem nutzt der WS-C2960+24PC-S und ist er stapelbar?||Der WS-C2960+24PC-S läuft unter Cisco IOS mit LAN Lite-Featureset (perpetual) und wird per CLI und Web-UI verwaltet. Stacking unterstützt der WS-C2960+24PC-S nicht; die 2960-Plus-Serie ist abgekündigt (End-of-Sale), der WS-C2960+24PC-S bleibt als Original-Hardware für Ersatz und Bestandserweiterung erhältlich und trägt Cisco Enhanced Limited Lifetime Warranty.##Welches PoE-Budget hat der WS-C2960+24PC-S?||Der WS-C2960+24PC-S liefert PoE nach IEEE 802.3af (bis 15,4 W/Port) mit insgesamt 370 W für IP-Telefone und Access-Points.##Lässt sich die Stromversorgung des WS-C2960+24PC-S redundant auslegen?||Ja, der WS-C2960+24PC-S unterstützt externe Stromredundanz über ein Cisco RPS 2300 (PWR-RPS2300); intern arbeitet er mit einem AC-Netzteil (100–240 V)."
WS-C2960+24LC-S,"Wie viele Ports hat der WS-C2960+24LC-S?||Der WS-C2960+24LC-S bietet insgesamt 26 Ports: 24× FE-RJ45 (davon 8 mit PoE) + 2× 1G-Combo.##Welches Betriebssystem nutzt der WS-C2960+24LC-S und ist er stapelbar?||Der WS-C2960+24LC-S läuft unter Cisco IOS mit LAN Lite-Featureset (perpetual) und wird per CLI und Web-UI verwaltet. Stacking unterstützt der WS-C2960+24LC-S nicht; die 2960-Plus-Serie ist abgekündigt (End-of-Sale), der WS-C2960+24LC-S bleibt als Original-Hardware für Ersatz und Bestandserweiterung erhältlich und trägt Cisco Enhanced Limited Lifetime Warranty.##Welches PoE-Budget hat der WS-C2960+24LC-S?||Der WS-C2960+24LC-S liefert PoE nach IEEE 802.3af (bis 15,4 W/Port) mit insgesamt 123 W, verteilt auf 8 der 24 Ports – für IP-Telefone und Access-Points.##Lässt sich die Stromversorgung des WS-C2960+24LC-S redundant auslegen?||Ja, der WS-C2960+24LC-S unterstützt externe Stromredundanz über ein Cisco RPS 2300 (PWR-RPS2300); intern arbeitet er mit einem AC-Netzteil (100–240 V)."
WS-C2960+48TC-S,"Wie viele Ports hat der WS-C2960+48TC-S?||Der WS-C2960+48TC-S bietet insgesamt 50 Ports: 48× FE-RJ45 + 2× 1G-Combo.##Welches Betriebssystem nutzt der WS-C2960+48TC-S und ist er stapelbar?||Der WS-C2960+48TC-S läuft unter Cisco IOS mit LAN Lite-Featureset (perpetual) und wird per CLI und Web-UI verwaltet. Stacking unterstützt der WS-C2960+48TC-S nicht; die 2960-Plus-Serie ist abgekündigt (End-of-Sale), der WS-C2960+48TC-S bleibt als Original-Hardware für Ersatz und Bestandserweiterung erhältlich und trägt Cisco Enhanced Limited Lifetime Warranty.##Hat der WS-C2960+48TC-S PoE?||Nein, der WS-C2960+48TC-S ist ein Datenmodell ohne PoE-Einspeisung (48× FE-RJ45 + 2× 1G-Combo).##Lässt sich die Stromversorgung des WS-C2960+48TC-S redundant auslegen?||Ja, der WS-C2960+48TC-S unterstützt externe Stromredundanz über ein Cisco RPS 2300 (PWR-RPS2300); intern arbeitet er mit einem AC-Netzteil (100–240 V)."
WS-C2960+24TC-S,"Wie viele Ports hat der WS-C2960+24TC-S?||Der WS-C2960+24TC-S bietet insgesamt 26 Ports: 24× FE-RJ45 + 2× 1G-Combo.##Welches Betriebssystem nutzt der WS-C2960+24TC-S und ist er stapelbar?||Der WS-C2960+24TC-S läuft unter Cisco IOS mit LAN Lite-Featureset (perpetual) und wird per CLI und Web-UI verwaltet. Stacking unterstützt der WS-C2960+24TC-S nicht; die 2960-Plus-Serie ist abgekündigt (End-of-Sale), der WS-C2960+24TC-S bleibt als Original-Hardware für Ersatz und Bestandserweiterung erhältlich und trägt Cisco Enhanced Limited Lifetime Warranty.##Hat der WS-C2960+24TC-S PoE?||Nein, der WS-C2960+24TC-S ist ein Datenmodell ohne PoE-Einspeisung (24× FE-RJ45 + 2× 1G-Combo).##Lässt sich die Stromversorgung des WS-C2960+24TC-S redundant auslegen?||Ja, der WS-C2960+24TC-S unterstützt externe Stromredundanz über ein Cisco RPS 2300 (PWR-RPS2300); intern arbeitet er mit einem AC-Netzteil (100–240 V)."
