Artikelnummer;Überverkauf Plattform Hexwaren
C-O800-O800-1M;TRUE
C-O800-O800-2M;TRUE
A-O800-O800-1M;TRUE
A-O800-O800-3M;TRUE
A-O800-O800-5M;TRUE
A-O800-O800-7M;TRUE
A-O800-O800-10M;TRUE
A-O800-O800-15M;TRUE
A-O800-O800-20M;TRUE
A-O800-O800-25M;TRUE
A-O800-O800-30M;TRUE
OSFP-800G-2XDR4;TRUE
OSFP-800G-2PLR4;TRUE
OSFP-800G-2FR4;TRUE
OSFP-800G-2LR4;TRUE
OSFP-800G-2VSR4;TRUE
OSFP-800G-VSR8;TRUE
OSFP-800G-XDR8;TRUE
LPO-800G-2DR4;TRUE
LPO-800G-DR8;TRUE
LPO-800G-2FR4;TRUE
C-D800-D800-1M;TRUE
C-D800-D800-2M;TRUE
A-D800-D800-1M;TRUE
A-D800-D800-3M;TRUE
A-D800-D800-5M;TRUE
A-D800-D800-7M;TRUE
A-D800-D800-10M;TRUE
A-D800-D800-15M;TRUE
A-D800-D800-20M;TRUE
A-D800-D800-25M;TRUE
A-D800-D800-30M;TRUE
QDD-800G-2XDR4;TRUE
QDD-800G-2PLR4;TRUE
QDD-800G-2FR4;TRUE
QDD-800G-2LR4;TRUE
CAB-O-O-400G-1M;TRUE
CAB-O-O-400G-2M;TRUE
CAB-O-O-400G-3M;TRUE
CAB-O-2Q-400G-1M;TRUE
CAB-O-2Q-400G-2M;TRUE
CAB-O-2Q-400G-3M;TRUE
CAB-O-2Q-200G-1M;TRUE
CAB-O-2Q-200G-2M;TRUE
CAB-O-2Q-200G-3M;TRUE
CAB-O-4Q-400G-1M;TRUE
CAB-O-4Q-400G-2M;TRUE
CAB-O-4Q-400G-3M;TRUE
CAB-O-4Q-200G-1M;TRUE
CAB-O-4Q-200G-2M;TRUE
CAB-O-4Q-200G-3M;TRUE
CAB-O-8S-400G-1M;TRUE
CAB-O-8S-400G-2M;TRUE
CAB-O-8S-400G-3M;TRUE
CAB-O-8S-200G-1M;TRUE
CAB-O-8S-200G-2M;TRUE
CAB-O-8S-200G-3M;TRUE
H-O400-4Q100-1M;TRUE
H-O400-4Q100-2M;TRUE
H-O400-4Q100-3M;TRUE
H-O400-4Q100-5M;TRUE
AOC-O-O-400G-1M;TRUE
AOC-O-O-400G-3M;TRUE
AOC-O-O-400G-5M;TRUE
AOC-O-O-400G-7M;TRUE
AOC-O-O-400G-10M;TRUE
AOC-O-O-400G-15M;TRUE
AOC-O-O-400G-20M;TRUE
AOC-O-O-400G-25M;TRUE
AOC-O-O-400G-30M;TRUE
A-O400-Q400-1M;TRUE
A-O400-Q400-3M;TRUE
A-O400-Q400-5M;TRUE
A-O400-Q400-7M;TRUE
A-O400-Q400-10M;TRUE
A-O400-Q400-15M;TRUE
A-O400-Q400-20M;TRUE
A-O400-Q400-25M;TRUE
A-O400-Q400-30M;TRUE
A-O400-2Q200-1M;TRUE
A-O400-2Q200-3M;TRUE
A-O400-2Q200-5M;TRUE
A-O400-2Q200-7M;TRUE
A-O400-2Q200-10M;TRUE
A-O400-2Q200-15M;TRUE
A-O400-2Q200-20M;TRUE
A-O400-2Q200-25M;TRUE
A-O400-2Q200-30M;TRUE
OSFP-400G-VSR4;TRUE
OSFP-400G-SR8;TRUE
OSFP-400G-SR8-C;TRUE
OSFP-400G-SRBD;TRUE
OSFP-400G-DR4;TRUE
OSFP-400G-XDR4;TRUE
OSFP-400G-XDR4-S;TRUE
OSFP-400G-PLR4;TRUE
OSFP-400G-PLR4-S;TRUE
OSFP-400G-FR4;TRUE
OSFP-400G-LR4;TRUE
OSFP-400G-LR8;TRUE
OSFP-400G-2FR4;TRUE
OSFP-400G-ZR;TRUE
OSFP-200G-2LR4;TRUE
CAB-D-D-400G-1M;TRUE
CAB-D-D-400G-2M;TRUE
CAB-D-D-400-2.5;TRUE
CAB-D-D-400G-3M;TRUE
CAB-D-2Q-400G-1M;TRUE
CAB-D-2Q-400G-2M;TRUE
CAB-D-2Q-400-2.5;TRUE
CAB-D-2Q-400G-3M;TRUE
CAB-D-2Q-200G-1M;TRUE
CAB-D-2Q-200G-2M;TRUE
CAB-D-2Q-200-2.5;TRUE
CAB-D-4Q-400G-1M;TRUE
CAB-D-4Q-400G-2M;TRUE
CAB-D-4Q-400-2.5;TRUE
CAB-D-4Q-400G-3M;TRUE
CAB-D-4Q-200G-1M;TRUE
CAB-D-4Q-200G-2M;TRUE
CAB-D-4Q-200-2.5;TRUE
CAB-D-8S-400G-1M;TRUE
CAB-D-8S-400G-2M;TRUE
CAB-D-8S-400-2.5;TRUE
CAB-D-8S-200G-1M;TRUE
CAB-D-8S-200G-2M;TRUE
CAB-D-8S-200-2.5;TRUE
H-D400-4Q100-1M;TRUE
H-D400-4Q100-2M;TRUE
H-D400-4Q100-3M;TRUE
H-D400-4Q100-5M;TRUE
AOC-D-D-400G-1M;TRUE
AOC-D-D-400G-3M;TRUE
AOC-D-D-400G-5M;TRUE
AOC-D-D-400G-7M;TRUE
AOC-D-D-400G-10M;TRUE
AOC-D-D-400G-15M;TRUE
AOC-D-D-400G-20M;TRUE
AOC-D-D-400G-25M;TRUE
AOC-D-D-400G-30M;TRUE
A-D400-Q400-1M;TRUE
A-D400-Q400-3M;TRUE
A-D400-Q400-5M;TRUE
A-D400-Q400-7M;TRUE
A-D400-Q400-10M;TRUE
A-D400-Q400-15M;TRUE
A-D400-Q400-20M;TRUE
A-D400-Q400-25M;TRUE
A-D400-Q400-30M;TRUE
A-D400-2Q200-1M;TRUE
A-D400-2Q200-3M;TRUE
A-D400-2Q200-5M;TRUE
A-D400-2Q200-7M;TRUE
A-D400-2Q200-10M;TRUE
A-D400-2Q200-15M;TRUE
A-D400-2Q200-20M;TRUE
A-D400-2Q200-25M;TRUE
A-D400-2Q200-30M;TRUE
QDD-400G-VSR4;TRUE
QDD-400G-SR8;TRUE
QDD-400G-SR8-C;TRUE
QDD-400G-SRBD;TRUE
QDD-400G-DR4-ARISTA;TRUE
QDD-400G-XDR4;TRUE
QDD-400G-XDR4-S;TRUE
QDD-400G-PLR4-ARISTA;TRUE
QDD-400G-PLR4-S;TRUE
QDD-400G-FR4-ARISTA;TRUE
QDD-400G-LR4;TRUE
QDD-400G-LR8-ARISTA;TRUE
QDD-400G-ZR-ARISTA;TRUE
QDD-400G-ZRP;TRUE
QDD-200G-2LR4;TRUE
QDD-8X25-MR-SR-E;TRUE
OSFP-8X25-MR-LR;TRUE
C-Q200-Q200-1M;TRUE
C-Q200-Q200-2M;TRUE
C-Q200-Q200-3M;TRUE
C-Q200-2Q100-1M;TRUE
C-Q200-2Q100-2M;TRUE
C-Q200-2Q100-3M;TRUE
C-Q200-4S50-1M;TRUE
C-Q200-4S50-2M;TRUE
C-Q200-4S50-3M;TRUE
A-Q200-Q200-1M;TRUE
A-Q200-Q200-3M;TRUE
A-Q200-Q200-5M;TRUE
A-Q200-Q200-7M;TRUE
A-Q200-Q200-10M;TRUE
A-Q200-Q200-15M;TRUE
A-Q200-Q200-20M;TRUE
A-Q200-Q200-25M;TRUE
A-Q200-Q200-30M;TRUE
QSFP-200G-SR4;TRUE
QSFP-200G-FR4;TRUE
CAB-Q-Q-100G-0.5;TRUE
CAB-Q-Q-100G-1M;TRUE
CAB-Q-Q-100G-1.5;TRUE
CAB-Q-Q-100G-2M;TRUE
CAB-Q-Q-100G-2.5;TRUE
CAB-Q-Q-100G-3M;TRUE
CAB-Q-Q-100G-5M;TRUE
CAB-Q-4S-100G-1M;TRUE
CAB-Q-4S-100G-2M;TRUE
CAB-Q-4S-100G-3M;TRUE
CAB-Q-4S-100G-5M;TRUE
CAB-Q-2Q-100G-1M;TRUE
CAB-Q-2Q-100G-2M;TRUE
CAB-Q-2Q-100G-3M;TRUE
CAB-Q-2Q-100G-5M;TRUE
AOC-Q-Q-100G-1M;TRUE
AOC-Q-Q-100G-3M;TRUE
AOC-Q-Q-100G-5M;TRUE
AOC-Q-Q-100G-7M;TRUE
AOC-Q-Q-100G-10M;TRUE
AOC-Q-Q-100G-15M;TRUE
AOC-Q-Q-100G-20M;TRUE
AOC-Q-Q-100G-25M;TRUE
AOC-Q-Q-100G-30M;TRUE
QSFP-100G-SR4-E;TRUE
QSFP-100G-XSR4;TRUE
QSFP-100G-SWDM4;TRUE
QSFP-100G-SRBD;TRUE
QSFP-100G-PSM4-ARISTA;TRUE
QSFP-100G-PLRL4;TRUE
QSFP-100G-LR4-ARISTA;TRUE
QSFP-100G-LRL4;TRUE
QSFP-100G-CWDM4-ARISTA;TRUE
QSFP-100G-XCWDM4;TRUE
QSFP-100G-ERL4;TRUE
QSFP-100G-ZR4;TRUE
QSFP-100G-DR-ARISTA;TRUE
QSFP-100G-FR-ARISTA;TRUE
QSFP-100G-LR-ARISTA;TRUE
QSFP-100G-ER1;TRUE
CAB-Q-Q-0.5M;TRUE
CAB-Q-Q-1M;TRUE
CAB-Q-Q-2M;TRUE
CAB-Q-Q-3M;TRUE
CAB-Q-Q-5M;TRUE
CAB-Q-S-0.5M;TRUE
CAB-Q-S-1M;TRUE
CAB-Q-S-2M;TRUE
CAB-Q-S-3M;TRUE
CAB-Q-S-5M;TRUE
AOC-Q-Q-40G-3M;TRUE
AOC-Q-Q-40G-5M;TRUE
AOC-Q-Q-40G-7M;TRUE
AOC-Q-Q-40G-10M;TRUE
AOC-Q-Q-40G-15M;TRUE
AOC-Q-Q-40G-20M;TRUE
AOC-Q-Q-40G-25M;TRUE
AOC-Q-Q-40G-30M;TRUE
AOC-Q-Q-40G-50M;TRUE
AOC-Q-Q-40G-75M;TRUE
AOC-Q-Q-40G-100M;TRUE
QSFP-40G-XSR4;TRUE
QSFP-40G-SRBD;TRUE
QSFP-40G-SRBD-R;TRUE
QSFP-40G-UNIV;TRUE
QSFP-40G-LRL4;TRUE
QSFP-40G-PLR4;TRUE
QSFP-40G-PLRL4;TRUE
C-Z100-Z100-1M;TRUE
C-Z100-Z100-2M;TRUE
C-Z100-Z100-3M;TRUE
C-Z100-Q100-1M;TRUE
C-Z100-Q100-2M;TRUE
C-Z100-Q100-3M;TRUE
C-Z100-2S50-1M;TRUE
C-Z100-2S50-2M;TRUE
C-Z100-2S50-3M;TRUE
C-Y100-Y100-1M;TRUE
C-Y100-Y100-2M;TRUE
C-Y100-Y100-3M;TRUE
C-Y100-Q100-1M;TRUE
C-Y100-Q100-2M;TRUE
C-Y100-Q100-3M;TRUE
C-Y100-2S50-1M;TRUE
C-Y100-2S50-2M;TRUE
C-Y100-2S50-3M;TRUE
C-S50-S50-1M;TRUE
C-S50-S50-2M;TRUE
C-S50-S50-3M;TRUE
CAB-S-S-25G-0.5M;TRUE
CAB-S-S-25G-1M;TRUE
CAB-S-S-25G-1.5M;TRUE
CAB-S-S-25G-2M;TRUE
CAB-S-S-25G-2.5M;TRUE
CAB-S-S-25G-3M;TRUE
CAB-S-S-25G-5M;TRUE
AOC-S-S-25G-3M;TRUE
AOC-S-S-25G-5M;TRUE
AOC-S-S-25G-7M;TRUE
AOC-S-S-25G-10M;TRUE
AOC-S-S-25G-15M;TRUE
