Artikelnummer;Netto-VK
C-O800-O800-1M;0,00
C-O800-O800-2M;0,00
A-O800-O800-1M;0,00
A-O800-O800-3M;0,00
A-O800-O800-5M;0,00
A-O800-O800-7M;0,00
A-O800-O800-10M;0,00
A-O800-O800-15M;0,00
A-O800-O800-20M;0,00
A-O800-O800-25M;0,00
A-O800-O800-30M;0,00
OSFP-800G-2XDR4;0,00
OSFP-800G-2PLR4;0,00
OSFP-800G-2FR4;0,00
OSFP-800G-2LR4;0,00
OSFP-800G-2VSR4;0,00
OSFP-800G-VSR8;0,00
OSFP-800G-XDR8;0,00
LPO-800G-2DR4;0,00
LPO-800G-DR8;0,00
LPO-800G-2FR4;0,00
C-D800-D800-1M;0,00
C-D800-D800-2M;0,00
A-D800-D800-1M;0,00
A-D800-D800-3M;0,00
A-D800-D800-5M;0,00
A-D800-D800-7M;0,00
A-D800-D800-10M;0,00
A-D800-D800-15M;0,00
A-D800-D800-20M;0,00
A-D800-D800-25M;0,00
A-D800-D800-30M;0,00
QDD-800G-2XDR4;0,00
QDD-800G-2PLR4;0,00
QDD-800G-2FR4;0,00
QDD-800G-2LR4;0,00
CAB-O-O-400G-1M;0,00
CAB-O-O-400G-2M;0,00
CAB-O-O-400G-3M;0,00
CAB-O-2Q-400G-1M;0,00
CAB-O-2Q-400G-2M;0,00
CAB-O-2Q-400G-3M;0,00
CAB-O-2Q-200G-1M;0,00
CAB-O-2Q-200G-2M;0,00
CAB-O-2Q-200G-3M;0,00
CAB-O-4Q-400G-1M;0,00
CAB-O-4Q-400G-2M;0,00
CAB-O-4Q-400G-3M;0,00
CAB-O-4Q-200G-1M;0,00
CAB-O-4Q-200G-2M;0,00
CAB-O-4Q-200G-3M;0,00
CAB-O-8S-400G-1M;0,00
CAB-O-8S-400G-2M;0,00
CAB-O-8S-400G-3M;0,00
CAB-O-8S-200G-1M;0,00
CAB-O-8S-200G-2M;0,00
CAB-O-8S-200G-3M;0,00
H-O400-4Q100-1M;0,00
H-O400-4Q100-2M;0,00
