Artikelnummer;Überverkauf Plattform Hexwaren
CRS106-1C-5S;TRUE
CRS326-24G-2S+RM;TRUE
CSS326-24G-2S+RM;TRUE
CSS106-5G-1S;TRUE
CSS106-1G-4P-1S;TRUE
CRS112-8P-4S-IN;TRUE
CRS304-4XG-IN;TRUE
CRS305-1G-4S+IN;TRUE
CRS309-1G-8S+IN;TRUE
CRS310-1G-5S-4S+IN;TRUE
CRS310-8G+2S+IN;TRUE
CRS312-4C+8XG-RM;TRUE
CRS317-1G-16S+RM;TRUE
CRS318-1Fi-15Fr-2S-OUT;TRUE
CRS320-8P-8B-4S+RM;TRUE
CRS326-24G-2S+IN;TRUE
CRS326-24S+2Q+RM;TRUE
CRS326-4C+20G+2Q+RM;TRUE
CRS328-24P-4S+RM;TRUE
CRS328-4C-20S-4S+RM;TRUE
CRS354-48G-4S+2Q+RM;TRUE
CRS354-48P-4S+2Q+RM;TRUE
CRS418-8P-8G-2S+RM;TRUE
CRS418-8P-8G-2S+5axQ2axQ-RM;TRUE
CRS504-4XQ-IN;TRUE
CRS504-4XQ-OUT;TRUE
CRS510-8XS-2XQ-IN;TRUE
CRS518-16XS-2XQ-RM;TRUE
CRS520-4XS-16XQ-RM;TRUE
CRS804-4DDQ-hRM;TRUE
CRS812-8DS-2DQ-2DDQ-RM;TRUE
CSS318-16G-2S+IN;TRUE
CSS610-8G-2S+IN;TRUE
CSS610-8P-2S+IN;TRUE
CRS318-16P-2S+OUT;TRUE
CSS610-1Gi-7R-2S+OUT;TRUE
CSS610-8P-2S+OUT;TRUE
CRS310-1G-5S-4S+OUT;TRUE
CRS305-1G-4S+OUT;TRUE
