Artikelnummer,FAQ
WS-C2960PD-8TT-L,"Wie viele Ports hat der WS-C2960PD-8TT-L?||Der WS-C2960PD-8TT-L bietet insgesamt 9 Ports: 8× FE-RJ45 + 1× 1G-RJ45 (PoE-Input-Uplink).##Welches Betriebssystem nutzt der WS-C2960PD-8TT-L?||Der WS-C2960PD-8TT-L läuft unter Cisco IOS (LAN Base) und wird per CLI und Express Setup verwaltet; Stacking unterstützt der WS-C2960PD-8TT-L nicht.##Wie wird der WS-C2960PD-8TT-L mit Strom versorgt?||Der WS-C2960PD-8TT-L ist ein Powered Device: er wird über einen PoE-Uplink gespeist und benötigt keine lokale Steckdose; eine PoE-Ausgabe an Endgeräte erfolgt nicht.##Ist der WS-C2960PD-8TT-L noch aktuell?||Die Catalyst 2960-Serie ist abgekündigt (End-of-Sale); der WS-C2960PD-8TT-L bleibt als Original-Hardware für Ersatz und Bestandserweiterung erhältlich und trägt Cisco Limited Lifetime Warranty."
WS-C2960-8TC-L,"Wie viele Ports hat der WS-C2960-8TC-L?||Der WS-C2960-8TC-L bietet insgesamt 9 Ports: 8× FE-RJ45 + 1× 1G-Combo.##Welches Betriebssystem nutzt der WS-C2960-8TC-L?||Der WS-C2960-8TC-L läuft unter Cisco IOS (LAN Base) und wird per CLI und Express Setup verwaltet; Stacking unterstützt der WS-C2960-8TC-L nicht.##Hat der WS-C2960-8TC-L PoE?||Nein, der WS-C2960-8TC-L ist ein reiner Daten-Switch ohne PoE-Einspeisung (8× FE-RJ45 + 1× 1G-Combo).##Ist der WS-C2960-8TC-L noch aktuell?||Die Catalyst 2960-Serie ist abgekündigt (End-of-Sale); der WS-C2960-8TC-L bleibt als Original-Hardware für Ersatz und Bestandserweiterung erhältlich und trägt Cisco Limited Lifetime Warranty."
WS-C2960-24TT-L,"Wie viele Ports hat der WS-C2960-24TT-L?||Der WS-C2960-24TT-L bietet insgesamt 26 Ports: 24× FE-RJ45 + 2× 1G-RJ45.##Welches Betriebssystem nutzt der WS-C2960-24TT-L?||Der WS-C2960-24TT-L läuft unter Cisco IOS (LAN Base) und wird per CLI und Express Setup verwaltet; Stacking unterstützt der WS-C2960-24TT-L nicht.##Hat der WS-C2960-24TT-L PoE?||Nein, der WS-C2960-24TT-L ist ein reiner Daten-Switch ohne PoE-Einspeisung (24× FE-RJ45 + 2× 1G-RJ45).##Ist der WS-C2960-24TT-L noch aktuell?||Die Catalyst 2960-Serie ist abgekündigt (End-of-Sale); der WS-C2960-24TT-L bleibt als Original-Hardware für Ersatz und Bestandserweiterung erhältlich und trägt Cisco Limited Lifetime Warranty. Die Stromversorgung ist über ein Cisco RPS 2300 redundant absicherbar."
WS-C2960-48TT-L,"Wie viele Ports hat der WS-C2960-48TT-L?||Der WS-C2960-48TT-L bietet insgesamt 50 Ports: 48× FE-RJ45 + 2× 1G-RJ45.##Welches Betriebssystem nutzt der WS-C2960-48TT-L?||Der WS-C2960-48TT-L läuft unter Cisco IOS (LAN Base) und wird per CLI und Express Setup verwaltet; Stacking unterstützt der WS-C2960-48TT-L nicht.##Hat der WS-C2960-48TT-L PoE?||Nein, der WS-C2960-48TT-L ist ein reiner Daten-Switch ohne PoE-Einspeisung (48× FE-RJ45 + 2× 1G-RJ45).##Ist der WS-C2960-48TT-L noch aktuell?||Die Catalyst 2960-Serie ist abgekündigt (End-of-Sale); der WS-C2960-48TT-L bleibt als Original-Hardware für Ersatz und Bestandserweiterung erhältlich und trägt Cisco Limited Lifetime Warranty. Die Stromversorgung ist über ein Cisco RPS 2300 redundant absicherbar."
WS-C2960-24TC-L,"Wie viele Ports hat der WS-C2960-24TC-L?||Der WS-C2960-24TC-L bietet insgesamt 26 Ports: 24× FE-RJ45 + 2× 1G-Combo.##Welches Betriebssystem nutzt der WS-C2960-24TC-L?||Der WS-C2960-24TC-L läuft unter Cisco IOS (LAN Base) und wird per CLI und Express Setup verwaltet; Stacking unterstützt der WS-C2960-24TC-L nicht.##Hat der WS-C2960-24TC-L PoE?||Nein, der WS-C2960-24TC-L ist ein reiner Daten-Switch ohne PoE-Einspeisung (24× FE-RJ45 + 2× 1G-Combo).##Ist der WS-C2960-24TC-L noch aktuell?||Die Catalyst 2960-Serie ist abgekündigt (End-of-Sale); der WS-C2960-24TC-L bleibt als Original-Hardware für Ersatz und Bestandserweiterung erhältlich und trägt Cisco Limited Lifetime Warranty. Die Stromversorgung ist über ein Cisco RPS 2300 redundant absicherbar."
WS-C2960-48TC-L,"Wie viele Ports hat der WS-C2960-48TC-L?||Der WS-C2960-48TC-L bietet insgesamt 50 Ports: 48× FE-RJ45 + 2× 1G-Combo.##Welches Betriebssystem nutzt der WS-C2960-48TC-L?||Der WS-C2960-48TC-L läuft unter Cisco IOS (LAN Base) und wird per CLI und Express Setup verwaltet; Stacking unterstützt der WS-C2960-48TC-L nicht.##Hat der WS-C2960-48TC-L PoE?||Nein, der WS-C2960-48TC-L ist ein reiner Daten-Switch ohne PoE-Einspeisung (48× FE-RJ45 + 2× 1G-Combo).##Ist der WS-C2960-48TC-L noch aktuell?||Die Catalyst 2960-Serie ist abgekündigt (End-of-Sale); der WS-C2960-48TC-L bleibt als Original-Hardware für Ersatz und Bestandserweiterung erhältlich und trägt Cisco Limited Lifetime Warranty. Die Stromversorgung ist über ein Cisco RPS 2300 redundant absicherbar."
WS-C2960-24LT-L,"Wie viele Ports hat der WS-C2960-24LT-L?||Der WS-C2960-24LT-L bietet insgesamt 26 Ports: 24× FE-RJ45 (davon 8 mit PoE) + 2× 1G-RJ45.##Welches Betriebssystem nutzt der WS-C2960-24LT-L?||Der WS-C2960-24LT-L läuft unter Cisco IOS (LAN Base) und wird per CLI und Express Setup verwaltet; Stacking unterstützt der WS-C2960-24LT-L nicht.##Welches PoE hat der WS-C2960-24LT-L?||Der WS-C2960-24LT-L liefert PoE nach IEEE 802.3af (bis 15,4 W/Port) an 8 seiner Ports – für IP-Telefone und Access-Points.##Ist der WS-C2960-24LT-L noch aktuell?||Die Catalyst 2960-Serie ist abgekündigt (End-of-Sale); der WS-C2960-24LT-L bleibt als Original-Hardware für Ersatz und Bestandserweiterung erhältlich und trägt Cisco Limited Lifetime Warranty. Die Stromversorgung ist über ein Cisco RPS 2300 redundant absicherbar."
WS-C2960-24PC-L,"Wie viele Ports hat der WS-C2960-24PC-L?||Der WS-C2960-24PC-L bietet insgesamt 26 Ports: 24× FE-RJ45 (PoE) + 2× 1G-Combo.##Welches Betriebssystem nutzt der WS-C2960-24PC-L?||Der WS-C2960-24PC-L läuft unter Cisco IOS (LAN Base) und wird per CLI und Express Setup verwaltet; Stacking unterstützt der WS-C2960-24PC-L nicht.##Welches PoE-Budget hat der WS-C2960-24PC-L?||Der WS-C2960-24PC-L liefert PoE nach IEEE 802.3af (bis 15,4 W/Port) mit insgesamt 370 W für IP-Telefone, WLAN-APs und Kameras.##Ist der WS-C2960-24PC-L noch aktuell?||Die Catalyst 2960-Serie ist abgekündigt (End-of-Sale); der WS-C2960-24PC-L bleibt als Original-Hardware für Ersatz und Bestandserweiterung erhältlich und trägt Cisco Limited Lifetime Warranty. Die Stromversorgung ist über ein Cisco RPS 2300 redundant absicherbar."
WS-C2960-48PST-L,"Wie viele Ports hat der WS-C2960-48PST-L?||Der WS-C2960-48PST-L bietet insgesamt 52 Ports: 48× FE-RJ45 (PoE) + 2× 1G-RJ45 + 2× 1G-SFP.##Welches Betriebssystem nutzt der WS-C2960-48PST-L?||Der WS-C2960-48PST-L läuft unter Cisco IOS (LAN Base) und wird per CLI und Express Setup verwaltet; Stacking unterstützt der WS-C2960-48PST-L nicht.##Welches PoE-Budget hat der WS-C2960-48PST-L?||Der WS-C2960-48PST-L liefert PoE nach IEEE 802.3af (bis 15,4 W/Port) mit insgesamt 370 W für IP-Telefone, WLAN-APs und Kameras.##Ist der WS-C2960-48PST-L noch aktuell?||Die Catalyst 2960-Serie ist abgekündigt (End-of-Sale); der WS-C2960-48PST-L bleibt als Original-Hardware für Ersatz und Bestandserweiterung erhältlich und trägt Cisco Limited Lifetime Warranty. Die Stromversorgung ist über ein Cisco RPS 2300 redundant absicherbar."
WS-C2960G-8TC-L,"Wie viele Ports hat der WS-C2960G-8TC-L?||Der WS-C2960G-8TC-L bietet insgesamt 8 Ports: 7× 1G-RJ45 + 1× 1G-Combo.##Welches Betriebssystem nutzt der WS-C2960G-8TC-L?||Der WS-C2960G-8TC-L läuft unter Cisco IOS (LAN Base) und wird per CLI und Express Setup verwaltet; Stacking unterstützt der WS-C2960G-8TC-L nicht.##Hat der WS-C2960G-8TC-L PoE?||Nein, der WS-C2960G-8TC-L ist ein reiner Daten-Switch ohne PoE-Einspeisung (7× 1G-RJ45 + 1× 1G-Combo).##Ist der WS-C2960G-8TC-L noch aktuell?||Die Catalyst 2960G-Serie ist abgekündigt (End-of-Sale); der WS-C2960G-8TC-L bleibt als Original-Hardware für Ersatz und Bestandserweiterung erhältlich und trägt Cisco Limited Lifetime Warranty."
WS-C2960G-24TC-L,"Wie viele Ports hat der WS-C2960G-24TC-L?||Der WS-C2960G-24TC-L bietet insgesamt 24 Ports: 20× 1G-RJ45 + 4× 1G-Combo.##Welches Betriebssystem nutzt der WS-C2960G-24TC-L?||Der WS-C2960G-24TC-L läuft unter Cisco IOS (LAN Base) und wird per CLI und Express Setup verwaltet; Stacking unterstützt der WS-C2960G-24TC-L nicht.##Hat der WS-C2960G-24TC-L PoE?||Nein, der WS-C2960G-24TC-L ist ein reiner Daten-Switch ohne PoE-Einspeisung (20× 1G-RJ45 + 4× 1G-Combo).##Ist der WS-C2960G-24TC-L noch aktuell?||Die Catalyst 2960G-Serie ist abgekündigt (End-of-Sale); der WS-C2960G-24TC-L bleibt als Original-Hardware für Ersatz und Bestandserweiterung erhältlich und trägt Cisco Limited Lifetime Warranty. Die Stromversorgung ist über ein Cisco RPS 2300 redundant absicherbar."
