Artikelnummer;Überverkauf Plattform Hexwaren
JC614A;TRUE
JG496A;TRUE
JH198A;TRUE
JG375A;TRUE
JH206A;TRUE
JC615A;TRUE
JC751A;TRUE
JC752A;TRUE
JC753A;TRUE
JC754A;TRUE
JC749A;TRUE
JC750A;TRUE
JC617A;TRUE
JC618A;TRUE
JC619A;TRUE
JC620A;TRUE
JC621A;TRUE
JC622A;TRUE
JC623A;TRUE
JC625A;TRUE
JC626A;TRUE
JC627A;TRUE
JC628A;TRUE
JC631A;TRUE
JC755A;TRUE
JC756A;TRUE
JC757A;TRUE
JC763A;TRUE
JH191A;TRUE
JH196A;TRUE
JH192A;TRUE
JH193A;TRUE
JH194A;TRUE
JH195A;TRUE
JH197A;TRUE
JH432A;TRUE
JH433A;TRUE
JH434A;TRUE
JG392A;TRUE
JG394A;TRUE
JG396A;TRUE
JG916A;TRUE
