Artikelnummer,FAQ
WS-C3650-24PS-L,"Wie viele Ports hat der WS-C3650-24PS-L?||Der WS-C3650-24PS-L bietet 24× 10/100/1000-PoE+-Zugangs-Ports plus vier feste 1G-SFP-Uplinks.##Lässt sich der WS-C3650-24PS-L stapeln?||Ja, der WS-C3650-24PS-L unterstützt Cisco StackWise-160 über das optionale Stacking-Modul (bis zu 9 Einheiten, 160 Gbit/s, eine Verwaltungs-IP); ein Stack ist feature-set-homogen (LAN Base nur mit LAN Base, IP Base/IP Services untereinander).##Welche Uplinks hat der WS-C3650-24PS-L?||Der WS-C3650-24PS-L (S-Modell) hat vier feste 1G-SFP-Uplinks; 10G-SFP+-Uplinks bieten die D-Modelle der 3650-Serie (24PD).##Routet der WS-C3650-24PS-L (LAN Base)?||Der WS-C3650-24PS-L ist mit LAN Base ein Layer-2-Switch (umfassendes Layer-2-Switching (bis 255 VLANs, statisches Routing), kein dynamisches Routing). Für Routed Access gibt es dieselbe Hardware als IP-Base- (-S) oder IP-Services- (-E) Variante."
WS-C3650-24PS-S,"Wie viele Ports hat der WS-C3650-24PS-S?||Der WS-C3650-24PS-S bietet 24× 10/100/1000-PoE+-Zugangs-Ports plus vier feste 1G-SFP-Uplinks.##Lässt sich der WS-C3650-24PS-S stapeln?||Ja, der WS-C3650-24PS-S unterstützt Cisco StackWise-160 über das optionale Stacking-Modul (bis zu 9 Einheiten, 160 Gbit/s, eine Verwaltungs-IP); ein Stack ist feature-set-homogen (LAN Base nur mit LAN Base, IP Base/IP Services untereinander).##Welche Uplinks hat der WS-C3650-24PS-S?||Der WS-C3650-24PS-S (S-Modell) hat vier feste 1G-SFP-Uplinks; 10G-SFP+-Uplinks bieten die D-Modelle der 3650-Serie (24PD).##Was leistet die IP Base-Lizenz des WS-C3650-24PS-S?||Der WS-C3650-24PS-S ist ein Layer-3-Switch: die IP Base-Lizenz schaltet Routed Access (statisches Routing, RIPv2, EIGRP-Stub, OSPF for Routed Access, PBR, VRF-Lite) frei. Die Hardware ist je Konfiguration identisch; nur die Lizenz unterscheidet sich (LAN Base/IP Base/IP Services)."
WS-C3650-24PS-E,"Wie viele Ports hat der WS-C3650-24PS-E?||Der WS-C3650-24PS-E bietet 24× 10/100/1000-PoE+-Zugangs-Ports plus vier feste 1G-SFP-Uplinks.##Lässt sich der WS-C3650-24PS-E stapeln?||Ja, der WS-C3650-24PS-E unterstützt Cisco StackWise-160 über das optionale Stacking-Modul (bis zu 9 Einheiten, 160 Gbit/s, eine Verwaltungs-IP); ein Stack ist feature-set-homogen (LAN Base nur mit LAN Base, IP Base/IP Services untereinander).##Welche Uplinks hat der WS-C3650-24PS-E?||Der WS-C3650-24PS-E (S-Modell) hat vier feste 1G-SFP-Uplinks; 10G-SFP+-Uplinks bieten die D-Modelle der 3650-Serie (24PD).##Was leistet die IP Services-Lizenz des WS-C3650-24PS-E?||Der WS-C3650-24PS-E ist ein Layer-3-Switch: die IP Services-Lizenz schaltet volles dynamisches Routing (OSPF, EIGRP, BGPv4, IS-IS, PIM, IPv6/OSPFv3) frei. Die Hardware ist je Konfiguration identisch; nur die Lizenz unterscheidet sich (LAN Base/IP Base/IP Services)."
WS-C3650-48PS-L,"Wie viele Ports hat der WS-C3650-48PS-L?||Der WS-C3650-48PS-L bietet 48× 10/100/1000-PoE+-Zugangs-Ports plus vier feste 1G-SFP-Uplinks.##Lässt sich der WS-C3650-48PS-L stapeln?||Ja, der WS-C3650-48PS-L unterstützt Cisco StackWise-160 über das optionale Stacking-Modul (bis zu 9 Einheiten, 160 Gbit/s, eine Verwaltungs-IP); ein Stack ist feature-set-homogen (LAN Base nur mit LAN Base, IP Base/IP Services untereinander).##Welche Uplinks hat der WS-C3650-48PS-L?||Der WS-C3650-48PS-L (S-Modell) hat vier feste 1G-SFP-Uplinks; 10G-SFP+-Uplinks bieten die D-Modelle der 3650-Serie (48PD).##Routet der WS-C3650-48PS-L (LAN Base)?||Der WS-C3650-48PS-L ist mit LAN Base ein Layer-2-Switch (umfassendes Layer-2-Switching (bis 255 VLANs, statisches Routing), kein dynamisches Routing). Für Routed Access gibt es dieselbe Hardware als IP-Base- (-S) oder IP-Services- (-E) Variante."
WS-C3650-48PS-S,"Wie viele Ports hat der WS-C3650-48PS-S?||Der WS-C3650-48PS-S bietet 48× 10/100/1000-PoE+-Zugangs-Ports plus vier feste 1G-SFP-Uplinks.##Lässt sich der WS-C3650-48PS-S stapeln?||Ja, der WS-C3650-48PS-S unterstützt Cisco StackWise-160 über das optionale Stacking-Modul (bis zu 9 Einheiten, 160 Gbit/s, eine Verwaltungs-IP); ein Stack ist feature-set-homogen (LAN Base nur mit LAN Base, IP Base/IP Services untereinander).##Welche Uplinks hat der WS-C3650-48PS-S?||Der WS-C3650-48PS-S (S-Modell) hat vier feste 1G-SFP-Uplinks; 10G-SFP+-Uplinks bieten die D-Modelle der 3650-Serie (48PD).##Was leistet die IP Base-Lizenz des WS-C3650-48PS-S?||Der WS-C3650-48PS-S ist ein Layer-3-Switch: die IP Base-Lizenz schaltet Routed Access (statisches Routing, RIPv2, EIGRP-Stub, OSPF for Routed Access, PBR, VRF-Lite) frei. Die Hardware ist je Konfiguration identisch; nur die Lizenz unterscheidet sich (LAN Base/IP Base/IP Services)."
WS-C3650-48PS-E,"Wie viele Ports hat der WS-C3650-48PS-E?||Der WS-C3650-48PS-E bietet 48× 10/100/1000-PoE+-Zugangs-Ports plus vier feste 1G-SFP-Uplinks.##Lässt sich der WS-C3650-48PS-E stapeln?||Ja, der WS-C3650-48PS-E unterstützt Cisco StackWise-160 über das optionale Stacking-Modul (bis zu 9 Einheiten, 160 Gbit/s, eine Verwaltungs-IP); ein Stack ist feature-set-homogen (LAN Base nur mit LAN Base, IP Base/IP Services untereinander).##Welche Uplinks hat der WS-C3650-48PS-E?||Der WS-C3650-48PS-E (S-Modell) hat vier feste 1G-SFP-Uplinks; 10G-SFP+-Uplinks bieten die D-Modelle der 3650-Serie (48PD).##Was leistet die IP Services-Lizenz des WS-C3650-48PS-E?||Der WS-C3650-48PS-E ist ein Layer-3-Switch: die IP Services-Lizenz schaltet volles dynamisches Routing (OSPF, EIGRP, BGPv4, IS-IS, PIM, IPv6/OSPFv3) frei. Die Hardware ist je Konfiguration identisch; nur die Lizenz unterscheidet sich (LAN Base/IP Base/IP Services)."
WS-C3650-48FS-L,"Wie viele Ports hat der WS-C3650-48FS-L?||Der WS-C3650-48FS-L bietet 48× 10/100/1000-PoE+-Zugangs-Ports plus vier feste 1G-SFP-Uplinks.##Lässt sich der WS-C3650-48FS-L stapeln?||Ja, der WS-C3650-48FS-L unterstützt Cisco StackWise-160 über das optionale Stacking-Modul (bis zu 9 Einheiten, 160 Gbit/s, eine Verwaltungs-IP); ein Stack ist feature-set-homogen (LAN Base nur mit LAN Base, IP Base/IP Services untereinander).##Welche Uplinks hat der WS-C3650-48FS-L?||Der WS-C3650-48FS-L (S-Modell) hat vier feste 1G-SFP-Uplinks; 10G-SFP+-Uplinks bieten die D-Modelle der 3650-Serie (48FD).##Routet der WS-C3650-48FS-L (LAN Base)?||Der WS-C3650-48FS-L ist mit LAN Base ein Layer-2-Switch (umfassendes Layer-2-Switching (bis 255 VLANs, statisches Routing), kein dynamisches Routing). Für Routed Access gibt es dieselbe Hardware als IP-Base- (-S) oder IP-Services- (-E) Variante."
WS-C3650-48FS-S,"Wie viele Ports hat der WS-C3650-48FS-S?||Der WS-C3650-48FS-S bietet 48× 10/100/1000-PoE+-Zugangs-Ports plus vier feste 1G-SFP-Uplinks.##Lässt sich der WS-C3650-48FS-S stapeln?||Ja, der WS-C3650-48FS-S unterstützt Cisco StackWise-160 über das optionale Stacking-Modul (bis zu 9 Einheiten, 160 Gbit/s, eine Verwaltungs-IP); ein Stack ist feature-set-homogen (LAN Base nur mit LAN Base, IP Base/IP Services untereinander).##Welche Uplinks hat der WS-C3650-48FS-S?||Der WS-C3650-48FS-S (S-Modell) hat vier feste 1G-SFP-Uplinks; 10G-SFP+-Uplinks bieten die D-Modelle der 3650-Serie (48FD).##Was leistet die IP Base-Lizenz des WS-C3650-48FS-S?||Der WS-C3650-48FS-S ist ein Layer-3-Switch: die IP Base-Lizenz schaltet Routed Access (statisches Routing, RIPv2, EIGRP-Stub, OSPF for Routed Access, PBR, VRF-Lite) frei. Die Hardware ist je Konfiguration identisch; nur die Lizenz unterscheidet sich (LAN Base/IP Base/IP Services)."
WS-C3650-48FS-E,"Wie viele Ports hat der WS-C3650-48FS-E?||Der WS-C3650-48FS-E bietet 48× 10/100/1000-PoE+-Zugangs-Ports plus vier feste 1G-SFP-Uplinks.##Lässt sich der WS-C3650-48FS-E stapeln?||Ja, der WS-C3650-48FS-E unterstützt Cisco StackWise-160 über das optionale Stacking-Modul (bis zu 9 Einheiten, 160 Gbit/s, eine Verwaltungs-IP); ein Stack ist feature-set-homogen (LAN Base nur mit LAN Base, IP Base/IP Services untereinander).##Welche Uplinks hat der WS-C3650-48FS-E?||Der WS-C3650-48FS-E (S-Modell) hat vier feste 1G-SFP-Uplinks; 10G-SFP+-Uplinks bieten die D-Modelle der 3650-Serie (48FD).##Was leistet die IP Services-Lizenz des WS-C3650-48FS-E?||Der WS-C3650-48FS-E ist ein Layer-3-Switch: die IP Services-Lizenz schaltet volles dynamisches Routing (OSPF, EIGRP, BGPv4, IS-IS, PIM, IPv6/OSPFv3) frei. Die Hardware ist je Konfiguration identisch; nur die Lizenz unterscheidet sich (LAN Base/IP Base/IP Services)."
WS-C3650-24PD-L,"Wie viele Ports hat der WS-C3650-24PD-L?||Der WS-C3650-24PD-L bietet 24× 10/100/1000-PoE+-Zugangs-Ports plus zwei feste 10G-SFP+- und zwei feste 1G-SFP-Uplinks.##Lässt sich der WS-C3650-24PD-L stapeln?||Ja, der WS-C3650-24PD-L unterstützt Cisco StackWise-160 über das optionale Stacking-Modul (bis zu 9 Einheiten, 160 Gbit/s, eine Verwaltungs-IP); ein Stack ist feature-set-homogen (LAN Base nur mit LAN Base, IP Base/IP Services untereinander).##Welche Uplinks hat der WS-C3650-24PD-L?||Der WS-C3650-24PD-L (D-Modell) hat zwei feste 10G-SFP+-Uplinks plus zwei 1G-SFP-Uplinks für High-Speed-Backhaul; die 24 Zugangs-Ports arbeiten mit 1 Gbit/s.##Routet der WS-C3650-24PD-L (LAN Base)?||Der WS-C3650-24PD-L ist mit LAN Base ein Layer-2-Switch (umfassendes Layer-2-Switching (bis 255 VLANs, statisches Routing), kein dynamisches Routing). Für Routed Access gibt es dieselbe Hardware als IP-Base- (-S) oder IP-Services- (-E) Variante."
