Artikelnummer,Netto-VK,Anker-Quelle,Methode,Anker-PN
WS-C3650-24PS-L,"300,00","Genuine-New-Sealed EoL ONLY (Catalyst 3650, End-of-Sale; Nachfolger Catalyst 9300): refurb/used/pulled/remanufactured HART ABGELEHNT. NICHT Cisco-Liste; geschätzt aus dem realen New-Sealed-EoL-Kanal -> Operator-Band ~€300 (24PS-L) -> ~€2.800 (48FD-E); eine Stufe unter dem 3850 (StackWise-160 statt -480). Monoton 4-achsig Port(24<48)×PoE(PoE+<Full-PoE+)×Uplink(S 4x1G < D 2x10G)×Lizenz(LAN Base<IP Base<IP Services). Vor Listung Sourcing bestätigen.",geschätzt-aus-Vergleich,24PS LAN Base
WS-C3650-24PS-S,"390,00","Genuine-New-Sealed EoL ONLY (Catalyst 3650, End-of-Sale; Nachfolger Catalyst 9300): refurb/used/pulled/remanufactured HART ABGELEHNT. NICHT Cisco-Liste; geschätzt aus dem realen New-Sealed-EoL-Kanal -> Operator-Band ~€300 (24PS-L) -> ~€2.800 (48FD-E); eine Stufe unter dem 3850 (StackWise-160 statt -480). Monoton 4-achsig Port(24<48)×PoE(PoE+<Full-PoE+)×Uplink(S 4x1G < D 2x10G)×Lizenz(LAN Base<IP Base<IP Services). Vor Listung Sourcing bestätigen.",geschätzt-aus-Vergleich,24PS IP Base
WS-C3650-24PS-E,"480,00","Genuine-New-Sealed EoL ONLY (Catalyst 3650, End-of-Sale; Nachfolger Catalyst 9300): refurb/used/pulled/remanufactured HART ABGELEHNT. NICHT Cisco-Liste; geschätzt aus dem realen New-Sealed-EoL-Kanal -> Operator-Band ~€300 (24PS-L) -> ~€2.800 (48FD-E); eine Stufe unter dem 3850 (StackWise-160 statt -480). Monoton 4-achsig Port(24<48)×PoE(PoE+<Full-PoE+)×Uplink(S 4x1G < D 2x10G)×Lizenz(LAN Base<IP Base<IP Services). Vor Listung Sourcing bestätigen.",geschätzt-aus-Vergleich,24PS IP Services
WS-C3650-48PS-L,"700,00","Genuine-New-Sealed EoL ONLY (Catalyst 3650, End-of-Sale; Nachfolger Catalyst 9300): refurb/used/pulled/remanufactured HART ABGELEHNT. NICHT Cisco-Liste; geschätzt aus dem realen New-Sealed-EoL-Kanal -> Operator-Band ~€300 (24PS-L) -> ~€2.800 (48FD-E); eine Stufe unter dem 3850 (StackWise-160 statt -480). Monoton 4-achsig Port(24<48)×PoE(PoE+<Full-PoE+)×Uplink(S 4x1G < D 2x10G)×Lizenz(LAN Base<IP Base<IP Services). Vor Listung Sourcing bestätigen.",geschätzt-aus-Vergleich,48PS LAN Base
WS-C3650-48PS-S,"910,00","Genuine-New-Sealed EoL ONLY (Catalyst 3650, End-of-Sale; Nachfolger Catalyst 9300): refurb/used/pulled/remanufactured HART ABGELEHNT. NICHT Cisco-Liste; geschätzt aus dem realen New-Sealed-EoL-Kanal -> Operator-Band ~€300 (24PS-L) -> ~€2.800 (48FD-E); eine Stufe unter dem 3850 (StackWise-160 statt -480). Monoton 4-achsig Port(24<48)×PoE(PoE+<Full-PoE+)×Uplink(S 4x1G < D 2x10G)×Lizenz(LAN Base<IP Base<IP Services). Vor Listung Sourcing bestätigen.",geschätzt-aus-Vergleich,48PS IP Base
WS-C3650-48PS-E,"1120,00","Genuine-New-Sealed EoL ONLY (Catalyst 3650, End-of-Sale; Nachfolger Catalyst 9300): refurb/used/pulled/remanufactured HART ABGELEHNT. NICHT Cisco-Liste; geschätzt aus dem realen New-Sealed-EoL-Kanal -> Operator-Band ~€300 (24PS-L) -> ~€2.800 (48FD-E); eine Stufe unter dem 3850 (StackWise-160 statt -480). Monoton 4-achsig Port(24<48)×PoE(PoE+<Full-PoE+)×Uplink(S 4x1G < D 2x10G)×Lizenz(LAN Base<IP Base<IP Services). Vor Listung Sourcing bestätigen.",geschätzt-aus-Vergleich,48PS IP Services
WS-C3650-48FS-L,"1150,00","Genuine-New-Sealed EoL ONLY (Catalyst 3650, End-of-Sale; Nachfolger Catalyst 9300): refurb/used/pulled/remanufactured HART ABGELEHNT. NICHT Cisco-Liste; geschätzt aus dem realen New-Sealed-EoL-Kanal -> Operator-Band ~€300 (24PS-L) -> ~€2.800 (48FD-E); eine Stufe unter dem 3850 (StackWise-160 statt -480). Monoton 4-achsig Port(24<48)×PoE(PoE+<Full-PoE+)×Uplink(S 4x1G < D 2x10G)×Lizenz(LAN Base<IP Base<IP Services). Vor Listung Sourcing bestätigen.",geschätzt-aus-Vergleich,48FS LAN Base
WS-C3650-48FS-S,"1500,00","Genuine-New-Sealed EoL ONLY (Catalyst 3650, End-of-Sale; Nachfolger Catalyst 9300): refurb/used/pulled/remanufactured HART ABGELEHNT. NICHT Cisco-Liste; geschätzt aus dem realen New-Sealed-EoL-Kanal -> Operator-Band ~€300 (24PS-L) -> ~€2.800 (48FD-E); eine Stufe unter dem 3850 (StackWise-160 statt -480). Monoton 4-achsig Port(24<48)×PoE(PoE+<Full-PoE+)×Uplink(S 4x1G < D 2x10G)×Lizenz(LAN Base<IP Base<IP Services). Vor Listung Sourcing bestätigen.",geschätzt-aus-Vergleich,48FS IP Base
WS-C3650-48FS-E,"1840,00","Genuine-New-Sealed EoL ONLY (Catalyst 3650, End-of-Sale; Nachfolger Catalyst 9300): refurb/used/pulled/remanufactured HART ABGELEHNT. NICHT Cisco-Liste; geschätzt aus dem realen New-Sealed-EoL-Kanal -> Operator-Band ~€300 (24PS-L) -> ~€2.800 (48FD-E); eine Stufe unter dem 3850 (StackWise-160 statt -480). Monoton 4-achsig Port(24<48)×PoE(PoE+<Full-PoE+)×Uplink(S 4x1G < D 2x10G)×Lizenz(LAN Base<IP Base<IP Services). Vor Listung Sourcing bestätigen.",geschätzt-aus-Vergleich,48FS IP Services
WS-C3650-24PD-L,"520,00","Genuine-New-Sealed EoL ONLY (Catalyst 3650, End-of-Sale; Nachfolger Catalyst 9300): refurb/used/pulled/remanufactured HART ABGELEHNT. NICHT Cisco-Liste; geschätzt aus dem realen New-Sealed-EoL-Kanal -> Operator-Band ~€300 (24PS-L) -> ~€2.800 (48FD-E); eine Stufe unter dem 3850 (StackWise-160 statt -480). Monoton 4-achsig Port(24<48)×PoE(PoE+<Full-PoE+)×Uplink(S 4x1G < D 2x10G)×Lizenz(LAN Base<IP Base<IP Services). Vor Listung Sourcing bestätigen.",geschätzt-aus-Vergleich,24PD LAN Base
WS-C3650-24PD-S,"680,00","Genuine-New-Sealed EoL ONLY (Catalyst 3650, End-of-Sale; Nachfolger Catalyst 9300): refurb/used/pulled/remanufactured HART ABGELEHNT. NICHT Cisco-Liste; geschätzt aus dem realen New-Sealed-EoL-Kanal -> Operator-Band ~€300 (24PS-L) -> ~€2.800 (48FD-E); eine Stufe unter dem 3850 (StackWise-160 statt -480). Monoton 4-achsig Port(24<48)×PoE(PoE+<Full-PoE+)×Uplink(S 4x1G < D 2x10G)×Lizenz(LAN Base<IP Base<IP Services). Vor Listung Sourcing bestätigen.",geschätzt-aus-Vergleich,24PD IP Base
WS-C3650-24PD-E,"830,00","Genuine-New-Sealed EoL ONLY (Catalyst 3650, End-of-Sale; Nachfolger Catalyst 9300): refurb/used/pulled/remanufactured HART ABGELEHNT. NICHT Cisco-Liste; geschätzt aus dem realen New-Sealed-EoL-Kanal -> Operator-Band ~€300 (24PS-L) -> ~€2.800 (48FD-E); eine Stufe unter dem 3850 (StackWise-160 statt -480). Monoton 4-achsig Port(24<48)×PoE(PoE+<Full-PoE+)×Uplink(S 4x1G < D 2x10G)×Lizenz(LAN Base<IP Base<IP Services). Vor Listung Sourcing bestätigen.",geschätzt-aus-Vergleich,24PD IP Services
WS-C3650-48PD-L,"1050,00","Genuine-New-Sealed EoL ONLY (Catalyst 3650, End-of-Sale; Nachfolger Catalyst 9300): refurb/used/pulled/remanufactured HART ABGELEHNT. NICHT Cisco-Liste; geschätzt aus dem realen New-Sealed-EoL-Kanal -> Operator-Band ~€300 (24PS-L) -> ~€2.800 (48FD-E); eine Stufe unter dem 3850 (StackWise-160 statt -480). Monoton 4-achsig Port(24<48)×PoE(PoE+<Full-PoE+)×Uplink(S 4x1G < D 2x10G)×Lizenz(LAN Base<IP Base<IP Services). Vor Listung Sourcing bestätigen.",geschätzt-aus-Vergleich,48PD LAN Base
WS-C3650-48PD-S,"1360,00","Genuine-New-Sealed EoL ONLY (Catalyst 3650, End-of-Sale; Nachfolger Catalyst 9300): refurb/used/pulled/remanufactured HART ABGELEHNT. NICHT Cisco-Liste; geschätzt aus dem realen New-Sealed-EoL-Kanal -> Operator-Band ~€300 (24PS-L) -> ~€2.800 (48FD-E); eine Stufe unter dem 3850 (StackWise-160 statt -480). Monoton 4-achsig Port(24<48)×PoE(PoE+<Full-PoE+)×Uplink(S 4x1G < D 2x10G)×Lizenz(LAN Base<IP Base<IP Services). Vor Listung Sourcing bestätigen.",geschätzt-aus-Vergleich,48PD IP Base
WS-C3650-48PD-E,"1680,00","Genuine-New-Sealed EoL ONLY (Catalyst 3650, End-of-Sale; Nachfolger Catalyst 9300): refurb/used/pulled/remanufactured HART ABGELEHNT. NICHT Cisco-Liste; geschätzt aus dem realen New-Sealed-EoL-Kanal -> Operator-Band ~€300 (24PS-L) -> ~€2.800 (48FD-E); eine Stufe unter dem 3850 (StackWise-160 statt -480). Monoton 4-achsig Port(24<48)×PoE(PoE+<Full-PoE+)×Uplink(S 4x1G < D 2x10G)×Lizenz(LAN Base<IP Base<IP Services). Vor Listung Sourcing bestätigen.",geschätzt-aus-Vergleich,48PD IP Services
WS-C3650-48FD-L,"1750,00","Genuine-New-Sealed EoL ONLY (Catalyst 3650, End-of-Sale; Nachfolger Catalyst 9300): refurb/used/pulled/remanufactured HART ABGELEHNT. NICHT Cisco-Liste; geschätzt aus dem realen New-Sealed-EoL-Kanal -> Operator-Band ~€300 (24PS-L) -> ~€2.800 (48FD-E); eine Stufe unter dem 3850 (StackWise-160 statt -480). Monoton 4-achsig Port(24<48)×PoE(PoE+<Full-PoE+)×Uplink(S 4x1G < D 2x10G)×Lizenz(LAN Base<IP Base<IP Services). Vor Listung Sourcing bestätigen.",geschätzt-aus-Vergleich,48FD LAN Base
WS-C3650-48FD-S,"2280,00","Genuine-New-Sealed EoL ONLY (Catalyst 3650, End-of-Sale; Nachfolger Catalyst 9300): refurb/used/pulled/remanufactured HART ABGELEHNT. NICHT Cisco-Liste; geschätzt aus dem realen New-Sealed-EoL-Kanal -> Operator-Band ~€300 (24PS-L) -> ~€2.800 (48FD-E); eine Stufe unter dem 3850 (StackWise-160 statt -480). Monoton 4-achsig Port(24<48)×PoE(PoE+<Full-PoE+)×Uplink(S 4x1G < D 2x10G)×Lizenz(LAN Base<IP Base<IP Services). Vor Listung Sourcing bestätigen.",geschätzt-aus-Vergleich,48FD IP Base
WS-C3650-48FD-E,"2800,00","Genuine-New-Sealed EoL ONLY (Catalyst 3650, End-of-Sale; Nachfolger Catalyst 9300): refurb/used/pulled/remanufactured HART ABGELEHNT. NICHT Cisco-Liste; geschätzt aus dem realen New-Sealed-EoL-Kanal -> Operator-Band ~€300 (24PS-L) -> ~€2.800 (48FD-E); eine Stufe unter dem 3850 (StackWise-160 statt -480). Monoton 4-achsig Port(24<48)×PoE(PoE+<Full-PoE+)×Uplink(S 4x1G < D 2x10G)×Lizenz(LAN Base<IP Base<IP Services). Vor Listung Sourcing bestätigen.",geschätzt-aus-Vergleich,48FD IP Services
