Artikelnummer,FAQ
IE-3100-4T2S-E,"Wie viele Ports hat der IE-3100-4T2S-E?||Der IE-3100-4T2S-E bietet insgesamt 6 Ports: 4× 1G-RJ45 + 2× 1G-SFP.##Welches Betriebssystem nutzt der IE-3100-4T2S-E?||Der IE-3100-4T2S-E läuft unter Cisco IOS XE mit Network-Essentials-Lizenz (perpetual) und wird über Cisco Catalyst Center und WebUI verwaltet; Catalyst Center ist optional, kein Pflicht-Abo.##Für welche Umgebung ist der IE-3100-4T2S-E ausgelegt?||Der IE-3100-4T2S-E ist lüfterlos für -40 bis 75 °C ausgelegt, wird auf der DIN-Schiene montiert und über doppelte DC-Eingänge (12–54 V DC) versorgt – mit IP30 sowie Umspannwerk-, Bahn- und Ex-Zertifizierung.##Unterstützt der IE-3100-4T2S-E Stacking?||Nein. Industrielle DIN-Schienen-Switches stapeln nicht; Ausfallsicherheit bietet der IE-3100-4T2S-E über Ringprotokolle (MRP, Fast MRP, REP, G.8032). Garantie: 5 Jahre."
IE-3100-8T2C-E,"Wie viele Ports hat der IE-3100-8T2C-E?||Der IE-3100-8T2C-E bietet insgesamt 10 Ports: 8× 1G-RJ45 + 2× 1G-Combo.##Welches Betriebssystem nutzt der IE-3100-8T2C-E?||Der IE-3100-8T2C-E läuft unter Cisco IOS XE mit Network-Essentials-Lizenz (perpetual) und wird über Cisco Catalyst Center und WebUI verwaltet; Catalyst Center ist optional, kein Pflicht-Abo.##Für welche Umgebung ist der IE-3100-8T2C-E ausgelegt?||Der IE-3100-8T2C-E ist lüfterlos für -40 bis 75 °C ausgelegt, wird auf der DIN-Schiene montiert und über doppelte DC-Eingänge (12–54 V DC) versorgt – mit IP30 sowie Umspannwerk-, Bahn- und Ex-Zertifizierung.##Unterstützt der IE-3100-8T2C-E Stacking?||Nein. Industrielle DIN-Schienen-Switches stapeln nicht; Ausfallsicherheit bietet der IE-3100-8T2C-E über Ringprotokolle (MRP, Fast MRP, REP, G.8032). Garantie: 5 Jahre."
IE-3100-8T4S-E,"Wie viele Ports hat der IE-3100-8T4S-E?||Der IE-3100-8T4S-E bietet insgesamt 12 Ports: 8× 1G-RJ45 + 4× 1G-SFP.##Welches Betriebssystem nutzt der IE-3100-8T4S-E?||Der IE-3100-8T4S-E läuft unter Cisco IOS XE mit Network-Essentials-Lizenz (perpetual) und wird über Cisco Catalyst Center und WebUI verwaltet; Catalyst Center ist optional, kein Pflicht-Abo.##Für welche Umgebung ist der IE-3100-8T4S-E ausgelegt?||Der IE-3100-8T4S-E ist lüfterlos für -40 bis 75 °C ausgelegt, wird auf der DIN-Schiene montiert und über doppelte DC-Eingänge (12–54 V DC) versorgt – mit IP30 sowie Umspannwerk-, Bahn- und Ex-Zertifizierung.##Unterstützt der IE-3100-8T4S-E Stacking?||Nein. Industrielle DIN-Schienen-Switches stapeln nicht; Ausfallsicherheit bietet der IE-3100-8T4S-E über Ringprotokolle (MRP, Fast MRP, REP, G.8032). Garantie: 5 Jahre."
IE-3100-18T2C-E,"Wie viele Ports hat der IE-3100-18T2C-E?||Der IE-3100-18T2C-E bietet insgesamt 20 Ports: 18× 1G-RJ45 + 2× 1G-Combo.##Welches Betriebssystem nutzt der IE-3100-18T2C-E?||Der IE-3100-18T2C-E läuft unter Cisco IOS XE mit Network-Essentials-Lizenz (perpetual) und wird über Cisco Catalyst Center und WebUI verwaltet; Catalyst Center ist optional, kein Pflicht-Abo.##Für welche Umgebung ist der IE-3100-18T2C-E ausgelegt?||Der IE-3100-18T2C-E ist lüfterlos für -40 bis 75 °C ausgelegt, wird auf der DIN-Schiene montiert und über doppelte DC-Eingänge (12–54 V DC) versorgt – mit IP30 sowie Umspannwerk-, Bahn- und Ex-Zertifizierung.##Unterstützt der IE-3100-18T2C-E Stacking?||Nein. Industrielle DIN-Schienen-Switches stapeln nicht; Ausfallsicherheit bietet der IE-3100-18T2C-E über Ringprotokolle (MRP, Fast MRP, REP, G.8032). Garantie: 5 Jahre."
IE-3100-18T2C-CC-E,"Wie viele Ports hat der IE-3100-18T2C-CC-E?||Der IE-3100-18T2C-CC-E bietet insgesamt 20 Ports: 18× 1G-RJ45 + 2× 1G-Combo.##Welches Betriebssystem nutzt der IE-3100-18T2C-CC-E?||Der IE-3100-18T2C-CC-E läuft unter Cisco IOS XE mit Network-Essentials-Lizenz (perpetual) und wird über Cisco Catalyst Center und WebUI verwaltet; Catalyst Center ist optional, kein Pflicht-Abo.##Für welche Umgebung ist der IE-3100-18T2C-CC-E ausgelegt?||Der IE-3100-18T2C-CC-E ist lüfterlos für -40 bis 75 °C ausgelegt, wird auf der DIN-Schiene montiert und über doppelte DC-Eingänge (12–54 V DC) versorgt – mit IP30 sowie Umspannwerk-, Bahn- und Ex-Zertifizierung.##Unterstützt der IE-3100-18T2C-CC-E Stacking?||Nein. Industrielle DIN-Schienen-Switches stapeln nicht; Ausfallsicherheit bietet der IE-3100-18T2C-CC-E über Ringprotokolle (MRP, Fast MRP, REP, G.8032). Garantie: 5 Jahre."
IE-3100-4P2S-E,"Wie viele Ports hat der IE-3100-4P2S-E?||Der IE-3100-4P2S-E bietet insgesamt 6 Ports: 4× 1G-RJ45 (PoE+) + 2× 1G-SFP.##Welches Betriebssystem nutzt der IE-3100-4P2S-E?||Der IE-3100-4P2S-E läuft unter Cisco IOS XE mit Network-Essentials-Lizenz (perpetual) und wird über Cisco Catalyst Center und WebUI verwaltet; Catalyst Center ist optional, kein Pflicht-Abo.##Welches PoE-Budget hat der IE-3100-4P2S-E?||Der IE-3100-4P2S-E liefert PoE+ (802.3at, Perpetual PoE) mit insgesamt 120 W für Kameras, Sensoren und Access-Points.##Unterstützt der IE-3100-4P2S-E Stacking?||Nein. Industrielle DIN-Schienen-Switches stapeln nicht; Ausfallsicherheit bietet der IE-3100-4P2S-E über Ringprotokolle (MRP, Fast MRP, REP, G.8032). Garantie: 5 Jahre."
IE-3100-8P2C-E,"Wie viele Ports hat der IE-3100-8P2C-E?||Der IE-3100-8P2C-E bietet insgesamt 10 Ports: 8× 1G-RJ45 (PoE+) + 2× 1G-Combo.##Welches Betriebssystem nutzt der IE-3100-8P2C-E?||Der IE-3100-8P2C-E läuft unter Cisco IOS XE mit Network-Essentials-Lizenz (perpetual) und wird über Cisco Catalyst Center und WebUI verwaltet; Catalyst Center ist optional, kein Pflicht-Abo.##Welches PoE-Budget hat der IE-3100-8P2C-E?||Der IE-3100-8P2C-E liefert PoE+ (802.3at, Perpetual PoE) mit insgesamt 240 W für Kameras, Sensoren und Access-Points.##Unterstützt der IE-3100-8P2C-E Stacking?||Nein. Industrielle DIN-Schienen-Switches stapeln nicht; Ausfallsicherheit bietet der IE-3100-8P2C-E über Ringprotokolle (MRP, Fast MRP, REP, G.8032). Garantie: 5 Jahre."
IE-3100-3P1U2S-E,"Wie viele Ports hat der IE-3100-3P1U2S-E?||Der IE-3100-3P1U2S-E bietet insgesamt 6 Ports: 3× 1G-RJ45 (PoE+) + 1× 1G-RJ45 (4PPoE 90W) + 2× 1G-SFP.##Welches Betriebssystem nutzt der IE-3100-3P1U2S-E?||Der IE-3100-3P1U2S-E läuft unter Cisco IOS XE mit Network-Essentials-Lizenz (perpetual) und wird über Cisco Catalyst Center und WebUI verwaltet; Catalyst Center ist optional, kein Pflicht-Abo.##Welches PoE-Budget hat der IE-3100-3P1U2S-E?||Der IE-3100-3P1U2S-E liefert PoE+ (802.3at, Perpetual PoE) inklusive 4PPoE/802.3bt mit bis zu 90 W mit insgesamt 120 W für Kameras, Sensoren und Access-Points.##Unterstützt der IE-3100-3P1U2S-E Stacking?||Nein. Industrielle DIN-Schienen-Switches stapeln nicht; Ausfallsicherheit bietet der IE-3100-3P1U2S-E über Ringprotokolle (MRP, Fast MRP, REP, G.8032). Garantie: 5 Jahre."
IE-3100-6P2U2C-E,"Wie viele Ports hat der IE-3100-6P2U2C-E?||Der IE-3100-6P2U2C-E bietet insgesamt 10 Ports: 6× 1G-RJ45 (PoE+) + 2× 1G-RJ45 (4PPoE 90W) + 2× 1G-Combo.##Welches Betriebssystem nutzt der IE-3100-6P2U2C-E?||Der IE-3100-6P2U2C-E läuft unter Cisco IOS XE mit Network-Essentials-Lizenz (perpetual) und wird über Cisco Catalyst Center und WebUI verwaltet; Catalyst Center ist optional, kein Pflicht-Abo.##Welches PoE-Budget hat der IE-3100-6P2U2C-E?||Der IE-3100-6P2U2C-E liefert PoE+ (802.3at, Perpetual PoE) inklusive 4PPoE/802.3bt mit bis zu 90 W mit insgesamt 240 W für Kameras, Sensoren und Access-Points.##Unterstützt der IE-3100-6P2U2C-E Stacking?||Nein. Industrielle DIN-Schienen-Switches stapeln nicht; Ausfallsicherheit bietet der IE-3100-6P2U2C-E über Ringprotokolle (MRP, Fast MRP, REP, G.8032). Garantie: 5 Jahre."
IE-3105-8T2C-E,"Wie viele Ports hat der IE-3105-8T2C-E?||Der IE-3105-8T2C-E bietet insgesamt 10 Ports: 8× 1G-RJ45 + 2× 1G-Combo.##Welches Betriebssystem nutzt der IE-3105-8T2C-E?||Der IE-3105-8T2C-E läuft unter Cisco IOS XE mit Network-Essentials-Lizenz (perpetual) und wird über Cisco Catalyst Center und WebUI verwaltet; Catalyst Center ist optional, kein Pflicht-Abo.##Für welche Umgebung ist der IE-3105-8T2C-E ausgelegt?||Der IE-3105-8T2C-E ist lüfterlos für -40 bis 75 °C ausgelegt, wird auf der DIN-Schiene montiert und über doppelte DC-Eingänge (12–54 V DC) versorgt – mit IP30 sowie Umspannwerk-, Bahn- und Ex-Zertifizierung.##Was unterscheidet den IE-3105-8T2C-E vom IE3100?||Der IE-3105-8T2C-E (Catalyst IE3105) bietet zusätzlich Layer-2-NAT (L2NAT, 1:1), um Maschinen-/Zellnetze mit überlappenden IP-Adressen an das Linien-Netz anzubinden. Stacking gibt es nicht; Ausfallsicherheit liefern Ringprotokolle (MRP/REP/G.8032). Garantie: 5 Jahre."
