Artikelnummer,FAQ
IE-2000-4TS-L,"Wie viele Ports hat der IE-2000-4TS-L?||Der IE-2000-4TS-L bietet 4× FE-RJ45 + 2× FE-SFP (Uplink) = 6 Ports (4 Zugangs-Ports plus 2 Uplink-Ports).##Welche Industrieprotokolle und Ring-Redundanz unterstützt der IE-2000-4TS-L?||Der IE-2000-4TS-L unterstützt Ring-Redundanz nach REP und PROFINET-MRP (IEC 62439-2) sowie Industrieprotokolle wie CIP/EtherNet-IP und PROFINET, dazu IEEE-1588-PTPv2. Stacking gibt es nicht – Industrie-Switches bilden Ringe statt Stacks.##Hat der IE-2000-4TS-L PoE?||Nein – der IE-2000-4TS-L ist ein reines Datenmodell ohne PoE-Einspeisung; PoE+-Varianten der IE2000-Serie sind die 16PTC-Modelle mit vier PoE+-Ports.##Läuft der IE-2000-4TS-L unter Layer 2 oder Layer 3?||Im Auslieferungszustand (LAN Lite) arbeitet der IE-2000-4TS-L als reiner Layer-2-Switch; ein optionales IP-Lite-Upgrade schaltet vollwertiges Layer 3 (OSPF, EIGRP, BGP, VRF-Lite) frei – dieselbe Hardware, nur per Lizenz."
IE-2000-4TS-B,"Wie viele Ports hat der IE-2000-4TS-B?||Der IE-2000-4TS-B bietet 4× FE-RJ45 + 2× FE-SFP (Uplink) = 6 Ports (4 Zugangs-Ports plus 2 Uplink-Ports).##Welche Industrieprotokolle und Ring-Redundanz unterstützt der IE-2000-4TS-B?||Der IE-2000-4TS-B unterstützt Ring-Redundanz nach REP und PROFINET-MRP (IEC 62439-2) sowie Industrieprotokolle wie CIP/EtherNet-IP und PROFINET, dazu IEEE-1588-PTPv2. Stacking gibt es nicht – Industrie-Switches bilden Ringe statt Stacks.##Hat der IE-2000-4TS-B PoE?||Nein – der IE-2000-4TS-B ist ein reines Datenmodell ohne PoE-Einspeisung; PoE+-Varianten der IE2000-Serie sind die 16PTC-Modelle mit vier PoE+-Ports.##Läuft der IE-2000-4TS-B unter Layer 2 oder Layer 3?||Im Auslieferungszustand (LAN Base) arbeitet der IE-2000-4TS-B als Layer-2-Switch mit statischem IPv4-Routing; ein optionales IP-Lite-Upgrade schaltet vollwertiges Layer 3 (OSPF, EIGRP, BGP, VRF-Lite) frei – dieselbe Hardware, nur per Lizenz."
IE-2000-4T-L,"Wie viele Ports hat der IE-2000-4T-L?||Der IE-2000-4T-L bietet 4× FE-RJ45 + 2× FE-RJ45 (Uplink) = 6 Ports (4 Zugangs-Ports plus 2 Uplink-Ports).##Welche Industrieprotokolle und Ring-Redundanz unterstützt der IE-2000-4T-L?||Der IE-2000-4T-L unterstützt Ring-Redundanz nach REP und PROFINET-MRP (IEC 62439-2) sowie Industrieprotokolle wie CIP/EtherNet-IP und PROFINET, dazu IEEE-1588-PTPv2. Stacking gibt es nicht – Industrie-Switches bilden Ringe statt Stacks.##Hat der IE-2000-4T-L PoE?||Nein – der IE-2000-4T-L ist ein reines Datenmodell ohne PoE-Einspeisung; PoE+-Varianten der IE2000-Serie sind die 16PTC-Modelle mit vier PoE+-Ports.##Läuft der IE-2000-4T-L unter Layer 2 oder Layer 3?||Im Auslieferungszustand (LAN Lite) arbeitet der IE-2000-4T-L als reiner Layer-2-Switch; ein optionales IP-Lite-Upgrade schaltet vollwertiges Layer 3 (OSPF, EIGRP, BGP, VRF-Lite) frei – dieselbe Hardware, nur per Lizenz."
IE-2000-4T-B,"Wie viele Ports hat der IE-2000-4T-B?||Der IE-2000-4T-B bietet 4× FE-RJ45 + 2× FE-RJ45 (Uplink) = 6 Ports (4 Zugangs-Ports plus 2 Uplink-Ports).##Welche Industrieprotokolle und Ring-Redundanz unterstützt der IE-2000-4T-B?||Der IE-2000-4T-B unterstützt Ring-Redundanz nach REP und PROFINET-MRP (IEC 62439-2) sowie Industrieprotokolle wie CIP/EtherNet-IP und PROFINET, dazu IEEE-1588-PTPv2. Stacking gibt es nicht – Industrie-Switches bilden Ringe statt Stacks.##Hat der IE-2000-4T-B PoE?||Nein – der IE-2000-4T-B ist ein reines Datenmodell ohne PoE-Einspeisung; PoE+-Varianten der IE2000-Serie sind die 16PTC-Modelle mit vier PoE+-Ports.##Läuft der IE-2000-4T-B unter Layer 2 oder Layer 3?||Im Auslieferungszustand (LAN Base) arbeitet der IE-2000-4T-B als Layer-2-Switch mit statischem IPv4-Routing; ein optionales IP-Lite-Upgrade schaltet vollwertiges Layer 3 (OSPF, EIGRP, BGP, VRF-Lite) frei – dieselbe Hardware, nur per Lizenz."
IE-2000-4TS-G-L,"Wie viele Ports hat der IE-2000-4TS-G-L?||Der IE-2000-4TS-G-L bietet 4× FE-RJ45 + 2× GE-SFP (Uplink) = 6 Ports (4 Zugangs-Ports plus 2 Uplink-Ports).##Welche Industrieprotokolle und Ring-Redundanz unterstützt der IE-2000-4TS-G-L?||Der IE-2000-4TS-G-L unterstützt Ring-Redundanz nach REP und PROFINET-MRP (IEC 62439-2) sowie Industrieprotokolle wie CIP/EtherNet-IP und PROFINET, dazu IEEE-1588-PTPv2. Stacking gibt es nicht – Industrie-Switches bilden Ringe statt Stacks.##Hat der IE-2000-4TS-G-L PoE?||Nein – der IE-2000-4TS-G-L ist ein reines Datenmodell ohne PoE-Einspeisung; PoE+-Varianten der IE2000-Serie sind die 16PTC-Modelle mit vier PoE+-Ports.##Läuft der IE-2000-4TS-G-L unter Layer 2 oder Layer 3?||Im Auslieferungszustand (LAN Lite) arbeitet der IE-2000-4TS-G-L als reiner Layer-2-Switch; ein optionales IP-Lite-Upgrade schaltet vollwertiges Layer 3 (OSPF, EIGRP, BGP, VRF-Lite) frei – dieselbe Hardware, nur per Lizenz."
IE-2000-4TS-G-B,"Wie viele Ports hat der IE-2000-4TS-G-B?||Der IE-2000-4TS-G-B bietet 4× FE-RJ45 + 2× GE-SFP (Uplink) = 6 Ports (4 Zugangs-Ports plus 2 Uplink-Ports).##Welche Industrieprotokolle und Ring-Redundanz unterstützt der IE-2000-4TS-G-B?||Der IE-2000-4TS-G-B unterstützt Ring-Redundanz nach REP und PROFINET-MRP (IEC 62439-2) sowie Industrieprotokolle wie CIP/EtherNet-IP und PROFINET, dazu IEEE-1588-PTPv2. Stacking gibt es nicht – Industrie-Switches bilden Ringe statt Stacks.##Hat der IE-2000-4TS-G-B PoE?||Nein – der IE-2000-4TS-G-B ist ein reines Datenmodell ohne PoE-Einspeisung; PoE+-Varianten der IE2000-Serie sind die 16PTC-Modelle mit vier PoE+-Ports.##Läuft der IE-2000-4TS-G-B unter Layer 2 oder Layer 3?||Im Auslieferungszustand (LAN Base) arbeitet der IE-2000-4TS-G-B als Layer-2-Switch mit statischem IPv4-Routing; ein optionales IP-Lite-Upgrade schaltet vollwertiges Layer 3 (OSPF, EIGRP, BGP, VRF-Lite) frei – dieselbe Hardware, nur per Lizenz."
IE-2000-4T-G-L,"Wie viele Ports hat der IE-2000-4T-G-L?||Der IE-2000-4T-G-L bietet 4× FE-RJ45 + 2× GE-RJ45 (Uplink) = 6 Ports (4 Zugangs-Ports plus 2 Uplink-Ports).##Welche Industrieprotokolle und Ring-Redundanz unterstützt der IE-2000-4T-G-L?||Der IE-2000-4T-G-L unterstützt Ring-Redundanz nach REP und PROFINET-MRP (IEC 62439-2) sowie Industrieprotokolle wie CIP/EtherNet-IP und PROFINET, dazu IEEE-1588-PTPv2. Stacking gibt es nicht – Industrie-Switches bilden Ringe statt Stacks.##Hat der IE-2000-4T-G-L PoE?||Nein – der IE-2000-4T-G-L ist ein reines Datenmodell ohne PoE-Einspeisung; PoE+-Varianten der IE2000-Serie sind die 16PTC-Modelle mit vier PoE+-Ports.##Läuft der IE-2000-4T-G-L unter Layer 2 oder Layer 3?||Im Auslieferungszustand (LAN Lite) arbeitet der IE-2000-4T-G-L als reiner Layer-2-Switch; ein optionales IP-Lite-Upgrade schaltet vollwertiges Layer 3 (OSPF, EIGRP, BGP, VRF-Lite) frei – dieselbe Hardware, nur per Lizenz."
IE-2000-4T-G-B,"Wie viele Ports hat der IE-2000-4T-G-B?||Der IE-2000-4T-G-B bietet 4× FE-RJ45 + 2× GE-RJ45 (Uplink) = 6 Ports (4 Zugangs-Ports plus 2 Uplink-Ports).##Welche Industrieprotokolle und Ring-Redundanz unterstützt der IE-2000-4T-G-B?||Der IE-2000-4T-G-B unterstützt Ring-Redundanz nach REP und PROFINET-MRP (IEC 62439-2) sowie Industrieprotokolle wie CIP/EtherNet-IP und PROFINET, dazu IEEE-1588-PTPv2. Stacking gibt es nicht – Industrie-Switches bilden Ringe statt Stacks.##Hat der IE-2000-4T-G-B PoE?||Nein – der IE-2000-4T-G-B ist ein reines Datenmodell ohne PoE-Einspeisung; PoE+-Varianten der IE2000-Serie sind die 16PTC-Modelle mit vier PoE+-Ports.##Läuft der IE-2000-4T-G-B unter Layer 2 oder Layer 3?||Im Auslieferungszustand (LAN Base) arbeitet der IE-2000-4T-G-B als Layer-2-Switch mit statischem IPv4-Routing; ein optionales IP-Lite-Upgrade schaltet vollwertiges Layer 3 (OSPF, EIGRP, BGP, VRF-Lite) frei – dieselbe Hardware, nur per Lizenz."
IE-2000-4S-TS-G-L,"Wie viele Ports hat der IE-2000-4S-TS-G-L?||Der IE-2000-4S-TS-G-L bietet 4× FE-SFP + 2× GE-SFP (Uplink) = 6 Ports (4 Zugangs-Ports plus 2 Uplink-Ports).##Welche Industrieprotokolle und Ring-Redundanz unterstützt der IE-2000-4S-TS-G-L?||Der IE-2000-4S-TS-G-L unterstützt Ring-Redundanz nach REP und PROFINET-MRP (IEC 62439-2) sowie Industrieprotokolle wie CIP/EtherNet-IP und PROFINET, dazu IEEE-1588-PTPv2. Stacking gibt es nicht – Industrie-Switches bilden Ringe statt Stacks.##Hat der IE-2000-4S-TS-G-L PoE?||Nein – der IE-2000-4S-TS-G-L ist ein reines Datenmodell ohne PoE-Einspeisung; PoE+-Varianten der IE2000-Serie sind die 16PTC-Modelle mit vier PoE+-Ports.##Läuft der IE-2000-4S-TS-G-L unter Layer 2 oder Layer 3?||Im Auslieferungszustand (LAN Lite) arbeitet der IE-2000-4S-TS-G-L als reiner Layer-2-Switch; ein optionales IP-Lite-Upgrade schaltet vollwertiges Layer 3 (OSPF, EIGRP, BGP, VRF-Lite) frei – dieselbe Hardware, nur per Lizenz."
IE-2000-4S-TS-G-B,"Wie viele Ports hat der IE-2000-4S-TS-G-B?||Der IE-2000-4S-TS-G-B bietet 4× FE-SFP + 2× GE-SFP (Uplink) = 6 Ports (4 Zugangs-Ports plus 2 Uplink-Ports).##Welche Industrieprotokolle und Ring-Redundanz unterstützt der IE-2000-4S-TS-G-B?||Der IE-2000-4S-TS-G-B unterstützt Ring-Redundanz nach REP und PROFINET-MRP (IEC 62439-2) sowie Industrieprotokolle wie CIP/EtherNet-IP und PROFINET, dazu IEEE-1588-PTPv2. Stacking gibt es nicht – Industrie-Switches bilden Ringe statt Stacks.##Hat der IE-2000-4S-TS-G-B PoE?||Nein – der IE-2000-4S-TS-G-B ist ein reines Datenmodell ohne PoE-Einspeisung; PoE+-Varianten der IE2000-Serie sind die 16PTC-Modelle mit vier PoE+-Ports.##Läuft der IE-2000-4S-TS-G-B unter Layer 2 oder Layer 3?||Im Auslieferungszustand (LAN Base) arbeitet der IE-2000-4S-TS-G-B als Layer-2-Switch mit statischem IPv4-Routing; ein optionales IP-Lite-Upgrade schaltet vollwertiges Layer 3 (OSPF, EIGRP, BGP, VRF-Lite) frei – dieselbe Hardware, nur per Lizenz."
