Artikelnummer;Netto-VK
IE-2000-4TS-L;500,00
IE-2000-4TS-B;600,00
IE-2000-4T-L;480,00
IE-2000-4T-B;580,00
IE-2000-4TS-G-L;560,00
IE-2000-4TS-G-B;660,00
IE-2000-4T-G-L;540,00
IE-2000-4T-G-B;640,00
IE-2000-4S-TS-G-L;640,00
IE-2000-4S-TS-G-B;740,00
IE-2000-8TC-L;620,00
IE-2000-8TC-B;720,00
IE-2000-8TC-G-L;680,00
IE-2000-8TC-G-B;780,00
IE-2000-8TC-G-E;880,00
IE-2000-8TC-G-N;980,00
IE-2000-16TC-L;820,00
IE-2000-16TC-B;920,00
IE-2000-16TC-G-L;900,00
IE-2000-16TC-G-E;1100,00
IE-2000-16TC-G-X;1250,00
IE-2000-16TC-G-N;1200,00
IE-2000-16PTC-G-L;1050,00
IE-2000-16PTC-G-E;1250,00
IE-2000-16PTC-G-NX;1450,00
