Artikelnummer,FAQ
JL658A,"Wie viele Ports hat der JL658A?||Der JL658A bietet insgesamt 28 Ports: 24× 1/10G-SFP+ + 4× SFP56 (1/10/25/50G) (Uplink).##Unterstützt der JL658A PoE?||Nein. Der JL658A ist ein Modell ohne Power over Ethernet und für reine Datenanbindung ausgelegt.##Lässt sich der JL658A stapeln (Stacking)?||Ja. Der JL658A unterstützt Aruba VSF (bis 10 Einheiten, bis 400 Gbit/s, über die SFP56-Uplinks) und lässt sich so zu einem logischen Switch zusammenfassen."
JL659A,"Wie viele Ports hat der JL659A?||Der JL659A bietet insgesamt 52 Ports: 48× HPE Smart Rate 100M/1/2.5/5G-BASE-T (Class 6 PoE, 60 W) + 4× SFP56 (1/10/25/50G) (Uplink).##Wie hoch ist das PoE-Budget des JL659A?||Der JL659A stellt IEEE 802.3af/at/bt Class 6 (60 W/Port, Budget 2.880 W) bereit und versorgt angeschlossene Geräte direkt über das Netzwerkkabel.##Lässt sich der JL659A stapeln (Stacking)?||Ja. Der JL659A unterstützt Aruba VSF (bis 10 Einheiten, bis 400 Gbit/s, über die SFP56-Uplinks) und lässt sich so zu einem logischen Switch zusammenfassen."
JL660A,"Wie viele Ports hat der JL660A?||Der JL660A bietet insgesamt 28 Ports: 24× HPE Smart Rate 100M/1/2.5/5G-BASE-T (Class 6 PoE, 60 W) + 4× SFP56 (1/10/25/50G) (Uplink).##Wie hoch ist das PoE-Budget des JL660A?||Der JL660A stellt IEEE 802.3af/at/bt Class 6 (60 W/Port, Budget 1.440 W) bereit und versorgt angeschlossene Geräte direkt über das Netzwerkkabel.##Lässt sich der JL660A stapeln (Stacking)?||Ja. Der JL660A unterstützt Aruba VSF (bis 10 Einheiten, bis 400 Gbit/s, über die SFP56-Uplinks) und lässt sich so zu einem logischen Switch zusammenfassen."
JL661A,"Wie viele Ports hat der JL661A?||Der JL661A bietet insgesamt 52 Ports: 48× 10/100/1000BASE-T (Class 4 PoE, 30 W) + 4× SFP56 (1/10/25/50G) (Uplink).##Wie hoch ist das PoE-Budget des JL661A?||Der JL661A stellt IEEE 802.3at/bt Class 4 (30 W/Port, Budget 1.440 W) bereit und versorgt angeschlossene Geräte direkt über das Netzwerkkabel.##Lässt sich der JL661A stapeln (Stacking)?||Ja. Der JL661A unterstützt Aruba VSF (bis 10 Einheiten, bis 400 Gbit/s, über die SFP56-Uplinks) und lässt sich so zu einem logischen Switch zusammenfassen."
JL662A,"Wie viele Ports hat der JL662A?||Der JL662A bietet insgesamt 28 Ports: 24× 10/100/1000BASE-T (Class 4 PoE, 30 W) + 4× SFP56 (1/10/25/50G) (Uplink).##Wie hoch ist das PoE-Budget des JL662A?||Der JL662A stellt IEEE 802.3at/bt Class 4 (30 W/Port, Budget 720 W) bereit und versorgt angeschlossene Geräte direkt über das Netzwerkkabel.##Lässt sich der JL662A stapeln (Stacking)?||Ja. Der JL662A unterstützt Aruba VSF (bis 10 Einheiten, bis 400 Gbit/s, über die SFP56-Uplinks) und lässt sich so zu einem logischen Switch zusammenfassen."
JL663A,"Wie viele Ports hat der JL663A?||Der JL663A bietet insgesamt 52 Ports: 48× 10/100/1000BASE-T (ohne PoE) + 4× SFP56 (1/10/25/50G) (Uplink).##Unterstützt der JL663A PoE?||Nein. Der JL663A ist ein Modell ohne Power over Ethernet und für reine Datenanbindung ausgelegt.##Lässt sich der JL663A stapeln (Stacking)?||Ja. Der JL663A unterstützt Aruba VSF (bis 10 Einheiten, bis 400 Gbit/s, über die SFP56-Uplinks) und lässt sich so zu einem logischen Switch zusammenfassen."
JL664A,"Wie viele Ports hat der JL664A?||Der JL664A bietet insgesamt 28 Ports: 24× 10/100/1000BASE-T (ohne PoE) + 4× SFP56 (1/10/25/50G) (Uplink).##Unterstützt der JL664A PoE?||Nein. Der JL664A ist ein Modell ohne Power over Ethernet und für reine Datenanbindung ausgelegt.##Lässt sich der JL664A stapeln (Stacking)?||Ja. Der JL664A unterstützt Aruba VSF (bis 10 Einheiten, bis 400 Gbit/s, über die SFP56-Uplinks) und lässt sich so zu einem logischen Switch zusammenfassen."
JL762A,"Wie viele Ports hat der JL762A?||Der JL762A bietet insgesamt 52 Ports: 48× 10/100/1000BASE-T (ohne PoE) + 4× SFP56 (1/10/25/50G) (Uplink).##Unterstützt der JL762A PoE?||Nein. Der JL762A ist ein Modell ohne Power over Ethernet und für reine Datenanbindung ausgelegt.##Lässt sich der JL762A stapeln (Stacking)?||Ja. Der JL762A unterstützt Aruba VSF (bis 10 Einheiten, bis 400 Gbit/s, über die SFP56-Uplinks) und lässt sich so zu einem logischen Switch zusammenfassen."
S0E91A,"Wie viele Ports hat der S0E91A?||Der S0E91A bietet insgesamt 52 Ports: 48× HPE Smart Rate 100M/1/2.5/5/10G-BASE-T (Class 8 PoE, 90 W, MACsec) + 4× QSFP28 (10/25/40/100G, MACsec) (Uplink).##Wie hoch ist das PoE-Budget des S0E91A?||Der S0E91A stellt IEEE 802.3af/at/bt Class 8 (90 W/Port, Budget 2.640 W) bereit und versorgt angeschlossene Geräte direkt über das Netzwerkkabel.##Lässt sich der S0E91A stapeln (Stacking)?||Ja. Der S0E91A unterstützt Aruba VSF (bis 10 Einheiten; QSFP-zu-SFP56-DAC für das Stacking erforderlich) und lässt sich so zu einem logischen Switch zusammenfassen."
S0X44A,"Wie viele Ports hat der S0X44A?||Der S0X44A bietet insgesamt 52 Ports: 48× HPE Smart Rate 100M/1/2.5/5/10G-BASE-T (Class 8 PoE, 90 W, MACsec) + 4× QSFP28 (10/25/40/100G, MACsec) (Uplink).##Wie hoch ist das PoE-Budget des S0X44A?||Der S0X44A stellt IEEE 802.3af/at/bt Class 8 (90 W/Port, Budget 2.640 W) bereit und versorgt angeschlossene Geräte direkt über das Netzwerkkabel.##Lässt sich der S0X44A stapeln (Stacking)?||Ja. Der S0X44A unterstützt Aruba VSF (bis 10 Einheiten; QSFP-zu-SFP56-DAC für das Stacking erforderlich) und lässt sich so zu einem logischen Switch zusammenfassen."
