Artikelnummer;Netto-VK
C1000-8T-2G-L;150,00
C1000-8T-E-2G-L;145,00
C1000-8P-2G-L;296,00
C1000-8P-E-2G-L;285,00
C1000-8FP-2G-L;390,00
C1000-8FP-E-2G-L;380,00
C1000-16T-2G-L;240,00
C1000-16T-E-2G-L;230,00
C1000-16P-2G-L;400,00
C1000-16P-E-2G-L;390,00
C1000-16FP-2G-L;560,00
C1000-24T-4G-L;580,00
C1000-24P-4G-L;760,00
C1000-24FP-4G-L;980,00
C1000-48T-4G-L;780,00
C1000-48P-4G-L;1080,00
C1000-48FP-4G-L;1450,00
C1000-24T-4X-L;720,00
C1000-24P-4X-L;920,00
C1000-24FP-4X-L;1120,00
C1000-48T-4X-L;1020,00
C1000-48P-4X-L;1380,00
C1000-48FP-4X-L;1800,00
C1000FE-24T-4G-L;420,00
C1000FE-24P-4G-L;630,00
C1000FE-48T-4G-L;640,00
C1000FE-48P-4G-L;980,00
