Artikelnummer;Überverkauf Plattform Hexwaren
C1000-8T-2G-L;TRUE
C1000-8T-E-2G-L;TRUE
C1000-8P-2G-L;TRUE
C1000-8P-E-2G-L;TRUE
C1000-8FP-2G-L;TRUE
C1000-8FP-E-2G-L;TRUE
C1000-16T-2G-L;TRUE
C1000-16T-E-2G-L;TRUE
C1000-16P-2G-L;TRUE
C1000-16P-E-2G-L;TRUE
C1000-16FP-2G-L;TRUE
C1000-24T-4G-L;TRUE
C1000-24P-4G-L;TRUE
C1000-24FP-4G-L;TRUE
C1000-48T-4G-L;TRUE
C1000-48P-4G-L;TRUE
C1000-48FP-4G-L;TRUE
C1000-24T-4X-L;TRUE
C1000-24P-4X-L;TRUE
C1000-24FP-4X-L;TRUE
C1000-48T-4X-L;TRUE
C1000-48P-4X-L;TRUE
C1000-48FP-4X-L;TRUE
C1000FE-24T-4G-L;TRUE
C1000FE-24P-4G-L;TRUE
C1000FE-48T-4G-L;TRUE
C1000FE-48P-4G-L;TRUE
