Artikelnummer;Überverkauf Plattform Hexwaren
SFP-100M-FX;TRUE
SFP-1G-SX;TRUE
SFP-1G-LX;TRUE
SFP-1G-T;TRUE
SFP-10G-T;TRUE
SFP-10G-T-LP;TRUE
SFP-10G-T-RA;TRUE
SFP28-25G-SR;TRUE
SFP28-25G-ESR;TRUE
SFP28-25G-LR;TRUE
QSFP-40G-SM4;TRUE
QSFP-40G-BIDI;TRUE
Q28-100G-SR1.2;TRUE
Q28-100G-SR4;TRUE
Q28-100G-ESR4;TRUE
Q28-100G-BIDI;TRUE
Q28-100G-SWDM4;TRUE
Q28-100G-CWDM4;TRUE
Q28-100G-LR1;TRUE
Q28-100G-LR4-Gen3;TRUE
Q28-100G-LR4-Gen4;TRUE
Q28-100G-FR;TRUE
Q28-100G-ER4-lite;TRUE
Q28-100G-PSM4-IR;TRUE
Q28-100G-PSM4-10;TRUE
Q28-100G-SR4-G2;TRUE
Q28-100G-FR-Gen3-LP;TRUE
S56DD-100G-FR;TRUE
S56DD-100G-LR;TRUE
S56DD-100G-SR1.2;TRUE
Q28DD-200G-2SR4;TRUE
Q56-200G-SR4;TRUE
400G-Q56DD-VR4;TRUE
400G-Q56DD-SR4.2-ON-Gen2;TRUE
400G-Q56DD-SR4.2-ON-Gen3;TRUE
400G-Q56-DD-SR4.2-ON-Gen4;TRUE
400G-Q56DD-SR8-Gen2;TRUE
400G-Q56DD-EDR4-Gen2;TRUE
400G-Q56DD-EDR4-Gen3;TRUE
400G-Q56DD-FR4-Gen2;TRUE
400G-Q56DD-LR4;TRUE
400G-Q56DD-LDR4;TRUE
400G-Q56DD-ZR+*;TRUE
800G-O112-2VR4;TRUE
800G-O112-2EDR4;TRUE
800G-O112-2FR4*;TRUE
800G-O112-VR8;TRUE
800G-O112-2DR4-DSPLPO;TRUE
800G-O112-EDR8;TRUE
800G-O112-DR8-LPO;TRUE
800G-O112-2DR4-LPO;TRUE
800G-O112-2VR4-DSPLPO;TRUE
DAC-SFP-10G-0.5M;TRUE
DAC-SFP-10G-1M;TRUE
DAC-SFP-10G-2M;TRUE
DAC-SFP-10G-3M;TRUE
DAC-SFP-10G-5M;TRUE
DAC-SFP-10G-7M;TRUE
AOC-SFP-10G-2M;TRUE
AOC-SFP-10G-3M;TRUE
AOC-SFP-10G-5M;TRUE
AOC-SFP-10G-10M;TRUE
AOC-SFP-10G-15M;TRUE
DAC-SFP-25G-1M;TRUE
DAC-SFP-25G-2M;TRUE
DAC-SFP-25G-2.5M;TRUE
DAC-SFP-25G-3M;TRUE
DAC-SFP-25G-5M;TRUE
AOC-SFP-25G-2M;TRUE
AOC-SFP-25G-7M;TRUE
AOC-SFP-25G-10M;TRUE
AOC-SFP-25G-20M;TRUE
DAC-QSFP-40G-0.5M;TRUE
DAC-QSFP-40G-1M;TRUE
DAC-QSFP-40G-3M;TRUE
DAC-QSFP-40G-5M;TRUE
AOC-QSFP-40G-3M;TRUE
AOC-QSFP-40G-10M;TRUE
DAC-QSFP-4SFP-10G-1M;TRUE
DAC-QSFP-4SFP-10G-3M;TRUE
DAC-QSFP-4SFP-10G-5M;TRUE
AOC-QSFP-4SFP-10G-10M;TRUE
AOC-QSFP-4SFP-10G-30M;TRUE
AOC-Q28DD-8SFP-10G-10M;TRUE
DAC-QSFP-100G-0.5M;TRUE
DAC-QSFP-100G-1M;TRUE
DAC-QSFP-100G-2M;TRUE
DAC-QSFP-100G-3M;TRUE
DAC-QSFP-100G-5M;TRUE
DAC-S56DD-Q56-SFF-100G-1M;TRUE
DAC-S56DD-Q56-SFF-100G-2M;TRUE
DAC-S56DD-Q56-SFF-100G-3M;TRUE
AOC-QSFP-100G-3M;TRUE
AOC-QSFP-100G-7M;TRUE
AOC-QSFP-100G-10M;TRUE
AOC-QSFP-100G-30M;TRUE
DAC-QSFP-4SFP28-25G-2M;TRUE
DAC-QSFP-4SFP28-25G-3M;TRUE
DAC-QSFP-4SFP28-25G-5M;TRUE
AOC-QSFP-4SFP28-25G-10M;TRUE
DAC-Q28DD-2Q28-100G-2M;TRUE
DAC-Q28DD-2Q28-100G-3M;TRUE
AOC-Q28DD-2Q28-100G-5M;TRUE
AOC-Q28DD-2Q28-100G-15M;TRUE
DAC-Q28DD-8S28-25G-2M;TRUE
DAC-Q28DD-8S28-25G-3M;TRUE
AOC-Q28DD-8S28-25G-10M;TRUE
DAC-Q28DD-200G-0.5M;TRUE
DAC-Q28DD-200G-1M;TRUE
DAC-Q28DD-200G-2M;TRUE
DAC-Q28DD-200G-3M;TRUE
AOC-Q28DD-200G-5M;TRUE
AOC-Q28DD-200G-10M;TRUE
AOC-Q28DD-200G-20M;TRUE
