Artikelnummer,FAQ
SFP-100M-FX,Ist dies ein originales Dell-Produkt?||Ja. Es handelt sich um Dell-Original-Neuware – versiegelt geliefert und für Dell-PowerSwitch-Plattformen unter SmartFabric OS10 freigegeben.##Welche Reichweite erreicht der SFP-100M-FX?||Er überbrückt Strecken von bis zu 2 km.##In welchen Systemen lässt sich das Modul einsetzen?||In Dell-PowerSwitch-Systemen mit SFP-Steckplätzen; maßgeblich ist die Dell-Kompatibilitätsmatrix.
SFP-1G-SX,Ist dies ein originales Dell-Produkt?||Ja. Es handelt sich um Dell-Original-Neuware – versiegelt geliefert und für Dell-PowerSwitch-Plattformen unter SmartFabric OS10 freigegeben.##Welche Reichweite erreicht der SFP-1G-SX?||Er überbrückt Strecken von bis zu 300 m.##In welchen Systemen lässt sich das Modul einsetzen?||In Dell-PowerSwitch-Systemen mit SFP-Steckplätzen; maßgeblich ist die Dell-Kompatibilitätsmatrix.
SFP-1G-LX,Ist dies ein originales Dell-Produkt?||Ja. Es handelt sich um Dell-Original-Neuware – versiegelt geliefert und für Dell-PowerSwitch-Plattformen unter SmartFabric OS10 freigegeben.##Welche Reichweite erreicht der SFP-1G-LX?||Er überbrückt Strecken von bis zu 10 km.##In welchen Systemen lässt sich das Modul einsetzen?||In Dell-PowerSwitch-Systemen mit SFP-Steckplätzen; maßgeblich ist die Dell-Kompatibilitätsmatrix.
SFP-1G-T,Ist dies ein originales Dell-Produkt?||Ja. Es handelt sich um Dell-Original-Neuware – versiegelt geliefert und für Dell-PowerSwitch-Plattformen unter SmartFabric OS10 freigegeben.##Welche Reichweite erreicht der SFP-1G-T?||Er überbrückt Strecken von bis zu 100 m.##In welchen Systemen lässt sich das Modul einsetzen?||In Dell-PowerSwitch-Systemen mit SFP-Steckplätzen; maßgeblich ist die Dell-Kompatibilitätsmatrix.
SFP-10G-T,Ist dies ein originales Dell-Produkt?||Ja. Es handelt sich um Dell-Original-Neuware – versiegelt geliefert und für Dell-PowerSwitch-Plattformen unter SmartFabric OS10 freigegeben.##Welche Reichweite erreicht der SFP-10G-T?||Er überbrückt Strecken von bis zu 30 m.##In welchen Systemen lässt sich das Modul einsetzen?||In Dell-PowerSwitch-Systemen mit SFP+-Steckplätzen; maßgeblich ist die Dell-Kompatibilitätsmatrix.
SFP-10G-T-LP,Ist dies ein originales Dell-Produkt?||Ja. Es handelt sich um Dell-Original-Neuware – versiegelt geliefert und für Dell-PowerSwitch-Plattformen unter SmartFabric OS10 freigegeben.##Welche Reichweite erreicht der SFP-10G-T-LP?||Er überbrückt Strecken von bis zu 30 m.##In welchen Systemen lässt sich das Modul einsetzen?||In Dell-PowerSwitch-Systemen mit SFP+-Steckplätzen; maßgeblich ist die Dell-Kompatibilitätsmatrix.
SFP-10G-T-RA,Ist dies ein originales Dell-Produkt?||Ja. Es handelt sich um Dell-Original-Neuware – versiegelt geliefert und für Dell-PowerSwitch-Plattformen unter SmartFabric OS10 freigegeben.##Welche Reichweite erreicht der SFP-10G-T-RA?||Er überbrückt Strecken von bis zu 30 m.##In welchen Systemen lässt sich das Modul einsetzen?||In Dell-PowerSwitch-Systemen mit SFP+-Steckplätzen; maßgeblich ist die Dell-Kompatibilitätsmatrix.
SFP28-25G-SR,Ist dies ein originales Dell-Produkt?||Ja. Es handelt sich um Dell-Original-Neuware – versiegelt geliefert und für Dell-PowerSwitch-Plattformen unter SmartFabric OS10 freigegeben.##Welche Reichweite erreicht der SFP28-25G-SR?||Er überbrückt Strecken von bis zu 70 m.##In welchen Systemen lässt sich das Modul einsetzen?||In Dell-PowerSwitch-Systemen mit SFP28-Steckplätzen; maßgeblich ist die Dell-Kompatibilitätsmatrix.
SFP28-25G-ESR,Ist dies ein originales Dell-Produkt?||Ja. Es handelt sich um Dell-Original-Neuware – versiegelt geliefert und für Dell-PowerSwitch-Plattformen unter SmartFabric OS10 freigegeben.##Welche Reichweite erreicht der SFP28-25G-ESR?||Er überbrückt Strecken von bis zu 200 m.##In welchen Systemen lässt sich das Modul einsetzen?||In Dell-PowerSwitch-Systemen mit SFP28-Steckplätzen; maßgeblich ist die Dell-Kompatibilitätsmatrix.
SFP28-25G-LR,Ist dies ein originales Dell-Produkt?||Ja. Es handelt sich um Dell-Original-Neuware – versiegelt geliefert und für Dell-PowerSwitch-Plattformen unter SmartFabric OS10 freigegeben.##Welche Reichweite erreicht der SFP28-25G-LR?||Er überbrückt Strecken von bis zu 10 km.##In welchen Systemen lässt sich das Modul einsetzen?||In Dell-PowerSwitch-Systemen mit SFP28-Steckplätzen; maßgeblich ist die Dell-Kompatibilitätsmatrix.
QSFP-40G-SM4,Ist dies ein originales Dell-Produkt?||Ja. Es handelt sich um Dell-Original-Neuware – versiegelt geliefert und für Dell-PowerSwitch-Plattformen unter SmartFabric OS10 freigegeben.##Welche Reichweite erreicht der QSFP-40G-SM4?||Er überbrückt Strecken von bis zu 10 km.##In welchen Systemen lässt sich das Modul einsetzen?||In Dell-PowerSwitch-Systemen mit QSFP+-Steckplätzen; maßgeblich ist die Dell-Kompatibilitätsmatrix.
QSFP-40G-BIDI,Ist dies ein originales Dell-Produkt?||Ja. Es handelt sich um Dell-Original-Neuware – versiegelt geliefert und für Dell-PowerSwitch-Plattformen unter SmartFabric OS10 freigegeben.##Welche Reichweite erreicht der QSFP-40G-BIDI?||Er überbrückt Strecken von bis zu 100 m.##In welchen Systemen lässt sich das Modul einsetzen?||In Dell-PowerSwitch-Systemen mit QSFP+-Steckplätzen; maßgeblich ist die Dell-Kompatibilitätsmatrix.
Q28-100G-SR1.2,Ist dies ein originales Dell-Produkt?||Ja. Es handelt sich um Dell-Original-Neuware – versiegelt geliefert und für Dell-PowerSwitch-Plattformen unter SmartFabric OS10 freigegeben.##Welche Reichweite erreicht der Q28-100G-SR1.2?||Er überbrückt Strecken von bis zu 70 m.##In welchen Systemen lässt sich das Modul einsetzen?||In Dell-PowerSwitch-Systemen mit QSFP28-Steckplätzen; maßgeblich ist die Dell-Kompatibilitätsmatrix.
