Artikelnummer,FAQ
JL700C,"Wie viele Ports hat der JL700C?||Der JL700C bietet insgesamt 36 Ports: 32× 1/10/25G-SFP28 + 4× 40/100G-QSFP28 (Uplink).##Unterstützt der JL700C PoE?||Nein. Der JL700C ist ein Modell ohne Power over Ethernet und für reine Datenanbindung ausgelegt.##Lässt sich der JL700C redundant koppeln (VSX)?||Ja. Über Aruba VSX (Virtual Switching Extension) bilden zwei JL700C ein aktiv-aktives Hochverfügbarkeitspaar mit synchronisiertem Forwarding-Zustand und Multi-Chassis-LAG.##Wodurch unterscheidet sich der JL700C?||Der JL700C: Kühlung: 3 feldaustauschbare Hot-Swap-Lüfter (Airflow front-to-back); Stromversorgung: 2 feldaustauschbare Hot-Swap-Netzteile (N+1, im Bundle); AC 100–240 V; Betriebstemperatur: 0 bis 45 °C."
JL701C,"Wie viele Ports hat der JL701C?||Der JL701C bietet insgesamt 36 Ports: 32× 1/10/25G-SFP28 + 4× 40/100G-QSFP28 (Uplink).##Unterstützt der JL701C PoE?||Nein. Der JL701C ist ein Modell ohne Power over Ethernet und für reine Datenanbindung ausgelegt.##Lässt sich der JL701C redundant koppeln (VSX)?||Ja. Über Aruba VSX (Virtual Switching Extension) bilden zwei JL701C ein aktiv-aktives Hochverfügbarkeitspaar mit synchronisiertem Forwarding-Zustand und Multi-Chassis-LAG.##Wodurch unterscheidet sich der JL701C?||Der JL701C: Kühlung: 3 feldaustauschbare Hot-Swap-Lüfter (Airflow back-to-front); Stromversorgung: 2 feldaustauschbare Hot-Swap-Netzteile (N+1, im Bundle); AC 100–240 V; Betriebstemperatur: 0 bis 40 °C."
JL717C,"Wie viele Ports hat der JL717C?||Der JL717C bietet insgesamt 36 Ports: 32× 1/10/25G-SFP28 + 4× 40/100G-QSFP28 (Uplink).##Unterstützt der JL717C PoE?||Nein. Der JL717C ist ein Modell ohne Power over Ethernet und für reine Datenanbindung ausgelegt.##Lässt sich der JL717C redundant koppeln (VSX)?||Ja. Über Aruba VSX (Virtual Switching Extension) bilden zwei JL717C ein aktiv-aktives Hochverfügbarkeitspaar mit synchronisiertem Forwarding-Zustand und Multi-Chassis-LAG.##Wodurch unterscheidet sich der JL717C?||Der JL717C: Kühlung: Feldaustauschbare Hot-Swap-Lüfter, separat bestellt (Airflow konfigurierbar (front-to-back oder back-to-front)); Stromversorgung: Feldaustauschbare Hot-Swap-Netzteile, separat bestellt (bis 2, N+1); AC; Betriebstemperatur: 0 bis 45 °C (Front-to-Back) bzw. 0 bis 40 °C (Back-to-Front)."
JL702C,"Wie viele Ports hat der JL702C?||Der JL702C bietet insgesamt 18 Ports: 16× 1/10/25G-SFP28 + 2× 40/100G-QSFP28 (Uplink).##Unterstützt der JL702C PoE?||Nein. Der JL702C ist ein Modell ohne Power over Ethernet und für reine Datenanbindung ausgelegt.##Lässt sich der JL702C redundant koppeln (VSX)?||Ja. Über Aruba VSX (Virtual Switching Extension) bilden zwei JL702C ein aktiv-aktives Hochverfügbarkeitspaar mit synchronisiertem Forwarding-Zustand und Multi-Chassis-LAG.##Wodurch unterscheidet sich der JL702C?||Der JL702C: Kühlung: 3 feldaustauschbare Hot-Swap-Lüfter (Airflow front-to-back); Stromversorgung: 2 feldaustauschbare Hot-Swap-Netzteile (N+1, im Bundle); AC 100–240 V; Betriebstemperatur: 0 bis 45 °C."
JL703C,"Wie viele Ports hat der JL703C?||Der JL703C bietet insgesamt 18 Ports: 16× 1/10/25G-SFP28 + 2× 40/100G-QSFP28 (Uplink).##Unterstützt der JL703C PoE?||Nein. Der JL703C ist ein Modell ohne Power over Ethernet und für reine Datenanbindung ausgelegt.##Lässt sich der JL703C redundant koppeln (VSX)?||Ja. Über Aruba VSX (Virtual Switching Extension) bilden zwei JL703C ein aktiv-aktives Hochverfügbarkeitspaar mit synchronisiertem Forwarding-Zustand und Multi-Chassis-LAG.##Wodurch unterscheidet sich der JL703C?||Der JL703C: Kühlung: 3 feldaustauschbare Hot-Swap-Lüfter (Airflow back-to-front); Stromversorgung: 2 feldaustauschbare Hot-Swap-Netzteile (N+1, im Bundle); AC 100–240 V; Betriebstemperatur: 0 bis 40 °C."
JL718C,"Wie viele Ports hat der JL718C?||Der JL718C bietet insgesamt 18 Ports: 16× 1/10/25G-SFP28 + 2× 40/100G-QSFP28 (Uplink).##Unterstützt der JL718C PoE?||Nein. Der JL718C ist ein Modell ohne Power over Ethernet und für reine Datenanbindung ausgelegt.##Lässt sich der JL718C redundant koppeln (VSX)?||Ja. Über Aruba VSX (Virtual Switching Extension) bilden zwei JL718C ein aktiv-aktives Hochverfügbarkeitspaar mit synchronisiertem Forwarding-Zustand und Multi-Chassis-LAG.##Wodurch unterscheidet sich der JL718C?||Der JL718C: Kühlung: Feldaustauschbare Hot-Swap-Lüfter, separat bestellt (Airflow konfigurierbar (front-to-back oder back-to-front)); Stromversorgung: Feldaustauschbare Hot-Swap-Netzteile, separat bestellt (bis 2, N+1); AC; Betriebstemperatur: 0 bis 45 °C (Front-to-Back) bzw. 0 bis 40 °C (Back-to-Front)."
JL704C,"Wie viele Ports hat der JL704C?||Der JL704C bietet insgesamt 54 Ports: 48× 1/10/25G-SFP28 + 6× 40/100G-QSFP28 (Uplink).##Unterstützt der JL704C PoE?||Nein. Der JL704C ist ein Modell ohne Power over Ethernet und für reine Datenanbindung ausgelegt.##Lässt sich der JL704C redundant koppeln (VSX)?||Ja. Über Aruba VSX (Virtual Switching Extension) bilden zwei JL704C ein aktiv-aktives Hochverfügbarkeitspaar mit synchronisiertem Forwarding-Zustand und Multi-Chassis-LAG.##Wodurch unterscheidet sich der JL704C?||Der JL704C: Kühlung: 5 feldaustauschbare Hot-Swap-Lüfter (Airflow front-to-back); Stromversorgung: 2 feldaustauschbare Hot-Swap-Netzteile (N+1, im Bundle); AC 100–240 V; Betriebstemperatur: 0 bis 45 °C."
JL705C,"Wie viele Ports hat der JL705C?||Der JL705C bietet insgesamt 54 Ports: 48× 1/10/25G-SFP28 + 6× 40/100G-QSFP28 (Uplink).##Unterstützt der JL705C PoE?||Nein. Der JL705C ist ein Modell ohne Power over Ethernet und für reine Datenanbindung ausgelegt.##Lässt sich der JL705C redundant koppeln (VSX)?||Ja. Über Aruba VSX (Virtual Switching Extension) bilden zwei JL705C ein aktiv-aktives Hochverfügbarkeitspaar mit synchronisiertem Forwarding-Zustand und Multi-Chassis-LAG.##Wodurch unterscheidet sich der JL705C?||Der JL705C: Kühlung: 5 feldaustauschbare Hot-Swap-Lüfter (Airflow back-to-front); Stromversorgung: 2 feldaustauschbare Hot-Swap-Netzteile (N+1, im Bundle); AC 100–240 V; Betriebstemperatur: 0 bis 40 °C."
JL719C,"Wie viele Ports hat der JL719C?||Der JL719C bietet insgesamt 54 Ports: 48× 1/10/25G-SFP28 + 6× 40/100G-QSFP28 (Uplink).##Unterstützt der JL719C PoE?||Nein. Der JL719C ist ein Modell ohne Power over Ethernet und für reine Datenanbindung ausgelegt.##Lässt sich der JL719C redundant koppeln (VSX)?||Ja. Über Aruba VSX (Virtual Switching Extension) bilden zwei JL719C ein aktiv-aktives Hochverfügbarkeitspaar mit synchronisiertem Forwarding-Zustand und Multi-Chassis-LAG.##Wodurch unterscheidet sich der JL719C?||Der JL719C: Kühlung: Feldaustauschbare Hot-Swap-Lüfter, separat bestellt (Airflow konfigurierbar (front-to-back oder back-to-front)); Stromversorgung: Feldaustauschbare Hot-Swap-Netzteile, separat bestellt (bis 2, N+1); AC; Betriebstemperatur: 0 bis 45 °C (Front-to-Back) bzw. 0 bis 40 °C (Back-to-Front)."
JL706C,"Wie viele Ports hat der JL706C?||Der JL706C bietet insgesamt 52 Ports: 48× 100M/1/2.5/5/10G-BASE-T (Smart Rate, Kupfer) + 4× 40/100G-QSFP28 (Uplink).##Unterstützt der JL706C PoE?||Nein. Der JL706C ist ein Modell ohne Power over Ethernet und für reine Datenanbindung ausgelegt.##Lässt sich der JL706C redundant koppeln (VSX)?||Ja. Über Aruba VSX (Virtual Switching Extension) bilden zwei JL706C ein aktiv-aktives Hochverfügbarkeitspaar mit synchronisiertem Forwarding-Zustand und Multi-Chassis-LAG.##Wodurch unterscheidet sich der JL706C?||Der JL706C: Kühlung: 3 feldaustauschbare Hot-Swap-Lüfter (Airflow front-to-back); Stromversorgung: 2 feldaustauschbare Hot-Swap-Netzteile (N+1, im Bundle); AC 100–240 V; Betriebstemperatur: 0 bis 45 °C."
