Artikelnummer;Netto-VK
C9200-24T;1400,00
C9200-24P;2200,00
C9200-24PB;2200,00
C9200-24PXG;3200,00
C9200-48T;2100,00
C9200-48P;3500,00
C9200-48PL;3000,00
C9200-48PB;3500,00
C9200-48PXG;4500,00
C9200L-24T-4G;1000,00
C9200L-24P-4G;1500,00
C9200L-48T-4G;1500,00
C9200L-48P-4G;2400,00
C9200L-48PL-4G;2000,00
C9200L-24T-4X;1200,00
C9200L-24P-4X;1700,00
C9200L-48T-4X;1700,00
C9200L-48P-4X;2600,00
C9200L-48PL-4X;2200,00
C9200L-24PXG-4X;2600,00
C9200L-48PXG-4X;3500,00
C9200L-24PXG-2Y;2800,00
C9200L-48PXG-2Y;3700,00
C9200CX-12T-2X2G;1400,00
C9200CX-12P-2X2G;2000,00
C9200CX-8P-2X2G;1600,00
C9200CX-8UXG-2X;2400,00
C9200CX-12P-2XGH;2200,00
C9200CX-8P-2XGH;1800,00
C9200CX-8UXG-2XH;2600,00
C9200CX-8PT-2G;1500,00
