Artikelnummer;Netto-VK
VS-S720-10G-3C;400,00
VS-S720-10G-3CXL;600,00
VS-S2T-10G;800,00
VS-S2T-10G-XL;1200,00
C6800-SUP6T;2500,00
C6800-SUP6T-XL;3500,00
WS-X6748-GE-TX;300,00
WS-X6748-SFP;350,00
WS-X6848-TX-2T;500,00
WS-X6848-TX-2TXL;700,00
WS-X6848-SFP-2T;600,00
WS-X6848-SFP-2TXL;800,00
WS-X6816-10G-2T;800,00
WS-X6816-10G-2TXL;1100,00
WS-X6908-10G-2T;1200,00
WS-X6908-10G-2TXL;1600,00
WS-X6904-40G-2T;2000,00
WS-X6904-40G-2TXL;2600,00
WS-X6824-SFP-2T;400,00
C6800-32P10G;1500,00
C6800-32P10G-XL;2000,00
C6800-16P10G;900,00
C6800-16P10G-XL;1200,00
C6800-8P10G;700,00
C6800-8P10G-XL;950,00
C6800-48P-TX;600,00
C6800-48P-TX-XL;800,00
C6800-48P-SFP;700,00
C6800-48P-SFP-XL;950,00
