Artikelnummer;Netto-VK
WS-C3560X-24T-L;350,00
WS-C3560X-24T-S;460,00
WS-C3560X-24T-E;600,00
WS-C3560X-48T-L;520,00
WS-C3560X-48T-S;680,00
WS-C3560X-48T-E;880,00
WS-C3560X-24P-L;600,00
WS-C3560X-24P-S;780,00
WS-C3560X-24P-E;1020,00
WS-C3560X-48P-L;850,00
WS-C3560X-48P-S;1100,00
WS-C3560X-48P-E;1440,00
WS-C3560X-48PF-L;1050,00
WS-C3560X-48PF-S;1360,00
WS-C3560X-48PF-E;1780,00
WS-C3560X-24U-L;820,00
WS-C3560X-24U-S;1070,00
WS-C3560X-24U-E;1390,00
WS-C3560X-48U-L;1470,00
WS-C3560X-48U-S;1910,00
WS-C3560X-48U-E;2500,00
