Artikelnummer,FAQ
WS-C3560X-24T-L,"Wie viele Ports hat der WS-C3560X-24T-L?||Der WS-C3560X-24T-L bietet 24× 10/100/1000-Ports plus einen modularen Uplink-Slot (optionales C3KX-NM-Modul, z. B. 2× 10G-SFP+); im Auslieferungszustand ohne Uplink-Modul.##Welches Betriebssystem nutzt der WS-C3560X-24T-L und ist er stapelbar?||Der WS-C3560X-24T-L läuft unter Cisco IOS (LAN Base) und wird per CLI verwaltet. Er ist ein eigenständiger Switch ohne Stacking; die stapelbare Schwesterserie ist die Catalyst 3750-X.##Hat der WS-C3560X-24T-L PoE?||Nein, der WS-C3560X-24T-L ist ein Datenmodell ohne PoE-Einspeisung; PoE+-/UPOE-Varianten sind die P-/PF-/U-Modelle der 3560-X-Serie.##Routet der WS-C3560X-24T-L (LAN Base)?||Der WS-C3560X-24T-L ist mit LAN Base ein reiner Layer-2-Switch (ausgereiftes Layer-2-Switching (VLANs, QoS, EtherChannel), kein dynamisches Routing). Für Routed Access am Edge gibt es dieselbe Hardware als IP-Base- (-S) oder IP-Services- (-E) Variante."
WS-C3560X-24T-S,"Wie viele Ports hat der WS-C3560X-24T-S?||Der WS-C3560X-24T-S bietet 24× 10/100/1000-Ports plus einen modularen Uplink-Slot (optionales C3KX-NM-Modul, z. B. 2× 10G-SFP+); im Auslieferungszustand ohne Uplink-Modul.##Welches Betriebssystem nutzt der WS-C3560X-24T-S und ist er stapelbar?||Der WS-C3560X-24T-S läuft unter Cisco IOS (IP Base) und wird per CLI verwaltet. Er ist ein eigenständiger Switch ohne Stacking; die stapelbare Schwesterserie ist die Catalyst 3750-X.##Hat der WS-C3560X-24T-S PoE?||Nein, der WS-C3560X-24T-S ist ein Datenmodell ohne PoE-Einspeisung; PoE+-/UPOE-Varianten sind die P-/PF-/U-Modelle der 3560-X-Serie.##Was leistet die IP Base-Lizenz des WS-C3560X-24T-S?||Der WS-C3560X-24T-S ist ein Layer-3-Switch: die IP Base-Lizenz schaltet Routed Access (statisches Routing, RIP, EIGRP Stub, OSPF for Routed Access) frei. Die Hardware ist identisch zur LAN-Base-Variante; nur die Lizenz unterscheidet sich."
WS-C3560X-24T-E,"Wie viele Ports hat der WS-C3560X-24T-E?||Der WS-C3560X-24T-E bietet 24× 10/100/1000-Ports plus einen modularen Uplink-Slot (optionales C3KX-NM-Modul, z. B. 2× 10G-SFP+); im Auslieferungszustand ohne Uplink-Modul.##Welches Betriebssystem nutzt der WS-C3560X-24T-E und ist er stapelbar?||Der WS-C3560X-24T-E läuft unter Cisco IOS (IP Services) und wird per CLI verwaltet. Er ist ein eigenständiger Switch ohne Stacking; die stapelbare Schwesterserie ist die Catalyst 3750-X.##Hat der WS-C3560X-24T-E PoE?||Nein, der WS-C3560X-24T-E ist ein Datenmodell ohne PoE-Einspeisung; PoE+-/UPOE-Varianten sind die P-/PF-/U-Modelle der 3560-X-Serie.##Was leistet die IP Services-Lizenz des WS-C3560X-24T-E?||Der WS-C3560X-24T-E ist ein Layer-3-Switch: die IP Services-Lizenz schaltet volles dynamisches Routing (OSPF, EIGRP, BGP, IS-IS, PBR, VRF-Lite, IPv6/OSPFv3) frei. Die Hardware ist identisch zur LAN-Base-Variante; nur die Lizenz unterscheidet sich."
WS-C3560X-48T-L,"Wie viele Ports hat der WS-C3560X-48T-L?||Der WS-C3560X-48T-L bietet 48× 10/100/1000-Ports plus einen modularen Uplink-Slot (optionales C3KX-NM-Modul, z. B. 2× 10G-SFP+); im Auslieferungszustand ohne Uplink-Modul.##Welches Betriebssystem nutzt der WS-C3560X-48T-L und ist er stapelbar?||Der WS-C3560X-48T-L läuft unter Cisco IOS (LAN Base) und wird per CLI verwaltet. Er ist ein eigenständiger Switch ohne Stacking; die stapelbare Schwesterserie ist die Catalyst 3750-X.##Hat der WS-C3560X-48T-L PoE?||Nein, der WS-C3560X-48T-L ist ein Datenmodell ohne PoE-Einspeisung; PoE+-/UPOE-Varianten sind die P-/PF-/U-Modelle der 3560-X-Serie.##Routet der WS-C3560X-48T-L (LAN Base)?||Der WS-C3560X-48T-L ist mit LAN Base ein reiner Layer-2-Switch (ausgereiftes Layer-2-Switching (VLANs, QoS, EtherChannel), kein dynamisches Routing). Für Routed Access am Edge gibt es dieselbe Hardware als IP-Base- (-S) oder IP-Services- (-E) Variante."
WS-C3560X-48T-S,"Wie viele Ports hat der WS-C3560X-48T-S?||Der WS-C3560X-48T-S bietet 48× 10/100/1000-Ports plus einen modularen Uplink-Slot (optionales C3KX-NM-Modul, z. B. 2× 10G-SFP+); im Auslieferungszustand ohne Uplink-Modul.##Welches Betriebssystem nutzt der WS-C3560X-48T-S und ist er stapelbar?||Der WS-C3560X-48T-S läuft unter Cisco IOS (IP Base) und wird per CLI verwaltet. Er ist ein eigenständiger Switch ohne Stacking; die stapelbare Schwesterserie ist die Catalyst 3750-X.##Hat der WS-C3560X-48T-S PoE?||Nein, der WS-C3560X-48T-S ist ein Datenmodell ohne PoE-Einspeisung; PoE+-/UPOE-Varianten sind die P-/PF-/U-Modelle der 3560-X-Serie.##Was leistet die IP Base-Lizenz des WS-C3560X-48T-S?||Der WS-C3560X-48T-S ist ein Layer-3-Switch: die IP Base-Lizenz schaltet Routed Access (statisches Routing, RIP, EIGRP Stub, OSPF for Routed Access) frei. Die Hardware ist identisch zur LAN-Base-Variante; nur die Lizenz unterscheidet sich."
WS-C3560X-48T-E,"Wie viele Ports hat der WS-C3560X-48T-E?||Der WS-C3560X-48T-E bietet 48× 10/100/1000-Ports plus einen modularen Uplink-Slot (optionales C3KX-NM-Modul, z. B. 2× 10G-SFP+); im Auslieferungszustand ohne Uplink-Modul.##Welches Betriebssystem nutzt der WS-C3560X-48T-E und ist er stapelbar?||Der WS-C3560X-48T-E läuft unter Cisco IOS (IP Services) und wird per CLI verwaltet. Er ist ein eigenständiger Switch ohne Stacking; die stapelbare Schwesterserie ist die Catalyst 3750-X.##Hat der WS-C3560X-48T-E PoE?||Nein, der WS-C3560X-48T-E ist ein Datenmodell ohne PoE-Einspeisung; PoE+-/UPOE-Varianten sind die P-/PF-/U-Modelle der 3560-X-Serie.##Was leistet die IP Services-Lizenz des WS-C3560X-48T-E?||Der WS-C3560X-48T-E ist ein Layer-3-Switch: die IP Services-Lizenz schaltet volles dynamisches Routing (OSPF, EIGRP, BGP, IS-IS, PBR, VRF-Lite, IPv6/OSPFv3) frei. Die Hardware ist identisch zur LAN-Base-Variante; nur die Lizenz unterscheidet sich."
WS-C3560X-24P-L,"Wie viele Ports hat der WS-C3560X-24P-L?||Der WS-C3560X-24P-L bietet 24× 10/100/1000-Ports plus einen modularen Uplink-Slot (optionales C3KX-NM-Modul, z. B. 2× 10G-SFP+); im Auslieferungszustand ohne Uplink-Modul.##Welches Betriebssystem nutzt der WS-C3560X-24P-L und ist er stapelbar?||Der WS-C3560X-24P-L läuft unter Cisco IOS (LAN Base) und wird per CLI verwaltet. Er ist ein eigenständiger Switch ohne Stacking; die stapelbare Schwesterserie ist die Catalyst 3750-X.##Welches PoE-Budget hat der WS-C3560X-24P-L?||Der WS-C3560X-24P-L liefert PoE+ nach IEEE 802.3at (bis 30 W/Port) mit insgesamt 435 W für IP-Telefone, WLAN-APs und Kameras.##Routet der WS-C3560X-24P-L (LAN Base)?||Der WS-C3560X-24P-L ist mit LAN Base ein reiner Layer-2-Switch (ausgereiftes Layer-2-Switching (VLANs, QoS, EtherChannel), kein dynamisches Routing). Für Routed Access am Edge gibt es dieselbe Hardware als IP-Base- (-S) oder IP-Services- (-E) Variante."
WS-C3560X-24P-S,"Wie viele Ports hat der WS-C3560X-24P-S?||Der WS-C3560X-24P-S bietet 24× 10/100/1000-Ports plus einen modularen Uplink-Slot (optionales C3KX-NM-Modul, z. B. 2× 10G-SFP+); im Auslieferungszustand ohne Uplink-Modul.##Welches Betriebssystem nutzt der WS-C3560X-24P-S und ist er stapelbar?||Der WS-C3560X-24P-S läuft unter Cisco IOS (IP Base) und wird per CLI verwaltet. Er ist ein eigenständiger Switch ohne Stacking; die stapelbare Schwesterserie ist die Catalyst 3750-X.##Welches PoE-Budget hat der WS-C3560X-24P-S?||Der WS-C3560X-24P-S liefert PoE+ nach IEEE 802.3at (bis 30 W/Port) mit insgesamt 435 W für IP-Telefone, WLAN-APs und Kameras.##Was leistet die IP Base-Lizenz des WS-C3560X-24P-S?||Der WS-C3560X-24P-S ist ein Layer-3-Switch: die IP Base-Lizenz schaltet Routed Access (statisches Routing, RIP, EIGRP Stub, OSPF for Routed Access) frei. Die Hardware ist identisch zur LAN-Base-Variante; nur die Lizenz unterscheidet sich."
WS-C3560X-24P-E,"Wie viele Ports hat der WS-C3560X-24P-E?||Der WS-C3560X-24P-E bietet 24× 10/100/1000-Ports plus einen modularen Uplink-Slot (optionales C3KX-NM-Modul, z. B. 2× 10G-SFP+); im Auslieferungszustand ohne Uplink-Modul.##Welches Betriebssystem nutzt der WS-C3560X-24P-E und ist er stapelbar?||Der WS-C3560X-24P-E läuft unter Cisco IOS (IP Services) und wird per CLI verwaltet. Er ist ein eigenständiger Switch ohne Stacking; die stapelbare Schwesterserie ist die Catalyst 3750-X.##Welches PoE-Budget hat der WS-C3560X-24P-E?||Der WS-C3560X-24P-E liefert PoE+ nach IEEE 802.3at (bis 30 W/Port) mit insgesamt 435 W für IP-Telefone, WLAN-APs und Kameras.##Was leistet die IP Services-Lizenz des WS-C3560X-24P-E?||Der WS-C3560X-24P-E ist ein Layer-3-Switch: die IP Services-Lizenz schaltet volles dynamisches Routing (OSPF, EIGRP, BGP, IS-IS, PBR, VRF-Lite, IPv6/OSPFv3) frei. Die Hardware ist identisch zur LAN-Base-Variante; nur die Lizenz unterscheidet sich."
WS-C3560X-48P-L,"Wie viele Ports hat der WS-C3560X-48P-L?||Der WS-C3560X-48P-L bietet 48× 10/100/1000-Ports plus einen modularen Uplink-Slot (optionales C3KX-NM-Modul, z. B. 2× 10G-SFP+); im Auslieferungszustand ohne Uplink-Modul.##Welches Betriebssystem nutzt der WS-C3560X-48P-L und ist er stapelbar?||Der WS-C3560X-48P-L läuft unter Cisco IOS (LAN Base) und wird per CLI verwaltet. Er ist ein eigenständiger Switch ohne Stacking; die stapelbare Schwesterserie ist die Catalyst 3750-X.##Welches PoE-Budget hat der WS-C3560X-48P-L?||Der WS-C3560X-48P-L liefert PoE+ nach IEEE 802.3at (bis 30 W/Port) mit insgesamt 435 W für IP-Telefone, WLAN-APs und Kameras.##Routet der WS-C3560X-48P-L (LAN Base)?||Der WS-C3560X-48P-L ist mit LAN Base ein reiner Layer-2-Switch (ausgereiftes Layer-2-Switching (VLANs, QoS, EtherChannel), kein dynamisches Routing). Für Routed Access am Edge gibt es dieselbe Hardware als IP-Base- (-S) oder IP-Services- (-E) Variante."
