Artikelnummer,FAQ
C9500-16X,"Wie viele Ports hat der C9500-16X?||Der C9500-16X bietet insgesamt 16 native Ports: 16× 1/10G-SFP/SFP+.##Unterstützt der C9500-16X PoE?||Nein. Der C9500-16X ist ein Core-/Aggregations-Switch mit Glasfaser-Ports und bietet keine PoE-Speisung; PoE-Endgeräte werden über nachgelagerte Access-Switches versorgt.##Lässt sich der C9500-16X redundant koppeln?||Ja. Der C9500-16X unterstützt StackWise Virtual (2 Knoten) – zwei Geräte bilden über StackWise Virtual einen logischen Switch mit SSO/ISSU und Multichassis-EtherChannel."
C9500-32C,"Wie viele Ports hat der C9500-32C?||Der C9500-32C bietet insgesamt 32 native Ports: 32× 40/100G-QSFP28.##Unterstützt der C9500-32C PoE?||Nein. Der C9500-32C ist ein Core-/Aggregations-Switch mit Glasfaser-Ports und bietet keine PoE-Speisung; PoE-Endgeräte werden über nachgelagerte Access-Switches versorgt.##Lässt sich der C9500-32C redundant koppeln?||Ja. Der C9500-32C unterstützt StackWise Virtual (2 Knoten) – zwei Geräte bilden über StackWise Virtual einen logischen Switch mit SSO/ISSU und Multichassis-EtherChannel."
C9500-32QC,"Wie viele Ports hat der C9500-32QC?||Der C9500-32QC bietet insgesamt 32 native Ports: 32× 40G-QSFP+.##Unterstützt der C9500-32QC PoE?||Nein. Der C9500-32QC ist ein Core-/Aggregations-Switch mit Glasfaser-Ports und bietet keine PoE-Speisung; PoE-Endgeräte werden über nachgelagerte Access-Switches versorgt.##Lässt sich der C9500-32QC redundant koppeln?||Ja. Der C9500-32QC unterstützt StackWise Virtual (2 Knoten) – zwei Geräte bilden über StackWise Virtual einen logischen Switch mit SSO/ISSU und Multichassis-EtherChannel."
C9500-48Y4C,"Wie viele Ports hat der C9500-48Y4C?||Der C9500-48Y4C bietet insgesamt 52 native Ports: 48× 1/10/25G-SFP28 + 4× 40/100G-QSFP28.##Unterstützt der C9500-48Y4C PoE?||Nein. Der C9500-48Y4C ist ein Core-/Aggregations-Switch mit Glasfaser-Ports und bietet keine PoE-Speisung; PoE-Endgeräte werden über nachgelagerte Access-Switches versorgt.##Lässt sich der C9500-48Y4C redundant koppeln?||Ja. Der C9500-48Y4C unterstützt StackWise Virtual (2 Knoten) – zwei Geräte bilden über StackWise Virtual einen logischen Switch mit SSO/ISSU und Multichassis-EtherChannel."
C9500-24Y4C,"Wie viele Ports hat der C9500-24Y4C?||Der C9500-24Y4C bietet insgesamt 28 native Ports: 24× 1/10/25G-SFP28 + 4× 40/100G-QSFP28.##Unterstützt der C9500-24Y4C PoE?||Nein. Der C9500-24Y4C ist ein Core-/Aggregations-Switch mit Glasfaser-Ports und bietet keine PoE-Speisung; PoE-Endgeräte werden über nachgelagerte Access-Switches versorgt.##Lässt sich der C9500-24Y4C redundant koppeln?||Ja. Der C9500-24Y4C unterstützt StackWise Virtual (2 Knoten) – zwei Geräte bilden über StackWise Virtual einen logischen Switch mit SSO/ISSU und Multichassis-EtherChannel."
C9500X-28C8D,"Wie viele Ports hat der C9500X-28C8D?||Der C9500X-28C8D bietet insgesamt 36 native Ports: 28× 40/100G-QSFP28 + 8× 40/100/200/400G-QSFP-DD.##Unterstützt der C9500X-28C8D PoE?||Nein. Der C9500X-28C8D ist ein Core-/Aggregations-Switch mit Glasfaser-Ports und bietet keine PoE-Speisung; PoE-Endgeräte werden über nachgelagerte Access-Switches versorgt.##Lässt sich der C9500X-28C8D redundant koppeln?||Ja. Der C9500X-28C8D unterstützt StackWise Virtual (2 Knoten) – zwei Geräte bilden über StackWise Virtual einen logischen Switch mit SSO/ISSU und Multichassis-EtherChannel."
C9500X-60L4D,"Wie viele Ports hat der C9500X-60L4D?||Der C9500X-60L4D bietet insgesamt 64 native Ports: 60× 10/25/50G-SFP56 + 4× 40/100/200/400G-QSFP-DD.##Unterstützt der C9500X-60L4D PoE?||Nein. Der C9500X-60L4D ist ein Core-/Aggregations-Switch mit Glasfaser-Ports und bietet keine PoE-Speisung; PoE-Endgeräte werden über nachgelagerte Access-Switches versorgt.##Lässt sich der C9500X-60L4D redundant koppeln?||Ja. Der C9500X-60L4D unterstützt StackWise Virtual (2 Knoten) – zwei Geräte bilden über StackWise Virtual einen logischen Switch mit SSO/ISSU und Multichassis-EtherChannel."
C9500-12Q,"Wie viele Ports hat der C9500-12Q?||Der C9500-12Q bietet 12 native Ports: 12× 40G-QSFP+.##Unterstützt der C9500-12Q PoE?||Nein. Der C9500-12Q ist ein Glasfaser-/QSFP-Core-Switch ohne PoE-Einspeisung; die Ports sind reine Daten-/Uplink-Ports.##Wie wird Hochverfügbarkeit beim C9500-12Q erreicht?||Der C9500-12Q nutzt Cisco StackWise Virtual (zwei Knoten zu einem logischen Switch über 40G-Links, MEC, SSO/NSF) statt klassischem Daten-Stacking.##Welches Betriebssystem nutzt der C9500-12Q?||Der C9500-12Q läuft unter Cisco IOS XE (16.5.1+) auf dem UADP-2.0-ASIC; Lizenzstufen Network Essentials/Advantage plus DNA."
C9500-24Q,"Wie viele Ports hat der C9500-24Q?||Der C9500-24Q bietet 24 native Ports: 24× 40G-QSFP+.##Unterstützt der C9500-24Q PoE?||Nein. Der C9500-24Q ist ein Glasfaser-/QSFP-Core-Switch ohne PoE-Einspeisung; die Ports sind reine Daten-/Uplink-Ports.##Wie wird Hochverfügbarkeit beim C9500-24Q erreicht?||Der C9500-24Q nutzt Cisco StackWise Virtual (zwei Knoten zu einem logischen Switch über 40G-Links, MEC, SSO/NSF) statt klassischem Daten-Stacking.##Welches Betriebssystem nutzt der C9500-24Q?||Der C9500-24Q läuft unter Cisco IOS XE (16.5.1+) auf dem UADP-2.0-ASIC; Lizenzstufen Network Essentials/Advantage plus DNA."
C9500-40X,"Wie viele Ports hat der C9500-40X?||Der C9500-40X bietet 40 native Ports: 40× 10G-SFP+.##Unterstützt der C9500-40X PoE?||Nein. Der C9500-40X ist ein Glasfaser-/QSFP-Core-Switch ohne PoE-Einspeisung; die Ports sind reine Daten-/Uplink-Ports.##Wie wird Hochverfügbarkeit beim C9500-40X erreicht?||Der C9500-40X nutzt Cisco StackWise Virtual (zwei Knoten zu einem logischen Switch über 40G-Links, MEC, SSO/NSF) statt klassischem Daten-Stacking.##Welches Betriebssystem nutzt der C9500-40X?||Der C9500-40X läuft unter Cisco IOS XE (16.5.1+) auf dem UADP-2.0-ASIC; Lizenzstufen Network Essentials/Advantage plus DNA."
