Artikelnummer,FAQ
QSFP-4SFP25-CU1M,"Ist dies ein originales Cisco-Modul?||Ja. Es handelt sich um Original Cisco-Neuware aus dem autorisierten Distributionskanal — versiegelt, mit Cisco Quality-ID zur Echtheitserkennung und Cisco-Standardgarantie.##Wofür wird das QSFP-4SFP25-CU1M verwendet?||Es verbindet einen 100G-QSFP28-Port mit vier 25G-SFP28-Ports und eignet sich für die Anbindung von vier 25G-Servern an einen 100G-Switch-Port.##Benötigt das Kabel eine eigene Stromversorgung?||Nein. Das passive Twinax-Breakout-Kabel kommt ohne aktive Elektronik und ohne externe Stromversorgung aus."
QSFP-4SFP25-CU2M,"Ist dies ein originales Cisco-Modul?||Ja. Es handelt sich um Original Cisco-Neuware aus dem autorisierten Distributionskanal — versiegelt, mit Cisco Quality-ID zur Echtheitserkennung und Cisco-Standardgarantie.##Wofür wird das QSFP-4SFP25-CU2M verwendet?||Es verbindet einen 100G-QSFP28-Port mit vier 25G-SFP28-Ports und eignet sich für die Anbindung von vier 25G-Servern an einen 100G-Switch-Port.##Benötigt das Kabel eine eigene Stromversorgung?||Nein. Das passive Twinax-Breakout-Kabel kommt ohne aktive Elektronik und ohne externe Stromversorgung aus."
QSFP-4SFP25-CU3M,"Ist dies ein originales Cisco-Modul?||Ja. Es handelt sich um Original Cisco-Neuware aus dem autorisierten Distributionskanal — versiegelt, mit Cisco Quality-ID zur Echtheitserkennung und Cisco-Standardgarantie.##Wofür wird das QSFP-4SFP25-CU3M verwendet?||Es verbindet einen 100G-QSFP28-Port mit vier 25G-SFP28-Ports und eignet sich für die Anbindung von vier 25G-Servern an einen 100G-Switch-Port.##Benötigt das Kabel eine eigene Stromversorgung?||Nein. Das passive Twinax-Breakout-Kabel kommt ohne aktive Elektronik und ohne externe Stromversorgung aus."
QSFP-4SFP25-CU4M,"Ist dies ein originales Cisco-Modul?||Ja. Es handelt sich um Original Cisco-Neuware aus dem autorisierten Distributionskanal — versiegelt, mit Cisco Quality-ID zur Echtheitserkennung und Cisco-Standardgarantie.##Wofür wird das QSFP-4SFP25-CU4M verwendet?||Es verbindet einen 100G-QSFP28-Port mit vier 25G-SFP28-Ports und eignet sich für die Anbindung von vier 25G-Servern an einen 100G-Switch-Port.##Benötigt das Kabel eine eigene Stromversorgung?||Nein. Das passive Twinax-Breakout-Kabel kommt ohne aktive Elektronik und ohne externe Stromversorgung aus."
QSFP-4SFP25-CU5M,"Ist dies ein originales Cisco-Modul?||Ja. Es handelt sich um Original Cisco-Neuware aus dem autorisierten Distributionskanal — versiegelt, mit Cisco Quality-ID zur Echtheitserkennung und Cisco-Standardgarantie.##Wofür wird das QSFP-4SFP25-CU5M verwendet?||Es verbindet einen 100G-QSFP28-Port mit vier 25G-SFP28-Ports und eignet sich für die Anbindung von vier 25G-Servern an einen 100G-Switch-Port.##Benötigt das Kabel eine eigene Stromversorgung?||Nein. Das passive Twinax-Breakout-Kabel kommt ohne aktive Elektronik und ohne externe Stromversorgung aus."
QSFP-100G-SR4-S,"Ist dies ein originales Cisco-Modul?||Ja. Es handelt sich um Original Cisco-Neuware aus dem autorisierten Distributionskanal — versiegelt, mit Cisco Quality-ID zur Echtheitserkennung und Cisco-Standardgarantie.##Wie weit reicht das QSFP-100G-SR4-S?||Bis zu 70 Meter über OM3-Multimode-Faser und bis zu 100 Meter über OM4/OM5 bei 850 nm über einen MPO-12-Anschluss.##Welchen Anschluss benötigt das Modul?||Einen parallelen MPO-12-Multifiber-Stecker (zwölf Fasern) mit PC- oder UPC-Kontaktierung."
QSFP-100G-SL4,"Ist dies ein originales Cisco-Modul?||Ja. Es handelt sich um Original Cisco-Neuware aus dem autorisierten Distributionskanal — versiegelt, mit Cisco Quality-ID zur Echtheitserkennung und Cisco-Standardgarantie.##Wie weit reicht das QSFP-100G-SL4?||Bis zu 20 Meter über OM3 und bis zu 30 Meter über OM4/OM5 bei 850 nm — es ist die kostenoptimierte Short-Link-Variante des SR4.##Worin unterscheidet sich das SL4 vom SR4-S?||Beide nutzen 850 nm und MPO-12; das SL4 ist für kürzere Distanzen ausgelegt und dadurch günstiger, das SR4-S erreicht bis 100 m über OM4."
QSFP-100G-SR1.2,"Ist dies ein originales Cisco-Modul?||Ja. Es handelt sich um Original Cisco-Neuware aus dem autorisierten Distributionskanal — versiegelt, mit Cisco Quality-ID zur Echtheitserkennung und Cisco-Standardgarantie.##Wie weit reicht das QSFP-100G-SR1.2?||70 Meter über OM3, 100 Meter über OM4 und 150 Meter über OM5 — über eine zweisträngige Multimode-Faser mit Duplex-LC.##Kann ich vorhandene Duplex-MMF-Verkabelung weiterverwenden?||Ja. Als BiDi-Modul nutzt es vorhandene 10/40/100G-Duplex-MMF-Strecken und unterstützt im 4×100G-Breakout den Übergang zu 400G."
QSFP-40/100-SRBD,"Ist dies ein originales Cisco-Modul?||Ja. Es handelt sich um Original Cisco-Neuware aus dem autorisierten Distributionskanal — versiegelt, mit Cisco Quality-ID zur Echtheitserkennung und Cisco-Standardgarantie.##Unterstützt das QSFP-40/100-SRBD sowohl 40G als auch 100G?||Ja. Es ist ein Dual-Rate-Modul: im 100G-Modus bis 100 m über OM4, im 40G-Modus bis 150 m über OM4.##Welche Faser und welchen Anschluss benötige ich?||Eine zweisträngige laseroptimierte Multimode-Faser (OM3/OM4/OM5) mit Duplex-LC-Anschluss; vorhandene 10G-Duplex-MMF lässt sich weiterverwenden."
QSFP-100G-SR-S,"Ist dies ein originales Cisco-Modul?||Ja. Es handelt sich um Original Cisco-Neuware aus dem autorisierten Distributionskanal — versiegelt, mit Cisco Quality-ID zur Echtheitserkennung und Cisco-Standardgarantie.##Wie weit reicht das QSFP-100G-SR-S?||Bis zu 70 Meter über OM3 und bis zu 100 Meter über OM4/OM5 bei 850 nm über einen Duplex-LC-Anschluss.##Worin unterscheidet sich das SR-S vom SR4-S?||Das SR-S nutzt eine einzige Wellenlänge mit PAM4/FEC und Duplex-LC, das SR4-S vier parallele Lanes mit MPO-12."
