NVIDIA / Mellanox LinkX VERIFICATION REPORT — 85 transceivers & cables vs NVIDIA LinkX parts lists
OEM source: NVIDIA LinkX parts lists (400G-100G-PAM4, 400G/200G, 800G-XDR) cached PDFs from nvidia.com.
Compatibles excluded. 2026-06-20.
============================================================================================
VERDICT: all 85 confirmed against NVIDIA LinkX parts lists (85 exact PN match, 0 by prefix+suffix tokens —
   length-variant codes whose family prefix and media suffix both appear). No collisions; byte-contract OK; gate 0.
FAMILIES: {'other': 27, 'MCP*(DAC)': 45, 'MFA*(AOC)': 7, 'MMA*(module)': 6}
DOM: MMA* optical modules = Ja (10G+ rule; all NVIDIA optics are 25G/100G/400G/800G — no 1G/100M tier).
   MFA* AOC + MCP* DAC = cable-exempt (DOM omitted, never falsely Ja). 0 optical-Nein, 0 copper-Ja anomalies.
TEMP: 0 bis 70 °C (LinkX commercial; format clean, no '+', no industrial overclaim).
CORRECTIONS: 0.   REMOVALS: 0.   NVIDIA build was already spec-accurate.

part | family | medium | DOM | catalog evidence
--------------------------------------------------------------------------------------------
C-DQ8FNM003-H0-M     | other        | optical | ∅(cable)  | exact PN in parts-list
C-DQ8FNM005-H0-M     | other        | optical | ∅(cable)  | exact PN in parts-list
C-DQ8FNM010-H0-M     | other        | optical | ∅(cable)  | exact PN in parts-list
C-DQ8FNM020-H0-M     | other        | optical | ∅(cable)  | exact PN in parts-list
C-DQ8FNM050-H0-M     | other        | optical | ∅(cable)  | exact PN in parts-list
MCP1600-C001E30N     | MCP*(DAC)    | copper  | ∅(cable)  | exact PN in parts-list
MCP1600-C002E30N     | MCP*(DAC)    | copper  | ∅(cable)  | exact PN in parts-list
MCP1600-C003E30L     | MCP*(DAC)    | copper  | ∅(cable)  | exact PN in parts-list
MCP1600-C005E26L     | MCP*(DAC)    | copper  | ∅(cable)  | exact PN in parts-list
MCP1600-C01AE30N     | MCP*(DAC)    | copper  | ∅(cable)  | exact PN in parts-list
MCP1600-C02AE30L     | MCP*(DAC)    | copper  | ∅(cable)  | exact PN in parts-list
MCP1650-V001E30      | MCP*(DAC)    | copper  | ∅(cable)  | exact PN in parts-list
