Artikelnummer,GTIN,Attributgruppe,Attributname,Attributwert,Sortiernummer,Datentyp (sonst automatisch ermittelt),Attributart
JL071A,,Switch,Switch-Typ,Managed,1,Wertliste,Attribut
JL071A,,Switch,Layer,L3,2,Wertliste,Attribut
JL071A,,Switch,Portanzahl,24,3,Wertliste,Attribut
JL071A,,Switch,Port-Konfiguration,24× 10/100/1000BASE-T (MACsec),4,Wertliste,Attribut
JL071A,,Switch,Port-Geschwindigkeit,10/100/1000 Mbit/s (RJ45),5,Wertliste,Attribut
JL071A,,Switch,Uplink-Ports,"1 Modulschacht (optional 4× SFP+ 10G, 40G-QSFP+ oder 4× HPE Smart Rate, separat)",6,Wertliste,Attribut
JL071A,,Switch,PoE,Nein,7,Wertliste,Attribut
JL071A,,Switch,Switching-Kapazität,160 Gbit/s,8,Wertliste,Attribut
JL071A,,Switch,Durchsatz,"95,2 Mpps",9,Wertliste,Attribut
JL071A,,Switch,Bauform,19-Zoll-Rackmontage (1 HE),10,Wertliste,Attribut
JL071A,,Switch,Stromversorgung,"2 Hot-Swap-Netzteilschächte (mindestens 1 erforderlich, redundant, separat bestellt)",11,Wertliste,Attribut
JL071A,,Switch,Kühlung,"Lüftergekühlt (austauschbarer Lüftereinschub JL088A, front-to-side/rear)",12,Wertliste,Attribut
JL071A,,Switch,Stacking,"Backplane-Stacking (dediziertes Stacking-Modul, bis 336 Gbit/s)",13,Wertliste,Attribut
JL071A,,Switch,Betriebstemperatur,0 bis 45 °C,14,Wertliste,Attribut
JL071A,,Switch,Anwendung,Layer-3-Campus-Aggregation (ArubaOS-Switch) mit Backplane-Stacking und durchgängigem MACsec,15,Wertliste,Attribut
JL072A,,Switch,Switch-Typ,Managed,1,Wertliste,Attribut
JL072A,,Switch,Layer,L3,2,Wertliste,Attribut
JL072A,,Switch,Portanzahl,48,3,Wertliste,Attribut
JL072A,,Switch,Port-Konfiguration,48× 10/100/1000BASE-T (MACsec),4,Wertliste,Attribut
JL072A,,Switch,Port-Geschwindigkeit,10/100/1000 Mbit/s (RJ45),5,Wertliste,Attribut
JL072A,,Switch,Uplink-Ports,"1 Modulschacht (optional 4× SFP+ 10G, 40G-QSFP+ oder 4× HPE Smart Rate, separat)",6,Wertliste,Attribut
JL072A,,Switch,PoE,Nein,7,Wertliste,Attribut
JL072A,,Switch,Switching-Kapazität,320 Gbit/s,8,Wertliste,Attribut
JL072A,,Switch,Durchsatz,"190,5 Mpps",9,Wertliste,Attribut
JL072A,,Switch,Bauform,19-Zoll-Rackmontage (1 HE),10,Wertliste,Attribut
JL072A,,Switch,Stromversorgung,"2 Hot-Swap-Netzteilschächte (mindestens 1 erforderlich, redundant, separat bestellt)",11,Wertliste,Attribut
JL072A,,Switch,Kühlung,"Lüftergekühlt (austauschbarer Lüftereinschub JL088A, front-to-side/rear)",12,Wertliste,Attribut
JL072A,,Switch,Stacking,"Backplane-Stacking (dediziertes Stacking-Modul, bis 336 Gbit/s)",13,Wertliste,Attribut
JL072A,,Switch,Betriebstemperatur,0 bis 45 °C,14,Wertliste,Attribut
