Artikelnummer,FAQ
MA-SFP-1GB-SX,"Wofür ist das MA-SFP-1GB-SX ausgelegt?||Für 1 Gbit/s-Verbindungen über Multimode bei 850 nm, bis 550 m (OM2) (SX (Kurzstrecke)).##In welche Plattform passt es?||In Cisco-Meraki-MS-Switches sowie MX-/MR-Geräte mit passendem SFP-/QSFP-Steckplatz.##Original Cisco Meraki?||Ja, versiegelte Cisco-Meraki-Neuware aus dem autorisierten Distributionskanal."
MA-SFP-1GB-LX10,"Wofür ist das MA-SFP-1GB-LX10 ausgelegt?||Für 1 Gbit/s-Verbindungen über Singlemode bei 1310 nm, 10 km (LX10 (Langstrecke)).##In welche Plattform passt es?||In Cisco-Meraki-MS-Switches sowie MX-/MR-Geräte mit passendem SFP-/QSFP-Steckplatz.##Original Cisco Meraki?||Ja, versiegelte Cisco-Meraki-Neuware aus dem autorisierten Distributionskanal."
MA-SFP-1GB-TX,"Wofür ist das MA-SFP-1GB-TX ausgelegt?||Für 1 Gbit/s-Verbindungen über Kupfer (Cat-5e), 100 m (T (Kupfer)).##In welche Plattform passt es?||In Cisco-Meraki-MS-Switches sowie MX-/MR-Geräte mit passendem SFP-/QSFP-Steckplatz.##Original Cisco Meraki?||Ja, versiegelte Cisco-Meraki-Neuware aus dem autorisierten Distributionskanal."
MA-SFP-10GB-SR,"Wofür ist das MA-SFP-10GB-SR ausgelegt?||Für 10 Gbit/s-Verbindungen über Multimode bei 850 nm, bis 300 m (OM3) (SR (Kurzstrecke)).##In welche Plattform passt es?||In Cisco-Meraki-MS-Switches sowie MX-/MR-Geräte mit passendem SFP-/QSFP-Steckplatz.##Original Cisco Meraki?||Ja, versiegelte Cisco-Meraki-Neuware aus dem autorisierten Distributionskanal."
MA-SFP-10GB-LR,"Wofür ist das MA-SFP-10GB-LR ausgelegt?||Für 10 Gbit/s-Verbindungen über Singlemode bei 1310 nm, 10 km (LR (Langstrecke)).##In welche Plattform passt es?||In Cisco-Meraki-MS-Switches sowie MX-/MR-Geräte mit passendem SFP-/QSFP-Steckplatz.##Original Cisco Meraki?||Ja, versiegelte Cisco-Meraki-Neuware aus dem autorisierten Distributionskanal."
MA-SFP-10GB-LRM,"Wofür ist das MA-SFP-10GB-LRM ausgelegt?||Für 10 Gbit/s-Verbindungen über Multimode bei 1310 nm, 220 m (LRM (Multimode lang)).##In welche Plattform passt es?||In Cisco-Meraki-MS-Switches sowie MX-/MR-Geräte mit passendem SFP-/QSFP-Steckplatz.##Original Cisco Meraki?||Ja, versiegelte Cisco-Meraki-Neuware aus dem autorisierten Distributionskanal."
MA-SFP-10GB-ER,"Wofür ist das MA-SFP-10GB-ER ausgelegt?||Für 10 Gbit/s-Verbindungen über Singlemode bei 1550 nm, 40 km (ER (Weitverkehr)).##In welche Plattform passt es?||In Cisco-Meraki-MS-Switches sowie MX-/MR-Geräte mit passendem SFP-/QSFP-Steckplatz.##Original Cisco Meraki?||Ja, versiegelte Cisco-Meraki-Neuware aus dem autorisierten Distributionskanal."
MA-SFP-10GB-ZR,"Wofür ist das MA-SFP-10GB-ZR ausgelegt?||Für 10 Gbit/s-Verbindungen über Singlemode bei 1550 nm, 80 km (ZR (Weitverkehr)).##In welche Plattform passt es?||In Cisco-Meraki-MS-Switches sowie MX-/MR-Geräte mit passendem SFP-/QSFP-Steckplatz.##Original Cisco Meraki?||Ja, versiegelte Cisco-Meraki-Neuware aus dem autorisierten Distributionskanal."
MA-QSFP-40G-SR4,"Wofür ist das MA-QSFP-40G-SR4 ausgelegt?||Für 40 Gbit/s-Verbindungen über Multimode bei 850 nm, bis 150 m (OM4) (SR4 (4×10G parallel)).##In welche Plattform passt es?||In Cisco-Meraki-MS-Switches sowie MX-/MR-Geräte mit passendem SFP-/QSFP-Steckplatz.##Original Cisco Meraki?||Ja, versiegelte Cisco-Meraki-Neuware aus dem autorisierten Distributionskanal."
MA-QSFP-40G-LR4,"Wofür ist das MA-QSFP-40G-LR4 ausgelegt?||Für 40 Gbit/s-Verbindungen über Singlemode bei 1271 / 1291 / 1311 / 1331 nm (LAN-WDM), 10 km (LR4 (4× LAN-WDM)).##In welche Plattform passt es?||In Cisco-Meraki-MS-Switches sowie MX-/MR-Geräte mit passendem SFP-/QSFP-Steckplatz.##Original Cisco Meraki?||Ja, versiegelte Cisco-Meraki-Neuware aus dem autorisierten Distributionskanal."
MA-QSFP-40G-CSR4,"Wofür ist das MA-QSFP-40G-CSR4 ausgelegt?||Für 40 Gbit/s-Verbindungen über Multimode bei 850 nm, bis 400 m (OM4) (CSR4 (4×10G, erweiterte Reichweite)).##In welche Plattform passt es?||In Cisco-Meraki-MS-Switches sowie MX-/MR-Geräte mit passendem SFP-/QSFP-Steckplatz.##Original Cisco Meraki?||Ja, versiegelte Cisco-Meraki-Neuware aus dem autorisierten Distributionskanal."
MA-QSFP-40G-SR-BD,"Wofür ist das MA-QSFP-40G-SR-BD ausgelegt?||Für 40 Gbit/s-Verbindungen über Multimode bei 832–918 nm, bis 150 m (OM4) (SR-BD (BiDi, 2-Faser)).##In welche Plattform passt es?||In Cisco-Meraki-MS-Switches sowie MX-/MR-Geräte mit passendem SFP-/QSFP-Steckplatz.##Original Cisco Meraki?||Ja, versiegelte Cisco-Meraki-Neuware aus dem autorisierten Distributionskanal."
MA-QSFP-100G-SR4,"Wofür ist das MA-QSFP-100G-SR4 ausgelegt?||Für 100 Gbit/s-Verbindungen über Multimode bei 850 nm, bis 100 m (OM4) (SR4 (4×25G parallel)).##In welche Plattform passt es?||In Cisco-Meraki-MS-Switches sowie MX-/MR-Geräte mit passendem SFP-/QSFP-Steckplatz.##Original Cisco Meraki?||Ja, versiegelte Cisco-Meraki-Neuware aus dem autorisierten Distributionskanal."
MA-QSFP-100G-LR4,"Wofür ist das MA-QSFP-100G-LR4 ausgelegt?||Für 100 Gbit/s-Verbindungen über Singlemode bei 1295,56 / 1300,05 / 1304,58 / 1309,14 nm (LAN-WDM), 10 km (LR4 (4× LAN-WDM)).##In welche Plattform passt es?||In Cisco-Meraki-MS-Switches sowie MX-/MR-Geräte mit passendem SFP-/QSFP-Steckplatz.##Original Cisco Meraki?||Ja, versiegelte Cisco-Meraki-Neuware aus dem autorisierten Distributionskanal."
MA-CBL-TA-1M,"Benötigt das Kabel Strom?||Nein, es ist ein passives Twinax-Kupferkabel ohne aktive Elektronik.##Länge und Stecker?||1 m mit fest konfektionierten SFP+ ↔ SFP+-Steckern.##Original Cisco Meraki?||Ja, versiegelte Cisco-Meraki-Neuware aus dem autorisierten Distributionskanal."
MA-CBL-TA-3M,"Benötigt das Kabel Strom?||Nein, es ist ein passives Twinax-Kupferkabel ohne aktive Elektronik.##Länge und Stecker?||3 m mit fest konfektionierten SFP+ ↔ SFP+-Steckern.##Original Cisco Meraki?||Ja, versiegelte Cisco-Meraki-Neuware aus dem autorisierten Distributionskanal."
MA-CBL-40G-50CM,"Benötigt das Kabel Strom?||Nein, es ist ein passives Twinax-Kupferkabel ohne aktive Elektronik.##Länge und Stecker?||0,5 m mit fest konfektionierten QSFP+ ↔ QSFP+-Steckern.##Original Cisco Meraki?||Ja, versiegelte Cisco-Meraki-Neuware aus dem autorisierten Distributionskanal."
MA-CBL-40G-1M,"Benötigt das Kabel Strom?||Nein, es ist ein passives Twinax-Kupferkabel ohne aktive Elektronik.##Länge und Stecker?||1 m mit fest konfektionierten QSFP+ ↔ QSFP+-Steckern.##Original Cisco Meraki?||Ja, versiegelte Cisco-Meraki-Neuware aus dem autorisierten Distributionskanal."
MA-CBL-40G-3M,"Benötigt das Kabel Strom?||Nein, es ist ein passives Twinax-Kupferkabel ohne aktive Elektronik.##Länge und Stecker?||3 m mit fest konfektionierten QSFP+ ↔ QSFP+-Steckern.##Original Cisco Meraki?||Ja, versiegelte Cisco-Meraki-Neuware aus dem autorisierten Distributionskanal."
MA-CBL-100G-50CM,"Benötigt das Kabel Strom?||Nein, es ist ein passives Twinax-Kupferkabel ohne aktive Elektronik.##Länge und Stecker?||0,5 m mit fest konfektionierten QSFP28 ↔ QSFP28-Steckern.##Original Cisco Meraki?||Ja, versiegelte Cisco-Meraki-Neuware aus dem autorisierten Distributionskanal."
MA-CBL-100G-1M,"Benötigt das Kabel Strom?||Nein, es ist ein passives Twinax-Kupferkabel ohne aktive Elektronik.##Länge und Stecker?||1 m mit fest konfektionierten QSFP28 ↔ QSFP28-Steckern.##Original Cisco Meraki?||Ja, versiegelte Cisco-Meraki-Neuware aus dem autorisierten Distributionskanal."
MA-CBL-100G-3M,"Benötigt das Kabel Strom?||Nein, es ist ein passives Twinax-Kupferkabel ohne aktive Elektronik.##Länge und Stecker?||3 m mit fest konfektionierten QSFP28 ↔ QSFP28-Steckern.##Original Cisco Meraki?||Ja, versiegelte Cisco-Meraki-Neuware aus dem autorisierten Distributionskanal."
MA-CBL-120G-50CM,"Benötigt das Kabel Strom?||Nein, es ist ein passives Twinax-Kupferkabel ohne aktive Elektronik.##Länge und Stecker?||0,5 m mit fest konfektionierten QSFP+ ↔ QSFP+-Steckern.##Original Cisco Meraki?||Ja, versiegelte Cisco-Meraki-Neuware aus dem autorisierten Distributionskanal."
MA-CBL-120G-1M,"Benötigt das Kabel Strom?||Nein, es ist ein passives Twinax-Kupferkabel ohne aktive Elektronik.##Länge und Stecker?||1 m mit fest konfektionierten QSFP+ ↔ QSFP+-Steckern.##Original Cisco Meraki?||Ja, versiegelte Cisco-Meraki-Neuware aus dem autorisierten Distributionskanal."
MA-CBL-120G-3M,"Benötigt das Kabel Strom?||Nein, es ist ein passives Twinax-Kupferkabel ohne aktive Elektronik.##Länge und Stecker?||3 m mit fest konfektionierten QSFP+ ↔ QSFP+-Steckern.##Original Cisco Meraki?||Ja, versiegelte Cisco-Meraki-Neuware aus dem autorisierten Distributionskanal."
