Artikelnummer;Überverkauf Plattform Hexwaren
MA-SFP-1GB-SX;TRUE
MA-SFP-1GB-LX10;TRUE
MA-SFP-1GB-TX;TRUE
MA-SFP-10GB-SR;TRUE
MA-SFP-10GB-LR;TRUE
MA-SFP-10GB-LRM;TRUE
MA-SFP-10GB-ER;TRUE
MA-SFP-10GB-ZR;TRUE
MA-QSFP-40G-SR4;TRUE
MA-QSFP-40G-LR4;TRUE
MA-QSFP-40G-CSR4;TRUE
MA-QSFP-40G-SR-BD;TRUE
MA-QSFP-100G-SR4;TRUE
MA-QSFP-100G-LR4;TRUE
MA-CBL-TA-1M;TRUE
MA-CBL-TA-3M;TRUE
MA-CBL-40G-50CM;TRUE
MA-CBL-40G-1M;TRUE
MA-CBL-40G-3M;TRUE
MA-CBL-100G-50CM;TRUE
MA-CBL-100G-1M;TRUE
MA-CBL-100G-3M;TRUE
MA-CBL-120G-50CM;TRUE
MA-CBL-120G-1M;TRUE
MA-CBL-120G-3M;TRUE
