Artikelnummer,FAQ
R9W86A,"Wie viele Ports hat der R9W86A?||Der R9W86A bietet insgesamt 28 Ports: 24× 1/10G-SFP+ + 4× QSFP28 (40/100G) (Uplink).##Unterstützt der R9W86A PoE?||Nein. Der R9W86A ist ein Modell ohne Power over Ethernet und für reine Datenanbindung ausgelegt.##Lässt sich der R9W86A redundant koppeln (VSX)?||Ja. Über Aruba VSX (Virtual Switching Extension) bilden zwei R9W86A ein aktiv-aktives Hochverfügbarkeitspaar mit synchronisiertem Forwarding-Zustand und Multi-Chassis-LAG.##Wodurch unterscheidet sich der R9W86A?||Der R9W86A: Kühlung: 3 feldaustauschbare Hot-Swap-Lüfter (Airflow front-to-back); Stromversorgung: 2 feldaustauschbare Hot-Swap-Netzteile (N+1, im Bundle); AC 100–240 V; Betriebstemperatur: 0 bis 45 °C."
R9W87A,"Wie viele Ports hat der R9W87A?||Der R9W87A bietet insgesamt 28 Ports: 24× 1/10G-SFP+ + 4× QSFP28 (40/100G) (Uplink).##Unterstützt der R9W87A PoE?||Nein. Der R9W87A ist ein Modell ohne Power over Ethernet und für reine Datenanbindung ausgelegt.##Lässt sich der R9W87A redundant koppeln (VSX)?||Ja. Über Aruba VSX (Virtual Switching Extension) bilden zwei R9W87A ein aktiv-aktives Hochverfügbarkeitspaar mit synchronisiertem Forwarding-Zustand und Multi-Chassis-LAG.##Wodurch unterscheidet sich der R9W87A?||Der R9W87A: Kühlung: 3 feldaustauschbare Hot-Swap-Lüfter (Airflow back-to-front); Stromversorgung: 2 feldaustauschbare Hot-Swap-Netzteile (N+1, im Bundle); AC 100–240 V; Betriebstemperatur: 0 bis 40 °C."
R9W94A,"Wie viele Ports hat der R9W94A?||Der R9W94A bietet insgesamt 28 Ports: 24× 1/10G-SFP+ + 4× QSFP28 (40/100G) (Uplink).##Unterstützt der R9W94A PoE?||Nein. Der R9W94A ist ein Modell ohne Power over Ethernet und für reine Datenanbindung ausgelegt.##Lässt sich der R9W94A redundant koppeln (VSX)?||Ja. Über Aruba VSX (Virtual Switching Extension) bilden zwei R9W94A ein aktiv-aktives Hochverfügbarkeitspaar mit synchronisiertem Forwarding-Zustand und Multi-Chassis-LAG.##Wodurch unterscheidet sich der R9W94A?||Der R9W94A: Kühlung: Feldaustauschbare Hot-Swap-Lüfter, separat bestellt (Airflow konfigurierbar (front-to-back oder back-to-front)); Stromversorgung: Feldaustauschbare Hot-Swap-Netzteile, separat bestellt (bis 2, N+1); AC; Betriebstemperatur: 0 bis 40 °C (bei Front-to-Back-Konfiguration bis 45 °C)."
R9W88A,"Wie viele Ports hat der R9W88A?||Der R9W88A bietet insgesamt 32 Ports: 24× 100M/1/2.5/5/10G-BASE-T (Smart Rate) + 4× 1/10G-SFP+ + 4× QSFP28 (40/100G) (Uplink).##Unterstützt der R9W88A PoE?||Nein. Der R9W88A ist ein Modell ohne Power over Ethernet und für reine Datenanbindung ausgelegt.##Lässt sich der R9W88A redundant koppeln (VSX)?||Ja. Über Aruba VSX (Virtual Switching Extension) bilden zwei R9W88A ein aktiv-aktives Hochverfügbarkeitspaar mit synchronisiertem Forwarding-Zustand und Multi-Chassis-LAG.##Wodurch unterscheidet sich der R9W88A?||Der R9W88A: Kühlung: 3 feldaustauschbare Hot-Swap-Lüfter (Airflow front-to-back); Stromversorgung: 2 feldaustauschbare Hot-Swap-Netzteile (N+1, im Bundle); AC 100–240 V; Betriebstemperatur: 0 bis 45 °C."
R9W89A,"Wie viele Ports hat der R9W89A?||Der R9W89A bietet insgesamt 32 Ports: 24× 100M/1/2.5/5/10G-BASE-T (Smart Rate) + 4× 1/10G-SFP+ + 4× QSFP28 (40/100G) (Uplink).##Unterstützt der R9W89A PoE?||Nein. Der R9W89A ist ein Modell ohne Power over Ethernet und für reine Datenanbindung ausgelegt.##Lässt sich der R9W89A redundant koppeln (VSX)?||Ja. Über Aruba VSX (Virtual Switching Extension) bilden zwei R9W89A ein aktiv-aktives Hochverfügbarkeitspaar mit synchronisiertem Forwarding-Zustand und Multi-Chassis-LAG.##Wodurch unterscheidet sich der R9W89A?||Der R9W89A: Kühlung: 3 feldaustauschbare Hot-Swap-Lüfter (Airflow back-to-front); Stromversorgung: 2 feldaustauschbare Hot-Swap-Netzteile (N+1, im Bundle); AC 100–240 V; Betriebstemperatur: 0 bis 40 °C."
R9W95A,"Wie viele Ports hat der R9W95A?||Der R9W95A bietet insgesamt 32 Ports: 24× 100M/1/2.5/5/10G-BASE-T (Smart Rate) + 4× 1/10G-SFP+ + 4× QSFP28 (40/100G) (Uplink).##Unterstützt der R9W95A PoE?||Nein. Der R9W95A ist ein Modell ohne Power over Ethernet und für reine Datenanbindung ausgelegt.##Lässt sich der R9W95A redundant koppeln (VSX)?||Ja. Über Aruba VSX (Virtual Switching Extension) bilden zwei R9W95A ein aktiv-aktives Hochverfügbarkeitspaar mit synchronisiertem Forwarding-Zustand und Multi-Chassis-LAG.##Wodurch unterscheidet sich der R9W95A?||Der R9W95A: Kühlung: Feldaustauschbare Hot-Swap-Lüfter, separat bestellt (Airflow konfigurierbar (front-to-back oder back-to-front)); Stromversorgung: Feldaustauschbare Hot-Swap-Netzteile, separat bestellt (bis 2, N+1); AC; Betriebstemperatur: 0 bis 40 °C (bei Front-to-Back-Konfiguration bis 45 °C)."
R9W90A,"Wie viele Ports hat der R9W90A?||Der R9W90A bietet insgesamt 52 Ports: 48× 1/10G-SFP+ + 4× QSFP28 (40/100G) (Uplink).##Unterstützt der R9W90A PoE?||Nein. Der R9W90A ist ein Modell ohne Power over Ethernet und für reine Datenanbindung ausgelegt.##Lässt sich der R9W90A redundant koppeln (VSX)?||Ja. Über Aruba VSX (Virtual Switching Extension) bilden zwei R9W90A ein aktiv-aktives Hochverfügbarkeitspaar mit synchronisiertem Forwarding-Zustand und Multi-Chassis-LAG.##Wodurch unterscheidet sich der R9W90A?||Der R9W90A: Kühlung: 3 feldaustauschbare Hot-Swap-Lüfter (Airflow front-to-back); Stromversorgung: 2 feldaustauschbare Hot-Swap-Netzteile (N+1, im Bundle); AC 100–240 V; Betriebstemperatur: 0 bis 45 °C."
R9W91A,"Wie viele Ports hat der R9W91A?||Der R9W91A bietet insgesamt 52 Ports: 48× 1/10G-SFP+ + 4× QSFP28 (40/100G) (Uplink).##Unterstützt der R9W91A PoE?||Nein. Der R9W91A ist ein Modell ohne Power over Ethernet und für reine Datenanbindung ausgelegt.##Lässt sich der R9W91A redundant koppeln (VSX)?||Ja. Über Aruba VSX (Virtual Switching Extension) bilden zwei R9W91A ein aktiv-aktives Hochverfügbarkeitspaar mit synchronisiertem Forwarding-Zustand und Multi-Chassis-LAG.##Wodurch unterscheidet sich der R9W91A?||Der R9W91A: Kühlung: 3 feldaustauschbare Hot-Swap-Lüfter (Airflow back-to-front); Stromversorgung: 2 feldaustauschbare Hot-Swap-Netzteile (N+1, im Bundle); AC 100–240 V; Betriebstemperatur: 0 bis 40 °C."
R9W96A,"Wie viele Ports hat der R9W96A?||Der R9W96A bietet insgesamt 52 Ports: 48× 1/10G-SFP+ + 4× QSFP28 (40/100G) (Uplink).##Unterstützt der R9W96A PoE?||Nein. Der R9W96A ist ein Modell ohne Power over Ethernet und für reine Datenanbindung ausgelegt.##Lässt sich der R9W96A redundant koppeln (VSX)?||Ja. Über Aruba VSX (Virtual Switching Extension) bilden zwei R9W96A ein aktiv-aktives Hochverfügbarkeitspaar mit synchronisiertem Forwarding-Zustand und Multi-Chassis-LAG.##Wodurch unterscheidet sich der R9W96A?||Der R9W96A: Kühlung: Feldaustauschbare Hot-Swap-Lüfter, separat bestellt (Airflow konfigurierbar (front-to-back oder back-to-front)); Stromversorgung: Feldaustauschbare Hot-Swap-Netzteile, separat bestellt (bis 2, N+1); AC; Betriebstemperatur: 0 bis 40 °C (bei Front-to-Back-Konfiguration bis 45 °C)."
R9W92A,"Wie viele Ports hat der R9W92A?||Der R9W92A bietet insgesamt 52 Ports: 40× 100M/1/2.5/5/10G-BASE-T (Smart Rate) + 8× 1/10G-SFP+ + 4× QSFP28 (40/100G) (Uplink).##Unterstützt der R9W92A PoE?||Nein. Der R9W92A ist ein Modell ohne Power over Ethernet und für reine Datenanbindung ausgelegt.##Lässt sich der R9W92A redundant koppeln (VSX)?||Ja. Über Aruba VSX (Virtual Switching Extension) bilden zwei R9W92A ein aktiv-aktives Hochverfügbarkeitspaar mit synchronisiertem Forwarding-Zustand und Multi-Chassis-LAG.##Wodurch unterscheidet sich der R9W92A?||Der R9W92A: Kühlung: 3 feldaustauschbare Hot-Swap-Lüfter (Airflow front-to-back); Stromversorgung: 2 feldaustauschbare Hot-Swap-Netzteile (N+1, im Bundle); AC 100–240 V; Betriebstemperatur: 0 bis 45 °C."
R9W93A,"Wie viele Ports hat der R9W93A?||Der R9W93A bietet insgesamt 52 Ports: 40× 100M/1/2.5/5/10G-BASE-T (Smart Rate) + 8× 1/10G-SFP+ + 4× QSFP28 (40/100G) (Uplink).##Unterstützt der R9W93A PoE?||Nein. Der R9W93A ist ein Modell ohne Power over Ethernet und für reine Datenanbindung ausgelegt.##Lässt sich der R9W93A redundant koppeln (VSX)?||Ja. Über Aruba VSX (Virtual Switching Extension) bilden zwei R9W93A ein aktiv-aktives Hochverfügbarkeitspaar mit synchronisiertem Forwarding-Zustand und Multi-Chassis-LAG.##Wodurch unterscheidet sich der R9W93A?||Der R9W93A: Kühlung: 3 feldaustauschbare Hot-Swap-Lüfter (Airflow back-to-front); Stromversorgung: 2 feldaustauschbare Hot-Swap-Netzteile (N+1, im Bundle); AC 100–240 V; Betriebstemperatur: 0 bis 40 °C."
R9W97A,"Wie viele Ports hat der R9W97A?||Der R9W97A bietet insgesamt 52 Ports: 40× 100M/1/2.5/5/10G-BASE-T (Smart Rate) + 8× 1/10G-SFP+ + 4× QSFP28 (40/100G) (Uplink).##Unterstützt der R9W97A PoE?||Nein. Der R9W97A ist ein Modell ohne Power over Ethernet und für reine Datenanbindung ausgelegt.##Lässt sich der R9W97A redundant koppeln (VSX)?||Ja. Über Aruba VSX (Virtual Switching Extension) bilden zwei R9W97A ein aktiv-aktives Hochverfügbarkeitspaar mit synchronisiertem Forwarding-Zustand und Multi-Chassis-LAG.##Wodurch unterscheidet sich der R9W97A?||Der R9W97A: Kühlung: Feldaustauschbare Hot-Swap-Lüfter, separat bestellt (Airflow konfigurierbar (front-to-back oder back-to-front)); Stromversorgung: Feldaustauschbare Hot-Swap-Netzteile, separat bestellt (bis 2, N+1); AC; Betriebstemperatur: 0 bis 40 °C (bei Front-to-Back-Konfiguration bis 45 °C)."
