Artikelnummer;Netto-VK
100G-SR4-QSFP100M;384,00
100G-SR4BD-QSFP100M;384,00
100G-SWDM4-QSFP100M;384,00
100G-ESR4-QSFP300M;384,00
100G-DR-QSFP500M;560,00
100G-CWDM2-QSFP2KM;1.200,00
100G-LR4-QSFP2KM;2.240,00
100G-FR-QSFP2KM;720,00
10405;720,00
100G-LR-QSFP10KM;2.240,00
100G-LR4-QSFP10KM;2.240,00
100G-ER4LT-QSFP40KM;2.800,00
100G-DACP-QSFPZ5M;144,00
100G-DACP-QSFP1M;156,00
100G-DACP-QSFP3M;204,00
100G-DACP-QSFP5M;252,00
100G-DACP-QSFP4SFP1M;156,00
100G-DACP-QSFP4SFP3M;204,00
100G-DACP-QSFP4SFP5M;252,00
100G-AOC-QSFP10M-TA;384,00
100G-CFP2-LR4-10KM;2.240,00
100G-CFP2-ER4-40KM;2.800,00
40G-SR4-QSFP150;280,00
40G-BDSR-QSFP150M;280,00
40G-ESR4-QSFP400M-NT;280,00
40G-LR4-QSFP10KM;1.120,00
40G-QSFP-LR4-INT;1.120,00
40G-QSFP-ER4-1;2.400,00
40G-DACP-QSFPZ5M;77,00
40G-DACP-QSFP1M;82,00
40G-DACP-QSFP3M;101,00
40G-DACP-QSFP5M;120,00
40G-DACP-QSFP4SFP1M;82,00
40G-DACP-QSFP4SFP2M;91,00
40G-DACP-QSFP4SFP3M;101,00
40G-DACP-QSFP4SFP5M;120,00
40G-DACA-QSFP4SFP1M;82,00
40G-DACA-QSFP4SFP3M;101,00
40G-DACA-QSFP4SFP5M;120,00
40G-AOC-QSFP3M;174,00
40G-AOC-QSFP5M;200,00
40G-AOC-QSFP10M;264,00
40G-AOC-QSFP20M;392,00
40G-AOC-QSFP100;1.416,00
40G-AOC-QSFP4SFP10M;264,00
25G-SR-SFP100M;208,00
10502;208,00
10503;208,00
25G-LR-SFP10KM;448,00
25G-ER-SFP40KM;720,00
25G-DACP-SFPZ5M;81,00
25G-DACP-SFP1M;86,00
25G-DACP-SFP3M;105,00
25G-DACP-SFP5M;124,00
20G-DACP-SFP-DDZ5M;81,00
20G-DACP-SFP-DD1M;86,00
20G-DACP-SFP-DD3M;105,00
20G-DACP-SFP-DD5M;124,00
20G-DACP-SFP-DD2SFP1M;86,00
20G-DACP-SFP-DD2SFP3M;105,00
20G-DACP-SFP-DD2SFP5M;124,00
20G-DACP-QSFP1SFP-DD1M;86,00
20G-DACP-QSFP1SFP-DD3M;105,00
20G-DACP-QSFP1SFP-DD5M;124,00
10338;280,00
10G-USR-SFP100M;158,00
10G-SR-SFP300M-ET;158,00
10303;280,00
10G-LR-SFP10KM-ET;312,00
10GB-BX10-D;360,00
10G-ER-SFP40KM-ET;720,00
10GB-BX40-D;560,00
10GB-ZR-SFPP;1.200,00
10G-DACP-QSFPZ5M;68,00
10G-DACA-SFP1M;72,00
10G-DACA-SFP3M;88,00
10G-DACA-SFP5M;104,00
10G-AOC-SFP7M;187,00
10G-AOC-SFP10M;216,00
1G-SFP-000190;72,00
1G-SFP-SX-OM;80,00
MGBIC-LC03;80,00
10056H;144,00
10060;80,00
MGBIC-BX40-D;240,00
10053H;80,00
400G-DR4-QSFPDD500M;1.920,00
400G-FR4-QSFPDD2KM;2.240,00
400G-LR4-QSFPDD10KM;3.600,00
400G-SR8-QSFPDD100M;1.920,00
400G-DR4X-QSFPDD2KM;1.920,00
100G-DR-SFPDD500M;560,00
100G-FR-SFPDD;720,00
100G-LR-SFPDD;2.240,00
100G-PSM4-QSFP10KM;720,00
400G-AOC-QSFPDD5M;800,00
400G-AOC-QSFPDD10M;1.040,00
400G-AOC-QSFPDD20M;1.520,00
400G-DACP-QSFPDD1M;348,00
400G-DACP-QSFPDD2M;392,00
400G-DACP-QSFPDD2.5M;414,00
400G-DACP-QSFPDD3M;436,00
