Artikelnummer;Überverkauf Plattform Hexwaren
100G-SR4-QSFP100M;TRUE
100G-SR4BD-QSFP100M;TRUE
100G-SWDM4-QSFP100M;TRUE
100G-ESR4-QSFP300M;TRUE
100G-DR-QSFP500M;TRUE
100G-CWDM2-QSFP2KM;TRUE
100G-LR4-QSFP2KM;TRUE
100G-FR-QSFP2KM;TRUE
10405;TRUE
100G-LR-QSFP10KM;TRUE
100G-LR4-QSFP10KM;TRUE
100G-ER4LT-QSFP40KM;TRUE
100G-DACP-QSFPZ5M;TRUE
100G-DACP-QSFP1M;TRUE
100G-DACP-QSFP3M;TRUE
100G-DACP-QSFP5M;TRUE
100G-DACP-QSFP4SFP1M;TRUE
100G-DACP-QSFP4SFP3M;TRUE
100G-DACP-QSFP4SFP5M;TRUE
100G-AOC-QSFP10M-TA;TRUE
100G-CFP2-LR4-10KM;TRUE
100G-CFP2-ER4-40KM;TRUE
40G-SR4-QSFP150;TRUE
40G-BDSR-QSFP150M;TRUE
40G-ESR4-QSFP400M-NT;TRUE
40G-LR4-QSFP10KM;TRUE
40G-QSFP-LR4-INT;TRUE
40G-QSFP-ER4-1;TRUE
40G-DACP-QSFPZ5M;TRUE
40G-DACP-QSFP1M;TRUE
40G-DACP-QSFP3M;TRUE
40G-DACP-QSFP5M;TRUE
40G-DACP-QSFP4SFP1M;TRUE
40G-DACP-QSFP4SFP2M;TRUE
40G-DACP-QSFP4SFP3M;TRUE
40G-DACP-QSFP4SFP5M;TRUE
40G-DACA-QSFP4SFP1M;TRUE
40G-DACA-QSFP4SFP3M;TRUE
40G-DACA-QSFP4SFP5M;TRUE
40G-AOC-QSFP3M;TRUE
40G-AOC-QSFP5M;TRUE
40G-AOC-QSFP10M;TRUE
40G-AOC-QSFP20M;TRUE
40G-AOC-QSFP100;TRUE
40G-AOC-QSFP4SFP10M;TRUE
25G-SR-SFP100M;TRUE
10502;TRUE
10503;TRUE
25G-LR-SFP10KM;TRUE
25G-ER-SFP40KM;TRUE
25G-DACP-SFPZ5M;TRUE
25G-DACP-SFP1M;TRUE
25G-DACP-SFP3M;TRUE
25G-DACP-SFP5M;TRUE
20G-DACP-SFP-DDZ5M;TRUE
20G-DACP-SFP-DD1M;TRUE
20G-DACP-SFP-DD3M;TRUE
20G-DACP-SFP-DD5M;TRUE
20G-DACP-SFP-DD2SFP1M;TRUE
20G-DACP-SFP-DD2SFP3M;TRUE
20G-DACP-SFP-DD2SFP5M;TRUE
20G-DACP-QSFP1SFP-DD1M;TRUE
20G-DACP-QSFP1SFP-DD3M;TRUE
20G-DACP-QSFP1SFP-DD5M;TRUE
10338;TRUE
10G-USR-SFP100M;TRUE
10G-SR-SFP300M-ET;TRUE
10303;TRUE
10G-LR-SFP10KM-ET;TRUE
10GB-BX10-D;TRUE
10G-ER-SFP40KM-ET;TRUE
10GB-BX40-D;TRUE
10GB-ZR-SFPP;TRUE
10G-DACP-QSFPZ5M;TRUE
10G-DACA-SFP1M;TRUE
10G-DACA-SFP3M;TRUE
10G-DACA-SFP5M;TRUE
10G-AOC-SFP7M;TRUE
10G-AOC-SFP10M;TRUE
1G-SFP-000190;TRUE
1G-SFP-SX-OM;TRUE
MGBIC-LC03;TRUE
10056H;TRUE
10060;TRUE
MGBIC-BX40-D;TRUE
10053H;TRUE
400G-DR4-QSFPDD500M;TRUE
400G-FR4-QSFPDD2KM;TRUE
400G-LR4-QSFPDD10KM;TRUE
400G-SR8-QSFPDD100M;TRUE
400G-DR4X-QSFPDD2KM;TRUE
100G-DR-SFPDD500M;TRUE
100G-FR-SFPDD;TRUE
100G-LR-SFPDD;TRUE
100G-PSM4-QSFP10KM;TRUE
400G-AOC-QSFPDD5M;TRUE
400G-AOC-QSFPDD10M;TRUE
400G-AOC-QSFPDD20M;TRUE
400G-DACP-QSFPDD1M;TRUE
400G-DACP-QSFPDD2M;TRUE
400G-DACP-QSFPDD2.5M;TRUE
400G-DACP-QSFPDD3M;TRUE
