Artikelnummer;Überverkauf Plattform Hexwaren
WS-C2960X-48FPD-L;TRUE
WS-C2960X-48LPD-L;TRUE
WS-C2960X-24PD-L;TRUE
WS-C2960X-48TD-L;TRUE
WS-C2960X-24TD-L;TRUE
WS-C2960X-48FPS-L;TRUE
WS-C2960X-48LPS-L;TRUE
WS-C2960X-24PS-L;TRUE
WS-C2960X-24PSQ-L;TRUE
WS-C2960X-48TS-L;TRUE
WS-C2960X-24TS-L;TRUE
WS-C2960X-48TS-LL;TRUE
WS-C2960X-24TS-LL;TRUE
WS-C2960XR-48FPD-I;TRUE
WS-C2960XR-48LPD-I;TRUE
WS-C2960XR-24PD-I;TRUE
WS-C2960XR-48TD-I;TRUE
WS-C2960XR-24TD-I;TRUE
WS-C2960XR-48FPS-I;TRUE
WS-C2960XR-48LPS-I;TRUE
WS-C2960XR-24PS-I;TRUE
WS-C2960XR-48TS-I;TRUE
WS-C2960XR-24TS-I;TRUE
